TIME,P_001_v000,P_001_v001,P_002_v000,P_002_v001
2025-01-01 00:01:00,0.99486685,0.8973531,0.999858,0.90236706
2025-01-01 00:02:00,0.99487895,0.8973659,0.99987113,0.90238005
2025-01-01 00:03:00,0.9948911,0.89737874,0.9998842,0.90239304
2025-01-01 00:04:00,0.9949033,0.89739156,0.9998973,0.90240604
2025-01-01 00:05:00,0.99491554,0.89740443,0.9999104,0.90241903
2025-01-01 00:06:00,0.99492776,0.89741725,0.9999235,0.902432
2025-01-01 00:07:00,0.99494004,0.8974301,0.99993664,0.90244496
2025-01-01 00:08:00,0.9949523,0.897443,0.99994975,0.90245795
2025-01-01 00:09:00,0.9949646,0.8974559,0.99996287,0.9024709
2025-01-01 00:10:00,0.9949769,0.89746875,0.9999759,0.9024838
2025-01-01 00:11:00,0.9949892,0.8974817,0.99998903,0.90249676
2025-01-01 00:12:00,0.9950016,0.8974946,1.0000021,0.9025097
2025-01-01 00:13:00,0.99501395,0.8975075,1.0000153,0.90252256
2025-01-01 00:14:00,0.99502635,0.8975205,1.0000284,0.9025355
2025-01-01 00:15:00,0.99503875,0.8975334,1.0000415,0.9025484
2025-01-01 00:16:00,0.9950512,0.89754635,1.0000546,0.9025613
2025-01-01 00:17:00,0.9950636,0.8975593,1.0000677,0.9025741
2025-01-01 00:18:00,0.99507606,0.8975723,1.0000808,0.902587
2025-01-01 00:19:00,0.9950886,0.8975853,1.0000939,0.9025999
2025-01-01 00:20:00,0.99510103,0.89759827,1.000107,0.9026127
2025-01-01 00:21:00,0.99511355,0.89761126,1.0001202,0.9026255
2025-01-01 00:22:00,0.9951261,0.89762425,1.0001332,0.9026383
2025-01-01 00:23:00,0.99513865,0.89763725,1.0001463,0.90265113
2025-01-01 00:24:00,0.9951512,0.89765024,1.0001594,0.90266395
2025-01-01 00:25:00,0.9951638,0.8976633,1.0001725,0.9026767
2025-01-01 00:26:00,0.99517643,0.89767635,1.0001856,0.90268946
2025-01-01 00:27:00,0.995189,0.89768934,1.0001986,0.9027022
2025-01-01 00:28:00,0.99520165,0.8977024,1.0002117,0.90271497
2025-01-01 00:29:00,0.9952143,0.89771545,1.0002248,0.90272766
2025-01-01 00:30:00,1.0002835,0.8914812,1.0037457,0.8859533
2025-01-01 00:31:00,1.0043414,0.8874335,1.0065651,0.8750544
2025-01-01 00:32:00,1.0075904,0.8848071,1.0088233,0.8679746
2025-01-01 00:33:00,1.0101922,0.8831045,1.0106323,0.86337715
2025-01-01 00:34:00,1.0122759,0.8820024,1.0120821,0.8603932
2025-01-01 00:35:00,1.0139457,0.8812906,1.0132446,0.8584581
2025-01-01 00:36:00,1.0152841,0.88083255,1.0141772,0.8572047
2025-01-01 00:37:00,1.0163573,0.88053936,1.014926,0.8563943
2025-01-01 00:38:00,1.0172184,0.88035333,1.0155275,0.85587204
2025-01-01 00:39:00,1.0179098,0.88023704,1.0160114,0.85553694
