TIME,R_001_v000,R_004_v000,R_005_v000,R_006_v000,R_007_v000,R_008_v000,R_010_v000
2025-01-01 00:01:00,0.9071303,0.8955841,0.8979923,0.90034306,0.9026262,0.90483373,0.9069595
2025-01-01 00:02:00,0.90714246,0.89559525,0.89800215,0.9003512,0.90263253,0.904838,0.9069616
2025-01-01 00:03:00,0.90715456,0.89560634,0.89801186,0.90035933,0.9026388,0.90484226,0.90696365
2025-01-01 00:04:00,0.9071666,0.89561737,0.8980216,0.90036744,0.902645,0.9048464,0.9069657
2025-01-01 00:05:00,0.9071787,0.8956284,0.89803123,0.9003754,0.9026512,0.90485054,0.90696764
2025-01-01 00:06:00,0.90719074,0.8956394,0.8980409,0.9003834,0.9026573,0.9048546,0.9069695
2025-01-01 00:07:00,0.9072028,0.8956504,0.8980504,0.90039134,0.90266335,0.9048586,0.90697134
2025-01-01 00:08:00,0.90721476,0.8956613,0.89806,0.90039927,0.90266937,0.9048625,0.9069731
2025-01-01 00:09:00,0.90722674,0.8956722,0.8980695,0.90040714,0.90267533,0.9048664,0.90697485
2025-01-01 00:10:00,0.90723866,0.89568305,0.898079,0.9004149,0.90268123,0.9048703,0.9069765
2025-01-01 00:11:00,0.9072506,0.8956939,0.8980884,0.9004227,0.9026871,0.904874,0.90697813
2025-01-01 00:12:00,0.9072625,0.8957047,0.8980978,0.9004304,0.90269285,0.9048778,0.9069797
2025-01-01 00:13:00,0.90727437,0.8957155,0.8981071,0.900438,0.90269864,0.9048815,0.90698117
2025-01-01 00:14:00,0.9072862,0.8957262,0.89811647,0.90044564,0.9027043,0.90488505,0.9069826
2025-01-01 00:15:00,0.9072981,0.89573693,0.8981257,0.9004532,0.90270996,0.90488863,0.906984
2025-01-01 00:16:00,0.9073099,0.8957476,0.898135,0.9004607,0.90271556,0.90489215,0.9069853
2025-01-01 00:17:00,0.90732163,0.8957582,0.8981442,0.90046823,0.9027211,0.9048956,0.9069866
2025-01-01 00:18:00,0.90733343,0.8957688,0.8981533,0.9004756,0.9027266,0.904899,0.9069878
2025-01-01 00:19:00,0.9073452,0.8957794,0.8981624,0.900483,0.902732,0.90490234,0.9069889
2025-01-01 00:20:00,0.90735686,0.8957899,0.8981715,0.90049034,0.90273744,0.9049056,0.90699005
2025-01-01 00:21:00,0.90736854,0.8958004,0.8981805,0.9004976,0.90274274,0.9049089,0.90699106
2025-01-01 00:22:00,0.90738016,0.8958109,0.8981895,0.9005049,0.90274805,0.90491205,0.9069921
2025-01-01 00:23:00,0.9073918,0.89582133,0.8981984,0.9005121,0.9027533,0.90491515,0.906993
