TIME,R_001_v000,R_004_v000,R_005_v000,R_006_v000,R_007_v000,R_008_v000,R_010_v000
2025-01-01 00:01:00,0.8977723,0.90014434,0.9025699,0.9050367,0.89353126,0.89603937,0.8985463
2025-01-01 00:02:00,0.89778113,0.9001547,0.90258145,0.90504915,0.8935442,0.8960525,0.89855915
2025-01-01 00:03:00,0.89778996,0.900165,0.902593,0.9050616,0.89355713,0.89606553,0.898572
2025-01-01 00:04:00,0.89779884,0.90017545,0.9026046,0.905074,0.8935701,0.8960787,0.8985849
2025-01-01 00:05:00,0.8978077,0.9001859,0.9026162,0.9050865,0.8935831,0.89609176,0.8985977
2025-01-01 00:06:00,0.8978167,0.9001963,0.9026278,0.90509903,0.8935961,0.89610493,0.8986106
2025-01-01 00:07:00,0.8978257,0.9002068,0.9026395,0.9051115,0.8936091,0.896118,0.8986234
2025-01-01 00:08:00,0.8978348,0.90021735,0.90265125,0.90512407,0.8936221,0.89613104,0.8986362
2025-01-01 00:09:00,0.8978439,0.9002279,0.90266293,0.9051366,0.8936351,0.8961442,0.89864904
2025-01-01 00:10:00,0.897853,0.90023845,0.9026747,0.90514916,0.8936481,0.89615726,0.8986618
2025-01-01 00:11:00,0.89786214,0.9002491,0.9026865,0.90516174,0.89366114,0.8961703,0.8986746
2025-01-01 00:12:00,0.8978714,0.9002598,0.9026983,0.9051743,0.8936742,0.89618343,0.89868736
2025-01-01 00:13:00,0.8978807,0.90027046,0.9027101,0.9051869,0.8936872,0.89619654,0.8987001
2025-01-01 00:14:00,0.89789,0.9002812,0.90272194,0.9051996,0.89370024,0.8962096,0.8987128
2025-01-01 00:15:00,0.89789927,0.9002919,0.9027338,0.9052122,0.89371324,0.8962227,0.89872557
2025-01-01 00:16:00,0.8979086,0.90030277,0.9027457,0.90522486,0.89372635,0.89623576,0.89873827
2025-01-01 00:17:00,0.89791805,0.90031356,0.90275764,0.90523756,0.8937394,0.8962488,0.89875096
2025-01-01 00:18:00,0.8979275,0.9003244,0.90276957,0.9052502,0.89375246,0.8962619,0.89876366
2025-01-01 00:19:00,0.89793706,0.9003353,0.90278155,0.90526295,0.8937655,0.8962749,0.89877635
2025-01-01 00:20:00,0.8979466,0.9003462,0.9027935,0.90527564,0.89377856,0.896288,0.898789
