起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1554.429
乌鲁木齐站,昌吉站,管段,西气东输一线,1425.228
昌吉站,乌苏站,管段,西气东输一线,1300.268
乌苏站,精河站,管段,西气东输一线,1207.673
精河站,中卫站,管段,西气东输一线,1122.034
中卫站,古浪站,管段,西气东输一线,1069.89
古浪站,永昌站,管段,西气东输一线,951.625
永昌站,靖边站,管段,西气东输一线,885.727
靖边站,石家庄站,管段,西气东输一线,760.37
石家庄站,永清站,管段,西气东输一线,713.274
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1691.28
乌鲁木齐站,昌吉站,管段,西气东输二线,1639.917
昌吉站,乌苏站,管段,西气东输二线,1670.676
乌苏站,精河站,管段,西气东输二线,1507.358
精河站,中卫站,管段,西气东输二线,1361.105
中卫站,古浪站,管段,西气东输二线,1395.113
古浪站,永昌站,管段,西气东输二线,1191.876
临潼站,高陵站,管段,西气东输二线,1091.724
华阴站,潼关站,管段,西气东输二线,1041.595
榆林站,靖边站,管段,西气东输二线,1033.122
靖边站,石家庄站,管段,西气东输二线,952.612
石家庄站,永清站,管段,西气东输二线,817.159
永清站,通州南站,管段,西气东输二线,797.792
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1583.044
乌鲁木齐站,昌吉站,管段,西气东输三线,1460.687
昌吉站,乌苏站,管段,西气东输三线,1429.713
乌苏站,精河站,管段,西气东输三线,1333.101
精河站,中卫站,管段,西气东输三线,1263.626
中卫站,古浪站,管段,西气东输三线,1165.28
古浪站,永昌站,管段,西气东输三线,995.276
临潼站,高陵站,管段,西气东输三线,945.213
华阴站,潼关站,管段,西气东输三线,901.814
永昌站,安平站,管段,西气东输三线,795.3
黑河首站,哈尔滨站,管段,中俄东线,1571.239
哈尔滨站,长春站,管段,中俄东线,1496.648
长春站,沈阳站,管段,中俄东线,1470.769
沈阳站,宝坻站,管段,中俄东线,1346.701
宝坻站,永清站,管段,中俄东线,1356.467
永清站,南通站,管段,中俄东线,1195.764
南通站,如皋站,管段,中俄东线,1067.488
如皋站,海安站,管段,中俄东线,1035.282
海安站,上海站,管段,中俄东线,944.7
靖边站,石家庄站,管段,冀宁线,1111.101
石家庄站,安平站,管段,冀宁线,940.498
安平站,南京站,管段,冀宁线,926.87
南京站,南通站,管段,冀宁线,801.673
南通站,如皋站,管段,冀宁线,778.76
如皋站,海安站,管段,冀宁线,732.978
普光首站,达州站,管段,川气东送,1576.12
达州站,武汉站,管段,川气东送,1394.911
武汉站,湘潭站,管段,川气东送,1366.268
湘潭站,甪直站,管段,川气东送,1299.934
甪直站,上海站,管段,川气东送,1241.057
上海站,上海白鹤末站,管段,川气东送,1077.181
榆林站,靖边站,管段,陕京二线,1298.849
靖边站,石家庄站,管段,陕京二线,1286.048
石家庄站,永清站,管段,陕京二线,1164.501
永清站,宝坻站,管段,陕京二线,1016.089
永清站,通州南站,管段,陕京二线,1002.539
石家庄站,阳曲压气站,管段,陕京二线,176.158
