起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1491.211
乌鲁木齐站,昌吉站,管段,西气东输一线,1416.929
昌吉站,乌苏站,管段,西气东输一线,1359.623
乌苏站,精河站,管段,西气东输一线,1228.531
精河站,中卫站,管段,西气东输一线,1192.718
中卫站,古浪站,管段,西气东输一线,1004.601
古浪站,永昌站,管段,西气东输一线,936.455
永昌站,靖边站,管段,西气东输一线,887.574
靖边站,石家庄站,管段,西气东输一线,786.81
石家庄站,永清站,管段,西气东输一线,733.337
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1870.403
乌鲁木齐站,昌吉站,管段,西气东输二线,1717.041
昌吉站,乌苏站,管段,西气东输二线,1537.025
乌苏站,精河站,管段,西气东输二线,1446.794
精河站,中卫站,管段,西气东输二线,1476.257
中卫站,古浪站,管段,西气东输二线,1287.141
古浪站,永昌站,管段,西气东输二线,1179.457
临潼站,高陵站,管段,西气东输二线,1167.585
华阴站,潼关站,管段,西气东输二线,1139.562
榆林站,靖边站,管段,西气东输二线,1027.586
靖边站,石家庄站,管段,西气东输二线,948.9
石家庄站,永清站,管段,西气东输二线,875.128
永清站,通州南站,管段,西气东输二线,747.066
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1495.486
乌鲁木齐站,昌吉站,管段,西气东输三线,1474.592
昌吉站,乌苏站,管段,西气东输三线,1470.706
乌苏站,精河站,管段,西气东输三线,1361.393
精河站,中卫站,管段,西气东输三线,1281.523
中卫站,古浪站,管段,西气东输三线,1076.658
古浪站,永昌站,管段,西气东输三线,1021.392
临潼站,高陵站,管段,西气东输三线,954.275
华阴站,潼关站,管段,西气东输三线,834.128
永昌站,安平站,管段,西气东输三线,816.438
黑河首站,哈尔滨站,管段,中俄东线,1750.527
哈尔滨站,长春站,管段,中俄东线,1490.863
长春站,沈阳站,管段,中俄东线,1534.585
沈阳站,宝坻站,管段,中俄东线,1439.915
宝坻站,永清站,管段,中俄东线,1359.258
永清站,南通站,管段,中俄东线,1208.351
南通站,如皋站,管段,中俄东线,1058.868
如皋站,海安站,管段,中俄东线,978.767
海安站,上海站,管段,中俄东线,895.955
靖边站,石家庄站,管段,冀宁线,1026.764
石家庄站,安平站,管段,冀宁线,948.551
安平站,南京站,管段,冀宁线,966.23
南京站,南通站,管段,冀宁线,830.161
南通站,如皋站,管段,冀宁线,747.295
如皋站,海安站,管段,冀宁线,741.318
普光首站,达州站,管段,川气东送,1461.966
达州站,武汉站,管段,川气东送,1528.91
武汉站,湘潭站,管段,川气东送,1363.403
湘潭站,甪直站,管段,川气东送,1279.54
甪直站,上海站,管段,川气东送,1174.794
上海站,上海白鹤末站,管段,川气东送,1120.325
榆林站,靖边站,管段,陕京二线,1287.721
靖边站,石家庄站,管段,陕京二线,1226.806
石家庄站,永清站,管段,陕京二线,1205.506
永清站,宝坻站,管段,陕京二线,1045.982
永清站,通州南站,管段,陕京二线,1041.85
