起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1539.794
乌鲁木齐站,昌吉站,管段,西气东输一线,1314.149
昌吉站,乌苏站,管段,西气东输一线,1238.452
乌苏站,精河站,管段,西气东输一线,1257.194
精河站,中卫站,管段,西气东输一线,1179.431
中卫站,古浪站,管段,西气东输一线,1008.86
古浪站,永昌站,管段,西气东输一线,913.747
永昌站,靖边站,管段,西气东输一线,898.381
靖边站,石家庄站,管段,西气东输一线,784.636
石家庄站,永清站,管段,西气东输一线,675.726
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1820.905
乌鲁木齐站,昌吉站,管段,西气东输二线,1662.582
昌吉站,乌苏站,管段,西气东输二线,1555.723
乌苏站,精河站,管段,西气东输二线,1462.935
精河站,中卫站,管段,西气东输二线,1411.513
中卫站,古浪站,管段,西气东输二线,1373.082
古浪站,永昌站,管段,西气东输二线,1193.513
临潼站,高陵站,管段,西气东输二线,1199.889
华阴站,潼关站,管段,西气东输二线,1121.61
榆林站,靖边站,管段,西气东输二线,973.265
靖边站,石家庄站,管段,西气东输二线,959.747
石家庄站,永清站,管段,西气东输二线,889.454
永清站,通州南站,管段,西气东输二线,724.096
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1602.943
乌鲁木齐站,昌吉站,管段,西气东输三线,1542.929
昌吉站,乌苏站,管段,西气东输三线,1389.413
乌苏站,精河站,管段,西气东输三线,1293.303
精河站,中卫站,管段,西气东输三线,1259.83
中卫站,古浪站,管段,西气东输三线,1196.091
古浪站,永昌站,管段,西气东输三线,1039.434
临潼站,高陵站,管段,西气东输三线,937.196
华阴站,潼关站,管段,西气东输三线,842.065
永昌站,安平站,管段,西气东输三线,820.974
黑河首站,哈尔滨站,管段,中俄东线,1737.781
哈尔滨站,长春站,管段,中俄东线,1607.051
长春站,沈阳站,管段,中俄东线,1470.615
沈阳站,宝坻站,管段,中俄东线,1445.264
宝坻站,永清站,管段,中俄东线,1332.195
永清站,南通站,管段,中俄东线,1190.751
南通站,如皋站,管段,中俄东线,1163.689
如皋站,海安站,管段,中俄东线,1000.95
海安站,上海站,管段,中俄东线,938.512
靖边站,石家庄站,管段,冀宁线,1003.902
石家庄站,安平站,管段,冀宁线,1012.735
安平站,南京站,管段,冀宁线,931.236
南京站,南通站,管段,冀宁线,854.941
南通站,如皋站,管段,冀宁线,826.288
如皋站,海安站,管段,冀宁线,667.945
普光首站,达州站,管段,川气东送,1520.544
达州站,武汉站,管段,川气东送,1446.345
武汉站,湘潭站,管段,川气东送,1435.356
湘潭站,甪直站,管段,川气东送,1239.41
甪直站,上海站,管段,川气东送,1195.044
上海站,上海白鹤末站,管段,川气东送,1032.581
榆林站,靖边站,管段,陕京二线,1374.406
靖边站,石家庄站,管段,陕京二线,1312.202
石家庄站,永清站,管段,陕京二线,1106.313
永清站,宝坻站,管段,陕京二线,1131.218
永清站,通州南站,管段,陕京二线,976.191
