起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1544.467
乌鲁木齐站,昌吉站,管段,西气东输一线,1330.697
昌吉站,乌苏站,管段,西气东输一线,1337.816
乌苏站,精河站,管段,西气东输一线,1158.521
精河站,中卫站,管段,西气东输一线,1155.944
中卫站,古浪站,管段,西气东输一线,1104.488
古浪站,永昌站,管段,西气东输一线,941.946
永昌站,靖边站,管段,西气东输一线,846.852
靖边站,石家庄站,管段,西气东输一线,767.737
石家庄站,永清站,管段,西气东输一线,674.511
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1744.331
乌鲁木齐站,昌吉站,管段,西气东输二线,1766.74
昌吉站,乌苏站,管段,西气东输二线,1690.055
乌苏站,精河站,管段,西气东输二线,1472.251
精河站,中卫站,管段,西气东输二线,1368.102
中卫站,古浪站,管段,西气东输二线,1331.656
古浪站,永昌站,管段,西气东输二线,1254.395
临潼站,高陵站,管段,西气东输二线,1174.574
华阴站,潼关站,管段,西气东输二线,1056.874
榆林站,靖边站,管段,西气东输二线,997.935
靖边站,石家庄站,管段,西气东输二线,961.742
石家庄站,永清站,管段,西气东输二线,886.716
永清站,通州南站,管段,西气东输二线,742.511
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1562.189
乌鲁木齐站,昌吉站,管段,西气东输三线,1559.749
昌吉站,乌苏站,管段,西气东输三线,1421.716
乌苏站,精河站,管段,西气东输三线,1276.457
精河站,中卫站,管段,西气东输三线,1255.309
中卫站,古浪站,管段,西气东输三线,1108.376
古浪站,永昌站,管段,西气东输三线,1087.787
临潼站,高陵站,管段,西气东输三线,968.438
华阴站,潼关站,管段,西气东输三线,827.251
永昌站,安平站,管段,西气东输三线,774.332
黑河首站,哈尔滨站,管段,中俄东线,1637.311
哈尔滨站,长春站,管段,中俄东线,1649.77
长春站,沈阳站,管段,中俄东线,1520.8
沈阳站,宝坻站,管段,中俄东线,1307.269
宝坻站,永清站,管段,中俄东线,1231.569
永清站,南通站,管段,中俄东线,1160.491
南通站,如皋站,管段,中俄东线,1175.436
如皋站,海安站,管段,中俄东线,1038.732
海安站,上海站,管段,中俄东线,969.831
靖边站,石家庄站,管段,冀宁线,1017.176
石家庄站,安平站,管段,冀宁线,938.097
安平站,南京站,管段,冀宁线,919.425
南京站,南通站,管段,冀宁线,889.497
南通站,如皋站,管段,冀宁线,735.394
如皋站,海安站,管段,冀宁线,748.582
普光首站,达州站,管段,川气东送,1493.416
达州站,武汉站,管段,川气东送,1517.288
武汉站,湘潭站,管段,川气东送,1280.889
湘潭站,甪直站,管段,川气东送,1255.36
甪直站,上海站,管段,川气东送,1131.008
上海站,上海白鹤末站,管段,川气东送,1032.211
榆林站,靖边站,管段,陕京二线,1366.498
靖边站,石家庄站,管段,陕京二线,1296.937
石家庄站,永清站,管段,陕京二线,1109.397
永清站,宝坻站,管段,陕京二线,1104.58
永清站,通州南站,管段,陕京二线,1015.234
