起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1485.472
乌鲁木齐站,昌吉站,管段,西气东输一线,1340.419
昌吉站,乌苏站,管段,西气东输一线,1233.685
乌苏站,精河站,管段,西气东输一线,1276.539
精河站,中卫站,管段,西气东输一线,1159.633
中卫站,古浪站,管段,西气东输一线,1099.349
古浪站,永昌站,管段,西气东输一线,941.303
永昌站,靖边站,管段,西气东输一线,840.43
靖边站,石家庄站,管段,西气东输一线,791.077
石家庄站,永清站,管段,西气东输一线,707.783
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1678.194
乌鲁木齐站,昌吉站,管段,西气东输二线,1658.296
昌吉站,乌苏站,管段,西气东输二线,1511.55
乌苏站,精河站,管段,西气东输二线,1519.992
精河站,中卫站,管段,西气东输二线,1429.065
中卫站,古浪站,管段,西气东输二线,1264.313
古浪站,永昌站,管段,西气东输二线,1252.581
临潼站,高陵站,管段,西气东输二线,1105.275
华阴站,潼关站,管段,西气东输二线,1098.737
榆林站,靖边站,管段,西气东输二线,1005.02
靖边站,石家庄站,管段,西气东输二线,907.086
石家庄站,永清站,管段,西气东输二线,869.607
永清站,通州南站,管段,西气东输二线,741.901
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1548.659
乌鲁木齐站,昌吉站,管段,西气东输三线,1561.383
昌吉站,乌苏站,管段,西气东输三线,1395.363
乌苏站,精河站,管段,西气东输三线,1337.702
精河站,中卫站,管段,西气东输三线,1176.086
中卫站,古浪站,管段,西气东输三线,1079.424
古浪站,永昌站,管段,西气东输三线,1004.242
临潼站,高陵站,管段,西气东输三线,988.478
华阴站,潼关站,管段,西气东输三线,874.876
永昌站,安平站,管段,西气东输三线,779.206
黑河首站,哈尔滨站,管段,中俄东线,1603.954
哈尔滨站,长春站,管段,中俄东线,1545.03
长春站,沈阳站,管段,中俄东线,1541.321
沈阳站,宝坻站,管段,中俄东线,1354.982
宝坻站,永清站,管段,中俄东线,1313.458
永清站,南通站,管段,中俄东线,1280.85
南通站,如皋站,管段,中俄东线,1133.165
如皋站,海安站,管段,中俄东线,977.342
海安站,上海站,管段,中俄东线,894.603
靖边站,石家庄站,管段,冀宁线,997.72
石家庄站,安平站,管段,冀宁线,966.068
安平站,南京站,管段,冀宁线,874.619
南京站,南通站,管段,冀宁线,859.017
南通站,如皋站,管段,冀宁线,767.692
如皋站,海安站,管段,冀宁线,747.754
普光首站,达州站,管段,川气东送,1560.878
达州站,武汉站,管段,川气东送,1418.161
武汉站,湘潭站,管段,川气东送,1281.502
湘潭站,甪直站,管段,川气东送,1251.971
甪直站,上海站,管段,川气东送,1233.371
上海站,上海白鹤末站,管段,川气东送,1031.186
榆林站,靖边站,管段,陕京二线,1241.719
靖边站,石家庄站,管段,陕京二线,1167.836
石家庄站,永清站,管段,陕京二线,1137.423
永清站,宝坻站,管段,陕京二线,1088.477
永清站,通州南站,管段,陕京二线,977.081
石家庄站,阳曲压气站,管段,陕京二线,169.809
