起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1454.748
乌鲁木齐站,昌吉站,管段,西气东输一线,1413.198
昌吉站,乌苏站,管段,西气东输一线,1291.168
乌苏站,精河站,管段,西气东输一线,1183.359
精河站,中卫站,管段,西气东输一线,1072.852
中卫站,古浪站,管段,西气东输一线,1072.822
古浪站,永昌站,管段,西气东输一线,904.636
永昌站,靖边站,管段,西气东输一线,845.089
靖边站,石家庄站,管段,西气东输一线,836.721
石家庄站,永清站,管段,西气东输一线,734.939
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1713.119
乌鲁木齐站,昌吉站,管段,西气东输二线,1720.284
昌吉站,乌苏站,管段,西气东输二线,1682.672
乌苏站,精河站,管段,西气东输二线,1575.744
精河站,中卫站,管段,西气东输二线,1473.014
中卫站,古浪站,管段,西气东输二线,1364.858
古浪站,永昌站,管段,西气东输二线,1218.28
临潼站,高陵站,管段,西气东输二线,1122.244
华阴站,潼关站,管段,西气东输二线,1028.536
榆林站,靖边站,管段,西气东输二线,966.678
靖边站,石家庄站,管段,西气东输二线,962.119
石家庄站,永清站,管段,西气东输二线,897.37
永清站,通州南站,管段,西气东输二线,779.089
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1654.27
乌鲁木齐站,昌吉站,管段,西气东输三线,1543.023
昌吉站,乌苏站,管段,西气东输三线,1369.456
乌苏站,精河站,管段,西气东输三线,1374.259
精河站,中卫站,管段,西气东输三线,1228.003
中卫站,古浪站,管段,西气东输三线,1103.417
古浪站,永昌站,管段,西气东输三线,989.123
临潼站,高陵站,管段,西气东输三线,943.854
华阴站,潼关站,管段,西气东输三线,889.107
永昌站,安平站,管段,西气东输三线,771.13
黑河首站,哈尔滨站,管段,中俄东线,1666.547
哈尔滨站,长春站,管段,中俄东线,1553.705
长春站,沈阳站,管段,中俄东线,1472.507
沈阳站,宝坻站,管段,中俄东线,1464.074
宝坻站,永清站,管段,中俄东线,1232.918
永清站,南通站,管段,中俄东线,1246.539
南通站,如皋站,管段,中俄东线,1116.003
如皋站,海安站,管段,中俄东线,1057.674
海安站,上海站,管段,中俄东线,916.768
靖边站,石家庄站,管段,冀宁线,1026.451
石家庄站,安平站,管段,冀宁线,960.117
安平站,南京站,管段,冀宁线,878.958
南京站,南通站,管段,冀宁线,875.388
南通站,如皋站,管段,冀宁线,775.539
如皋站,海安站,管段,冀宁线,681.6
普光首站,达州站,管段,川气东送,1627.85
达州站,武汉站,管段,川气东送,1436.462
武汉站,湘潭站,管段,川气东送,1401.948
湘潭站,甪直站,管段,川气东送,1257.94
甪直站,上海站,管段,川气东送,1181.204
上海站,上海白鹤末站,管段,川气东送,1076.218
榆林站,靖边站,管段,陕京二线,1396.495
靖边站,石家庄站,管段,陕京二线,1313.933
石家庄站,永清站,管段,陕京二线,1104.976
永清站,宝坻站,管段,陕京二线,1015.925
永清站,通州南站,管段,陕京二线,1028.363
石家庄站,阳曲压气站,管段,陕京二线,184.657
