起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1465.006
乌鲁木齐站,昌吉站,管段,西气东输一线,1318.98
昌吉站,乌苏站,管段,西气东输一线,1254.665
乌苏站,精河站,管段,西气东输一线,1194.541
精河站,中卫站,管段,西气东输一线,1112.208
中卫站,古浪站,管段,西气东输一线,1008.932
古浪站,永昌站,管段,西气东输一线,1006.1
永昌站,靖边站,管段,西气东输一线,906.92
靖边站,石家庄站,管段,西气东输一线,803.309
石家庄站,永清站,管段,西气东输一线,696.52
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1678.056
乌鲁木齐站,昌吉站,管段,西气东输二线,1787.855
昌吉站,乌苏站,管段,西气东输二线,1544.602
乌苏站,精河站,管段,西气东输二线,1490.828
精河站,中卫站,管段,西气东输二线,1386.962
中卫站,古浪站,管段,西气东输二线,1293.337
古浪站,永昌站,管段,西气东输二线,1227.508
临潼站,高陵站,管段,西气东输二线,1211.776
华阴站,潼关站,管段,西气东输二线,1061.443
榆林站,靖边站,管段,西气东输二线,1023.517
靖边站,石家庄站,管段,西气东输二线,915.224
石家庄站,永清站,管段,西气东输二线,857.815
永清站,通州南站,管段,西气东输二线,786.713
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1551.801
乌鲁木齐站,昌吉站,管段,西气东输三线,1446.241
昌吉站,乌苏站,管段,西气东输三线,1431.648
乌苏站,精河站,管段,西气东输三线,1257.103
精河站,中卫站,管段,西气东输三线,1158.153
中卫站,古浪站,管段,西气东输三线,1148.316
古浪站,永昌站,管段,西气东输三线,997.887
临潼站,高陵站,管段,西气东输三线,996.329
华阴站,潼关站,管段,西气东输三线,864.573
永昌站,安平站,管段,西气东输三线,797.929
黑河首站,哈尔滨站,管段,中俄东线,1702.747
哈尔滨站,长春站,管段,中俄东线,1585.557
长春站,沈阳站,管段,中俄东线,1564.07
沈阳站,宝坻站,管段,中俄东线,1318.624
宝坻站,永清站,管段,中俄东线,1322.981
永清站,南通站,管段,中俄东线,1232.158
南通站,如皋站,管段,中俄东线,1103.586
如皋站,海安站,管段,中俄东线,1048.136
海安站,上海站,管段,中俄东线,981.696
靖边站,石家庄站,管段,冀宁线,1008.371
石家庄站,安平站,管段,冀宁线,1016.2
安平站,南京站,管段,冀宁线,937.135
南京站,南通站,管段,冀宁线,823.798
南通站,如皋站,管段,冀宁线,765.974
如皋站,海安站,管段,冀宁线,688.428
普光首站,达州站,管段,川气东送,1511.768
达州站,武汉站,管段,川气东送,1418.043
武汉站,湘潭站,管段,川气东送,1354.727
湘潭站,甪直站,管段,川气东送,1217.92
甪直站,上海站,管段,川气东送,1116.473
上海站,上海白鹤末站,管段,川气东送,1135.55
榆林站,靖边站,管段,陕京二线,1278.928
靖边站,石家庄站,管段,陕京二线,1285.652
石家庄站,永清站,管段,陕京二线,1120.263
永清站,宝坻站,管段,陕京二线,1024.956
永清站,通州南站,管段,陕京二线,1056.469
