起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1556.639
乌鲁木齐站,昌吉站,管段,西气东输一线,1399.351
昌吉站,乌苏站,管段,西气东输一线,1268.252
乌苏站,精河站,管段,西气东输一线,1150.107
精河站,中卫站,管段,西气东输一线,1078.916
中卫站,古浪站,管段,西气东输一线,1023.109
古浪站,永昌站,管段,西气东输一线,1003.035
永昌站,靖边站,管段,西气东输一线,831.187
靖边站,石家庄站,管段,西气东输一线,744.684
石家庄站,永清站,管段,西气东输一线,715.363
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1806.733
乌鲁木齐站,昌吉站,管段,西气东输二线,1656.041
昌吉站,乌苏站,管段,西气东输二线,1691.597
乌苏站,精河站,管段,西气东输二线,1479.886
精河站,中卫站,管段,西气东输二线,1420.257
中卫站,古浪站,管段,西气东输二线,1301.751
古浪站,永昌站,管段,西气东输二线,1237.185
临潼站,高陵站,管段,西气东输二线,1168.522
华阴站,潼关站,管段,西气东输二线,1017.009
榆林站,靖边站,管段,西气东输二线,1034.282
靖边站,石家庄站,管段,西气东输二线,904.997
石家庄站,永清站,管段,西气东输二线,839.753
永清站,通州南站,管段,西气东输二线,810.508
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1516.418
乌鲁木齐站,昌吉站,管段,西气东输三线,1430.01
昌吉站,乌苏站,管段,西气东输三线,1378.339
乌苏站,精河站,管段,西气东输三线,1310.005
精河站,中卫站,管段,西气东输三线,1226.82
中卫站,古浪站,管段,西气东输三线,1080.213
古浪站,永昌站,管段,西气东输三线,987.762
临潼站,高陵站,管段,西气东输三线,976.893
华阴站,潼关站,管段,西气东输三线,875.114
永昌站,安平站,管段,西气东输三线,798.527
黑河首站,哈尔滨站,管段,中俄东线,1724.161
哈尔滨站,长春站,管段,中俄东线,1606.809
长春站,沈阳站,管段,中俄东线,1472.248
沈阳站,宝坻站,管段,中俄东线,1323.287
宝坻站,永清站,管段,中俄东线,1253.751
永清站,南通站,管段,中俄东线,1208.049
南通站,如皋站,管段,中俄东线,1130.717
如皋站,海安站,管段,中俄东线,974.953
海安站,上海站,管段,中俄东线,951.572
靖边站,石家庄站,管段,冀宁线,1122.978
石家庄站,安平站,管段,冀宁线,1045.193
安平站,南京站,管段,冀宁线,870.262
南京站,南通站,管段,冀宁线,865.254
南通站,如皋站,管段,冀宁线,781.793
如皋站,海安站,管段,冀宁线,690.625
普光首站,达州站,管段,川气东送,1541.368
达州站,武汉站,管段,川气东送,1393.345
武汉站,湘潭站,管段,川气东送,1288.891
湘潭站,甪直站,管段,川气东送,1257.635
甪直站,上海站,管段,川气东送,1110.947
上海站,上海白鹤末站,管段,川气东送,1033.857
榆林站,靖边站,管段,陕京二线,1317.113
靖边站,石家庄站,管段,陕京二线,1167.465
石家庄站,永清站,管段,陕京二线,1207.233
永清站,宝坻站,管段,陕京二线,1024.559
永清站,通州南站,管段,陕京二线,1015.179
