起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1537.235
乌鲁木齐站,昌吉站,管段,西气东输一线,1463.908
昌吉站,乌苏站,管段,西气东输一线,1335.947
乌苏站,精河站,管段,西气东输一线,1274.277
精河站,中卫站,管段,西气东输一线,1154.707
中卫站,古浪站,管段,西气东输一线,992.449
古浪站,永昌站,管段,西气东输一线,991.768
永昌站,靖边站,管段,西气东输一线,876.999
靖边站,石家庄站,管段,西气东输一线,831.925
石家庄站,永清站,管段,西气东输一线,740.479
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1875.773
乌鲁木齐站,昌吉站,管段,西气东输二线,1791.266
昌吉站,乌苏站,管段,西气东输二线,1691.983
乌苏站,精河站,管段,西气东输二线,1550.005
精河站,中卫站,管段,西气东输二线,1500.408
中卫站,古浪站,管段,西气东输二线,1323.181
古浪站,永昌站,管段,西气东输二线,1198.002
临潼站,高陵站,管段,西气东输二线,1091.03
华阴站,潼关站,管段,西气东输二线,1095.07
榆林站,靖边站,管段,西气东输二线,949.859
靖边站,石家庄站,管段,西气东输二线,936.756
石家庄站,永清站,管段,西气东输二线,878.397
永清站,通州南站,管段,西气东输二线,743.799
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1657.089
乌鲁木齐站,昌吉站,管段,西气东输三线,1540.027
昌吉站,乌苏站,管段,西气东输三线,1366.581
乌苏站,精河站,管段,西气东输三线,1277.615
精河站,中卫站,管段,西气东输三线,1179.661
中卫站,古浪站,管段,西气东输三线,1079.108
古浪站,永昌站,管段,西气东输三线,1036.629
临潼站,高陵站,管段,西气东输三线,990.269
华阴站,潼关站,管段,西气东输三线,838.437
永昌站,安平站,管段,西气东输三线,837.346
黑河首站,哈尔滨站,管段,中俄东线,1635.114
哈尔滨站,长春站,管段,中俄东线,1540.259
长春站,沈阳站,管段,中俄东线,1476.934
沈阳站,宝坻站,管段,中俄东线,1349.346
宝坻站,永清站,管段,中俄东线,1367.285
永清站,南通站,管段,中俄东线,1163.108
南通站,如皋站,管段,中俄东线,1091.552
如皋站,海安站,管段,中俄东线,968.766
海安站,上海站,管段,中俄东线,947.903
靖边站,石家庄站,管段,冀宁线,1009.927
石家庄站,安平站,管段,冀宁线,951.477
安平站,南京站,管段,冀宁线,895.253
南京站,南通站,管段,冀宁线,821.867
南通站,如皋站,管段,冀宁线,772.774
如皋站,海安站,管段,冀宁线,742.767
普光首站,达州站,管段,川气东送,1629.346
达州站,武汉站,管段,川气东送,1463.788
武汉站,湘潭站,管段,川气东送,1393.474
湘潭站,甪直站,管段,川气东送,1230.926
甪直站,上海站,管段,川气东送,1167.018
上海站,上海白鹤末站,管段,川气东送,1050.015
榆林站,靖边站,管段,陕京二线,1394.161
靖边站,石家庄站,管段,陕京二线,1249.88
石家庄站,永清站,管段,陕京二线,1219.691
永清站,宝坻站,管段,陕京二线,1054.805
永清站,通州南站,管段,陕京二线,962.256
石家庄站,阳曲压气站,管段,陕京二线,183.204
