起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1404.964
乌鲁木齐站,昌吉站,管段,西气东输一线,1415.269
昌吉站,乌苏站,管段,西气东输一线,1364.464
乌苏站,精河站,管段,西气东输一线,1190.738
精河站,中卫站,管段,西气东输一线,1171.2
中卫站,古浪站,管段,西气东输一线,1090.344
古浪站,永昌站,管段,西气东输一线,959.109
永昌站,靖边站,管段,西气东输一线,912.526
靖边站,石家庄站,管段,西气东输一线,767.0
石家庄站,永清站,管段,西气东输一线,702.112
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1846.318
乌鲁木齐站,昌吉站,管段,西气东输二线,1648.202
昌吉站,乌苏站,管段,西气东输二线,1545.158
乌苏站,精河站,管段,西气东输二线,1490.684
精河站,中卫站,管段,西气东输二线,1378.02
中卫站,古浪站,管段,西气东输二线,1253.07
古浪站,永昌站,管段,西气东输二线,1242.925
临潼站,高陵站,管段,西气东输二线,1104.66
华阴站,潼关站,管段,西气东输二线,1043.536
榆林站,靖边站,管段,西气东输二线,1065.287
靖边站,石家庄站,管段,西气东输二线,953.886
石家庄站,永清站,管段,西气东输二线,899.582
永清站,通州南站,管段,西气东输二线,783.947
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1507.905
乌鲁木齐站,昌吉站,管段,西气东输三线,1520.745
昌吉站,乌苏站,管段,西气东输三线,1319.264
乌苏站,精河站,管段,西气东输三线,1247.787
精河站,中卫站,管段,西气东输三线,1221.73
中卫站,古浪站,管段,西气东输三线,1087.809
古浪站,永昌站,管段,西气东输三线,1042.552
临潼站,高陵站,管段,西气东输三线,983.732
华阴站,潼关站,管段,西气东输三线,851.222
永昌站,安平站,管段,西气东输三线,764.69
黑河首站,哈尔滨站,管段,中俄东线,1608.306
哈尔滨站,长春站,管段,中俄东线,1544.634
长春站,沈阳站,管段,中俄东线,1425.156
沈阳站,宝坻站,管段,中俄东线,1465.662
宝坻站,永清站,管段,中俄东线,1277.724
永清站,南通站,管段,中俄东线,1164.54
南通站,如皋站,管段,中俄东线,1116.048
如皋站,海安站,管段,中俄东线,985.966
海安站,上海站,管段,中俄东线,888.578
靖边站,石家庄站,管段,冀宁线,1122.522
石家庄站,安平站,管段,冀宁线,971.441
安平站,南京站,管段,冀宁线,968.81
南京站,南通站,管段,冀宁线,804.581
南通站,如皋站,管段,冀宁线,786.198
如皋站,海安站,管段,冀宁线,667.583
普光首站,达州站,管段,川气东送,1498.109
达州站,武汉站,管段,川气东送,1440.033
武汉站,湘潭站,管段,川气东送,1400.782
湘潭站,甪直站,管段,川气东送,1339.994
甪直站,上海站,管段,川气东送,1170.379
上海站,上海白鹤末站,管段,川气东送,1083.165
榆林站,靖边站,管段,陕京二线,1344.692
靖边站,石家庄站,管段,陕京二线,1223.278
石家庄站,永清站,管段,陕京二线,1153.369
永清站,宝坻站,管段,陕京二线,1089.053
永清站,通州南站,管段,陕京二线,1043.425
