起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1500.66
乌鲁木齐站,昌吉站,管段,西气东输一线,1439.237
昌吉站,乌苏站,管段,西气东输一线,1253.284
乌苏站,精河站,管段,西气东输一线,1200.634
精河站,中卫站,管段,西气东输一线,1103.175
中卫站,古浪站,管段,西气东输一线,1075.169
古浪站,永昌站,管段,西气东输一线,1017.482
永昌站,靖边站,管段,西气东输一线,819.42
靖边站,石家庄站,管段,西气东输一线,796.612
石家庄站,永清站,管段,西气东输一线,750.634
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1754.777
乌鲁木齐站,昌吉站,管段,西气东输二线,1662.7
昌吉站,乌苏站,管段,西气东输二线,1648.289
乌苏站,精河站,管段,西气东输二线,1523.448
精河站,中卫站,管段,西气东输二线,1370.616
中卫站,古浪站,管段,西气东输二线,1332.511
古浪站,永昌站,管段,西气东输二线,1175.528
临潼站,高陵站,管段,西气东输二线,1110.23
华阴站,潼关站,管段,西气东输二线,1023.206
榆林站,靖边站,管段,西气东输二线,1015.37
靖边站,石家庄站,管段,西气东输二线,890.933
石家庄站,永清站,管段,西气东输二线,841.524
永清站,通州南站,管段,西气东输二线,791.996
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1592.683
乌鲁木齐站,昌吉站,管段,西气东输三线,1533.775
昌吉站,乌苏站,管段,西气东输三线,1354.745
乌苏站,精河站,管段,西气东输三线,1320.035
精河站,中卫站,管段,西气东输三线,1171.783
中卫站,古浪站,管段,西气东输三线,1069.634
古浪站,永昌站,管段,西气东输三线,1043.314
临潼站,高陵站,管段,西气东输三线,952.497
华阴站,潼关站,管段,西气东输三线,912.311
永昌站,安平站,管段,西气东输三线,797.014
黑河首站,哈尔滨站,管段,中俄东线,1686.721
哈尔滨站,长春站,管段,中俄东线,1605.258
长春站,沈阳站,管段,中俄东线,1421.913
沈阳站,宝坻站,管段,中俄东线,1410.097
宝坻站,永清站,管段,中俄东线,1363.806
永清站,南通站,管段,中俄东线,1271.663
南通站,如皋站,管段,中俄东线,1127.445
如皋站,海安站,管段,中俄东线,1020.82
海安站,上海站,管段,中俄东线,990.883
靖边站,石家庄站,管段,冀宁线,1099.484
石家庄站,安平站,管段,冀宁线,1040.757
安平站,南京站,管段,冀宁线,865.016
南京站,南通站,管段,冀宁线,814.843
南通站,如皋站,管段,冀宁线,790.644
如皋站,海安站,管段,冀宁线,697.368
普光首站,达州站,管段,川气东送,1447.651
达州站,武汉站,管段,川气东送,1431.853
武汉站,湘潭站,管段,川气东送,1301.025
湘潭站,甪直站,管段,川气东送,1292.143
甪直站,上海站,管段,川气东送,1177.02
上海站,上海白鹤末站,管段,川气东送,1044.34
榆林站,靖边站,管段,陕京二线,1345.117
靖边站,石家庄站,管段,陕京二线,1256.726
石家庄站,永清站,管段,陕京二线,1127.826
永清站,宝坻站,管段,陕京二线,1067.255
永清站,通州南站,管段,陕京二线,995.554
石家庄站,阳曲压气站,管段,陕京二线,172.597
