起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1501.915
乌鲁木齐站,昌吉站,管段,西气东输一线,1469.754
昌吉站,乌苏站,管段,西气东输一线,1251.183
乌苏站,精河站,管段,西气东输一线,1177.945
精河站,中卫站,管段,西气东输一线,1169.805
中卫站,古浪站,管段,西气东输一线,1084.361
古浪站,永昌站,管段,西气东输一线,924.525
永昌站,靖边站,管段,西气东输一线,867.612
靖边站,石家庄站,管段,西气东输一线,766.915
石家庄站,永清站,管段,西气东输一线,670.9
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1759.356
乌鲁木齐站,昌吉站,管段,西气东输二线,1703.421
昌吉站,乌苏站,管段,西气东输二线,1637.355
乌苏站,精河站,管段,西气东输二线,1447.514
精河站,中卫站,管段,西气东输二线,1371.31
中卫站,古浪站,管段,西气东输二线,1399.527
古浪站,永昌站,管段,西气东输二线,1222.838
临潼站,高陵站,管段,西气东输二线,1188.859
华阴站,潼关站,管段,西气东输二线,1081.117
榆林站,靖边站,管段,西气东输二线,1037.236
靖边站,石家庄站,管段,西气东输二线,916.788
石家庄站,永清站,管段,西气东输二线,818.329
永清站,通州南站,管段,西气东输二线,811.864
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1644.876
乌鲁木齐站,昌吉站,管段,西气东输三线,1523.198
昌吉站,乌苏站,管段,西气东输三线,1390.579
乌苏站,精河站,管段,西气东输三线,1326.146
精河站,中卫站,管段,西气东输三线,1271.225
中卫站,古浪站,管段,西气东输三线,1087.466
古浪站,永昌站,管段,西气东输三线,1089.059
临潼站,高陵站,管段,西气东输三线,930.397
华阴站,潼关站,管段,西气东输三线,915.937
永昌站,安平站,管段,西气东输三线,768.464
黑河首站,哈尔滨站,管段,中俄东线,1661.969
哈尔滨站,长春站,管段,中俄东线,1584.95
长春站,沈阳站,管段,中俄东线,1444.679
沈阳站,宝坻站,管段,中俄东线,1434.868
宝坻站,永清站,管段,中俄东线,1302.372
永清站,南通站,管段,中俄东线,1263.475
南通站,如皋站,管段,中俄东线,1093.793
如皋站,海安站,管段,中俄东线,1062.374
海安站,上海站,管段,中俄东线,932.864
靖边站,石家庄站,管段,冀宁线,1036.745
石家庄站,安平站,管段,冀宁线,1015.345
安平站,南京站,管段,冀宁线,902.777
南京站,南通站,管段,冀宁线,803.613
南通站,如皋站,管段,冀宁线,817.955
如皋站,海安站,管段,冀宁线,745.463
普光首站,达州站,管段,川气东送,1598.622
达州站,武汉站,管段,川气东送,1521.966
武汉站,湘潭站,管段,川气东送,1330.952
湘潭站,甪直站,管段,川气东送,1235.408
甪直站,上海站,管段,川气东送,1145.178
上海站,上海白鹤末站,管段,川气东送,1139.732
榆林站,靖边站,管段,陕京二线,1339.42
靖边站,石家庄站,管段,陕京二线,1234.667
石家庄站,永清站,管段,陕京二线,1174.304
永清站,宝坻站,管段,陕京二线,1121.203
永清站,通州南站,管段,陕京二线,1007.569
石家庄站,阳曲压气站,管段,陕京二线,187.567
