起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1486.95
乌鲁木齐站,昌吉站,管段,西气东输一线,1442.299
昌吉站,乌苏站,管段,西气东输一线,1358.416
乌苏站,精河站,管段,西气东输一线,1206.395
精河站,中卫站,管段,西气东输一线,1119.13
中卫站,古浪站,管段,西气东输一线,1096.504
古浪站,永昌站,管段,西气东输一线,941.118
永昌站,靖边站,管段,西气东输一线,855.953
靖边站,石家庄站,管段,西气东输一线,789.817
石家庄站,永清站,管段,西气东输一线,737.303
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1675.409
乌鲁木齐站,昌吉站,管段,西气东输二线,1717.617
昌吉站,乌苏站,管段,西气东输二线,1623.505
乌苏站,精河站,管段,西气东输二线,1480.55
精河站,中卫站,管段,西气东输二线,1489.765
中卫站,古浪站,管段,西气东输二线,1281.494
古浪站,永昌站,管段,西气东输二线,1236.846
临潼站,高陵站,管段,西气东输二线,1174.993
华阴站,潼关站,管段,西气东输二线,1062.262
榆林站,靖边站,管段,西气东输二线,1013.303
靖边站,石家庄站,管段,西气东输二线,921.65
石家庄站,永清站,管段,西气东输二线,842.779
永清站,通州南站,管段,西气东输二线,731.054
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1515.889
乌鲁木齐站,昌吉站,管段,西气东输三线,1472.262
昌吉站,乌苏站,管段,西气东输三线,1418.911
乌苏站,精河站,管段,西气东输三线,1335.713
精河站,中卫站,管段,西气东输三线,1259.441
中卫站,古浪站,管段,西气东输三线,1124.136
古浪站,永昌站,管段,西气东输三线,1008.407
临潼站,高陵站,管段,西气东输三线,928.166
华阴站,潼关站,管段,西气东输三线,864.876
永昌站,安平站,管段,西气东输三线,812.89
黑河首站,哈尔滨站,管段,中俄东线,1721.225
哈尔滨站,长春站,管段,中俄东线,1580.23
长春站,沈阳站,管段,中俄东线,1500.605
沈阳站,宝坻站,管段,中俄东线,1419.859
宝坻站,永清站,管段,中俄东线,1377.795
永清站,南通站,管段,中俄东线,1232.407
南通站,如皋站,管段,中俄东线,1113.132
如皋站,海安站,管段,中俄东线,1009.794
海安站,上海站,管段,中俄东线,895.173
靖边站,石家庄站,管段,冀宁线,1004.415
石家庄站,安平站,管段,冀宁线,994.4
安平站,南京站,管段,冀宁线,868.546
南京站,南通站,管段,冀宁线,857.744
南通站,如皋站,管段,冀宁线,782.722
如皋站,海安站,管段,冀宁线,719.303
普光首站,达州站,管段,川气东送,1454.374
达州站,武汉站,管段,川气东送,1456.454
武汉站,湘潭站,管段,川气东送,1411.989
湘潭站,甪直站,管段,川气东送,1217.424
甪直站,上海站,管段,川气东送,1178.925
上海站,上海白鹤末站,管段,川气东送,1093.219
榆林站,靖边站,管段,陕京二线,1391.356
靖边站,石家庄站,管段,陕京二线,1222.213
石家庄站,永清站,管段,陕京二线,1105.226
永清站,宝坻站,管段,陕京二线,1036.264
永清站,通州南站,管段,陕京二线,951.023
石家庄站,阳曲压气站,管段,陕京二线,185.191
