起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1475.748
乌鲁木齐站,昌吉站,管段,西气东输一线,1324.566
昌吉站,乌苏站,管段,西气东输一线,1263.758
乌苏站,精河站,管段,西气东输一线,1143.847
精河站,中卫站,管段,西气东输一线,1099.43
中卫站,古浪站,管段,西气东输一线,993.166
古浪站,永昌站,管段,西气东输一线,908.236
永昌站,靖边站,管段,西气东输一线,835.568
靖边站,石家庄站,管段,西气东输一线,832.276
石家庄站,永清站,管段,西气东输一线,719.137
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1871.921
乌鲁木齐站,昌吉站,管段,西气东输二线,1731.207
昌吉站,乌苏站,管段,西气东输二线,1570.579
乌苏站,精河站,管段,西气东输二线,1505.293
精河站,中卫站,管段,西气东输二线,1480.096
中卫站,古浪站,管段,西气东输二线,1386.698
古浪站,永昌站,管段,西气东输二线,1227.349
临潼站,高陵站,管段,西气东输二线,1227.317
华阴站,潼关站,管段,西气东输二线,1114.961
榆林站,靖边站,管段,西气东输二线,969.924
靖边站,石家庄站,管段,西气东输二线,969.401
石家庄站,永清站,管段,西气东输二线,865.821
永清站,通州南站,管段,西气东输二线,760.656
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1535.668
乌鲁木齐站,昌吉站,管段,西气东输三线,1436.546
昌吉站,乌苏站,管段,西气东输三线,1335.758
乌苏站,精河站,管段,西气东输三线,1320.14
精河站,中卫站,管段,西气东输三线,1286.699
中卫站,古浪站,管段,西气东输三线,1154.299
古浪站,永昌站,管段,西气东输三线,1101.195
临潼站,高陵站,管段,西气东输三线,1012.889
华阴站,潼关站,管段,西气东输三线,886.638
永昌站,安平站,管段,西气东输三线,800.041
黑河首站,哈尔滨站,管段,中俄东线,1733.459
哈尔滨站,长春站,管段,中俄东线,1590.823
长春站,沈阳站,管段,中俄东线,1430.757
沈阳站,宝坻站,管段,中俄东线,1409.105
宝坻站,永清站,管段,中俄东线,1319.64
永清站,南通站,管段,中俄东线,1220.45
南通站,如皋站,管段,中俄东线,1165.35
如皋站,海安站,管段,中俄东线,1045.157
海安站,上海站,管段,中俄东线,912.41
靖边站,石家庄站,管段,冀宁线,1033.146
石家庄站,安平站,管段,冀宁线,1029.73
安平站,南京站,管段,冀宁线,898.763
南京站,南通站,管段,冀宁线,861.306
南通站,如皋站,管段,冀宁线,747.335
如皋站,海安站,管段,冀宁线,714.883
普光首站,达州站,管段,川气东送,1576.008
达州站,武汉站,管段,川气东送,1387.799
武汉站,湘潭站,管段,川气东送,1362.168
湘潭站,甪直站,管段,川气东送,1306.559
甪直站,上海站,管段,川气东送,1122.628
上海站,上海白鹤末站,管段,川气东送,1087.197
榆林站,靖边站,管段,陕京二线,1322.681
靖边站,石家庄站,管段,陕京二线,1264.671
石家庄站,永清站,管段,陕京二线,1169.442
永清站,宝坻站,管段,陕京二线,1135.873
永清站,通州南站,管段,陕京二线,1021.281
石家庄站,阳曲压气站,管段,陕京二线,177.172
