起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1459.618
乌鲁木齐站,昌吉站,管段,西气东输一线,1456.645
昌吉站,乌苏站,管段,西气东输一线,1336.108
乌苏站,精河站,管段,西气东输一线,1254.994
精河站,中卫站,管段,西气东输一线,1197.383
中卫站,古浪站,管段,西气东输一线,1095.27
古浪站,永昌站,管段,西气东输一线,953.493
永昌站,靖边站,管段,西气东输一线,827.691
靖边站,石家庄站,管段,西气东输一线,755.248
石家庄站,永清站,管段,西气东输一线,724.145
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1760.028
乌鲁木齐站,昌吉站,管段,西气东输二线,1649.942
昌吉站,乌苏站,管段,西气东输二线,1535.569
乌苏站,精河站,管段,西气东输二线,1468.071
精河站,中卫站,管段,西气东输二线,1483.57
中卫站,古浪站,管段,西气东输二线,1272.782
古浪站,永昌站,管段,西气东输二线,1257.508
临潼站,高陵站,管段,西气东输二线,1198.171
华阴站,潼关站,管段,西气东输二线,1124.684
榆林站,靖边站,管段,西气东输二线,1044.874
靖边站,石家庄站,管段,西气东输二线,949.099
石家庄站,永清站,管段,西气东输二线,833.035
永清站,通州南站,管段,西气东输二线,782.359
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1569.687
乌鲁木齐站,昌吉站,管段,西气东输三线,1466.877
昌吉站,乌苏站,管段,西气东输三线,1411.951
乌苏站,精河站,管段,西气东输三线,1324.112
精河站,中卫站,管段,西气东输三线,1263.658
中卫站,古浪站,管段,西气东输三线,1097.348
古浪站,永昌站,管段,西气东输三线,1093.329
临潼站,高陵站,管段,西气东输三线,969.507
华阴站,潼关站,管段,西气东输三线,894.971
永昌站,安平站,管段,西气东输三线,801.244
黑河首站,哈尔滨站,管段,中俄东线,1604.774
哈尔滨站,长春站,管段,中俄东线,1548.489
长春站,沈阳站,管段,中俄东线,1493.374
沈阳站,宝坻站,管段,中俄东线,1383.982
宝坻站,永清站,管段,中俄东线,1251.089
永清站,南通站,管段,中俄东线,1245.174
南通站,如皋站,管段,中俄东线,1108.348
如皋站,海安站,管段,中俄东线,1023.431
海安站,上海站,管段,中俄东线,974.516
靖边站,石家庄站,管段,冀宁线,1021.052
石家庄站,安平站,管段,冀宁线,971.371
安平站,南京站,管段,冀宁线,937.325
南京站,南通站,管段,冀宁线,882.077
南通站,如皋站,管段,冀宁线,812.053
如皋站,海安站,管段,冀宁线,750.787
普光首站,达州站,管段,川气东送,1457.023
达州站,武汉站,管段,川气东送,1490.57
武汉站,湘潭站,管段,川气东送,1359.929
湘潭站,甪直站,管段,川气东送,1262.092
甪直站,上海站,管段,川气东送,1111.425
上海站,上海白鹤末站,管段,川气东送,1155.227
榆林站,靖边站,管段,陕京二线,1289.064
靖边站,石家庄站,管段,陕京二线,1268.795
石家庄站,永清站,管段,陕京二线,1156.334
永清站,宝坻站,管段,陕京二线,1112.566
永清站,通州南站,管段,陕京二线,1020.111
