起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1452.489
乌鲁木齐站,昌吉站,管段,西气东输一线,1368.073
昌吉站,乌苏站,管段,西气东输一线,1262.41
乌苏站,精河站,管段,西气东输一线,1215.821
精河站,中卫站,管段,西气东输一线,1173.547
中卫站,古浪站,管段,西气东输一线,1095.153
古浪站,永昌站,管段,西气东输一线,930.83
永昌站,靖边站,管段,西气东输一线,818.427
靖边站,石家庄站,管段,西气东输一线,761.371
石家庄站,永清站,管段,西气东输一线,729.653
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1699.355
乌鲁木齐站,昌吉站,管段,西气东输二线,1648.572
昌吉站,乌苏站,管段,西气东输二线,1658.404
乌苏站,精河站,管段,西气东输二线,1436.723
精河站,中卫站,管段,西气东输二线,1406.196
中卫站,古浪站,管段,西气东输二线,1359.578
古浪站,永昌站,管段,西气东输二线,1275.594
临潼站,高陵站,管段,西气东输二线,1198.119
华阴站,潼关站,管段,西气东输二线,1100.181
榆林站,靖边站,管段,西气东输二线,1020.191
靖边站,石家庄站,管段,西气东输二线,916.78
石家庄站,永清站,管段,西气东输二线,882.67
永清站,通州南站,管段,西气东输二线,790.624
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1662.35
乌鲁木齐站,昌吉站,管段,西气东输三线,1418.41
昌吉站,乌苏站,管段,西气东输三线,1467.819
乌苏站,精河站,管段,西气东输三线,1372.788
精河站,中卫站,管段,西气东输三线,1247.559
中卫站,古浪站,管段,西气东输三线,1101.34
古浪站,永昌站,管段,西气东输三线,1068.015
临潼站,高陵站,管段,西气东输三线,917.217
华阴站,潼关站,管段,西气东输三线,835.202
永昌站,安平站,管段,西气东输三线,818.768
黑河首站,哈尔滨站,管段,中俄东线,1757.063
哈尔滨站,长春站,管段,中俄东线,1522.976
长春站,沈阳站,管段,中俄东线,1533.538
沈阳站,宝坻站,管段,中俄东线,1312.8
宝坻站,永清站,管段,中俄东线,1337.232
永清站,南通站,管段,中俄东线,1203.25
南通站,如皋站,管段,中俄东线,1121.908
如皋站,海安站,管段,中俄东线,996.791
海安站,上海站,管段,中俄东线,988.768
靖边站,石家庄站,管段,冀宁线,1096.409
石家庄站,安平站,管段,冀宁线,938.28
安平站,南京站,管段,冀宁线,876.464
南京站,南通站,管段,冀宁线,890.826
南通站,如皋站,管段,冀宁线,780.689
如皋站,海安站,管段,冀宁线,710.077
普光首站,达州站,管段,川气东送,1550.805
达州站,武汉站,管段,川气东送,1388.398
武汉站,湘潭站,管段,川气东送,1286.275
湘潭站,甪直站,管段,川气东送,1199.803
甪直站,上海站,管段,川气东送,1205.26
上海站,上海白鹤末站,管段,川气东送,1143.546
榆林站,靖边站,管段,陕京二线,1267.019
靖边站,石家庄站,管段,陕京二线,1189.971
石家庄站,永清站,管段,陕京二线,1164.313
永清站,宝坻站,管段,陕京二线,1074.793
永清站,通州南站,管段,陕京二线,966.173
石家庄站,阳曲压气站,管段,陕京二线,175.408
