起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1408.806
乌鲁木齐站,昌吉站,管段,西气东输一线,1445.11
昌吉站,乌苏站,管段,西气东输一线,1225.466
乌苏站,精河站,管段,西气东输一线,1229.837
精河站,中卫站,管段,西气东输一线,1104.99
中卫站,古浪站,管段,西气东输一线,991.991
古浪站,永昌站,管段,西气东输一线,996.546
永昌站,靖边站,管段,西气东输一线,859.913
靖边站,石家庄站,管段,西气东输一线,832.044
石家庄站,永清站,管段,西气东输一线,736.737
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1857.504
乌鲁木齐站,昌吉站,管段,西气东输二线,1753.474
昌吉站,乌苏站,管段,西气东输二线,1660.9
乌苏站,精河站,管段,西气东输二线,1598.994
精河站,中卫站,管段,西气东输二线,1396.775
中卫站,古浪站,管段,西气东输二线,1366.33
古浪站,永昌站,管段,西气东输二线,1286.218
临潼站,高陵站,管段,西气东输二线,1181.746
华阴站,潼关站,管段,西气东输二线,1091.821
榆林站,靖边站,管段,西气东输二线,998.301
靖边站,石家庄站,管段,西气东输二线,918.046
石家庄站,永清站,管段,西气东输二线,843.529
永清站,通州南站,管段,西气东输二线,759.928
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1517.82
乌鲁木齐站,昌吉站,管段,西气东输三线,1443.009
昌吉站,乌苏站,管段,西气东输三线,1477.928
乌苏站,精河站,管段,西气东输三线,1240.191
精河站,中卫站,管段,西气东输三线,1261.116
中卫站,古浪站,管段,西气东输三线,1153.108
古浪站,永昌站,管段,西气东输三线,1101.345
临潼站,高陵站,管段,西气东输三线,993.451
华阴站,潼关站,管段,西气东输三线,907.693
永昌站,安平站,管段,西气东输三线,842.365
黑河首站,哈尔滨站,管段,中俄东线,1596.87
哈尔滨站,长春站,管段,中俄东线,1529.468
长春站,沈阳站,管段,中俄东线,1431.405
沈阳站,宝坻站,管段,中俄东线,1353.025
宝坻站,永清站,管段,中俄东线,1374.664
永清站,南通站,管段,中俄东线,1240.918
南通站,如皋站,管段,中俄东线,1164.739
如皋站,海安站,管段,中俄东线,1087.165
海安站,上海站,管段,中俄东线,884.975
靖边站,石家庄站,管段,冀宁线,996.648
石家庄站,安平站,管段,冀宁线,936.578
安平站,南京站,管段,冀宁线,866.696
南京站,南通站,管段,冀宁线,815.085
南通站,如皋站,管段,冀宁线,764.54
如皋站,海安站,管段,冀宁线,706.572
普光首站,达州站,管段,川气东送,1487.563
达州站,武汉站,管段,川气东送,1495.338
武汉站,湘潭站,管段,川气东送,1417.942
湘潭站,甪直站,管段,川气东送,1218.318
甪直站,上海站,管段,川气东送,1238.065
上海站,上海白鹤末站,管段,川气东送,1030.919
榆林站,靖边站,管段,陕京二线,1387.368
靖边站,石家庄站,管段,陕京二线,1291.096
石家庄站,永清站,管段,陕京二线,1178.891
永清站,宝坻站,管段,陕京二线,1052.58
永清站,通州南站,管段,陕京二线,1068.948
石家庄站,阳曲压气站,管段,陕京二线,181.373
