起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1425.96
乌鲁木齐站,昌吉站,管段,西气东输一线,1447.653
昌吉站,乌苏站,管段,西气东输一线,1346.894
乌苏站,精河站,管段,西气东输一线,1274.858
精河站,中卫站,管段,西气东输一线,1170.118
中卫站,古浪站,管段,西气东输一线,1060.099
古浪站,永昌站,管段,西气东输一线,930.055
永昌站,靖边站,管段,西气东输一线,892.638
靖边站,石家庄站,管段,西气东输一线,781.126
石家庄站,永清站,管段,西气东输一线,674.471
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1706.31
乌鲁木齐站,昌吉站,管段,西气东输二线,1667.517
昌吉站,乌苏站,管段,西气东输二线,1548.16
乌苏站,精河站,管段,西气东输二线,1577.089
精河站,中卫站,管段,西气东输二线,1374.88
中卫站,古浪站,管段,西气东输二线,1389.629
古浪站,永昌站,管段,西气东输二线,1261.157
临潼站,高陵站,管段,西气东输二线,1170.864
华阴站,潼关站,管段,西气东输二线,1108.456
榆林站,靖边站,管段,西气东输二线,1050.984
靖边站,石家庄站,管段,西气东输二线,877.417
石家庄站,永清站,管段,西气东输二线,818.579
永清站,通州南站,管段,西气东输二线,752.682
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1666.152
乌鲁木齐站,昌吉站,管段,西气东输三线,1530.397
昌吉站,乌苏站,管段,西气东输三线,1349.832
乌苏站,精河站,管段,西气东输三线,1294.88
精河站,中卫站,管段,西气东输三线,1184.48
中卫站,古浪站,管段,西气东输三线,1090.065
古浪站,永昌站,管段,西气东输三线,1074.692
临潼站,高陵站,管段,西气东输三线,922.146
华阴站,潼关站,管段,西气东输三线,897.114
永昌站,安平站,管段,西气东输三线,827.403
黑河首站,哈尔滨站,管段,中俄东线,1648.281
哈尔滨站,长春站,管段,中俄东线,1664.117
长春站,沈阳站,管段,中俄东线,1522.838
沈阳站,宝坻站,管段,中俄东线,1405.414
宝坻站,永清站,管段,中俄东线,1256.525
永清站,南通站,管段,中俄东线,1189.116
南通站,如皋站,管段,中俄东线,1088.877
如皋站,海安站,管段,中俄东线,1030.969
海安站,上海站,管段,中俄东线,915.918
靖边站,石家庄站,管段,冀宁线,1116.494
石家庄站,安平站,管段,冀宁线,1002.797
安平站,南京站,管段,冀宁线,942.056
南京站,南通站,管段,冀宁线,822.206
南通站,如皋站,管段,冀宁线,770.899
如皋站,海安站,管段,冀宁线,673.295
普光首站,达州站,管段,川气东送,1534.317
达州站,武汉站,管段,川气东送,1439.924
武汉站,湘潭站,管段,川气东送,1366.011
湘潭站,甪直站,管段,川气东送,1200.864
甪直站,上海站,管段,川气东送,1231.238
上海站,上海白鹤末站,管段,川气东送,1115.393
榆林站,靖边站,管段,陕京二线,1258.416
靖边站,石家庄站,管段,陕京二线,1259.73
石家庄站,永清站,管段,陕京二线,1094.886
永清站,宝坻站,管段,陕京二线,1056.262
永清站,通州南站,管段,陕京二线,987.433
石家庄站,阳曲压气站,管段,陕京二线,189.96
