起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1418.465
乌鲁木齐站,昌吉站,管段,西气东输一线,1430.23
昌吉站,乌苏站,管段,西气东输一线,1258.567
乌苏站,精河站,管段,西气东输一线,1247.92
精河站,中卫站,管段,西气东输一线,1148.071
中卫站,古浪站,管段,西气东输一线,1087.616
古浪站,永昌站,管段,西气东输一线,915.066
永昌站,靖边站,管段,西气东输一线,878.471
靖边站,石家庄站,管段,西气东输一线,756.066
石家庄站,永清站,管段,西气东输一线,675.793
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1714.097
乌鲁木齐站,昌吉站,管段,西气东输二线,1679.781
昌吉站,乌苏站,管段,西气东输二线,1504.28
乌苏站,精河站,管段,西气东输二线,1426.207
精河站,中卫站,管段,西气东输二线,1448.62
中卫站,古浪站,管段,西气东输二线,1305.449
古浪站,永昌站,管段,西气东输二线,1284.524
临潼站,高陵站,管段,西气东输二线,1129.958
华阴站,潼关站,管段,西气东输二线,1141.889
榆林站,靖边站,管段,西气东输二线,968.304
靖边站,石家庄站,管段,西气东输二线,895.476
石家庄站,永清站,管段,西气东输二线,846.669
永清站,通州南站,管段,西气东输二线,749.476
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1543.766
乌鲁木齐站,昌吉站,管段,西气东输三线,1407.262
昌吉站,乌苏站,管段,西气东输三线,1482.182
乌苏站,精河站,管段,西气东输三线,1316.178
精河站,中卫站,管段,西气东输三线,1165.89
中卫站,古浪站,管段,西气东输三线,1082.678
古浪站,永昌站,管段,西气东输三线,1034.181
临潼站,高陵站,管段,西气东输三线,914.42
华阴站,潼关站,管段,西气东输三线,914.684
永昌站,安平站,管段,西气东输三线,858.461
黑河首站,哈尔滨站,管段,中俄东线,1676.142
哈尔滨站,长春站,管段,中俄东线,1587.655
长春站,沈阳站,管段,中俄东线,1408.22
沈阳站,宝坻站,管段,中俄东线,1375.93
宝坻站,永清站,管段,中俄东线,1353.54
永清站,南通站,管段,中俄东线,1275.018
南通站,如皋站,管段,中俄东线,1186.712
如皋站,海安站,管段,中俄东线,1038.936
海安站,上海站,管段,中俄东线,969.39
靖边站,石家庄站,管段,冀宁线,1045.305
石家庄站,安平站,管段,冀宁线,991.438
安平站,南京站,管段,冀宁线,959.804
南京站,南通站,管段,冀宁线,893.844
南通站,如皋站,管段,冀宁线,772.496
如皋站,海安站,管段,冀宁线,721.158
普光首站,达州站,管段,川气东送,1498.624
达州站,武汉站,管段,川气东送,1412.732
武汉站,湘潭站,管段,川气东送,1301.156
湘潭站,甪直站,管段,川气东送,1262.651
甪直站,上海站,管段,川气东送,1128.328
上海站,上海白鹤末站,管段,川气东送,1094.948
榆林站,靖边站,管段,陕京二线,1346.423
靖边站,石家庄站,管段,陕京二线,1238.029
石家庄站,永清站,管段,陕京二线,1186.675
永清站,宝坻站,管段,陕京二线,1024.878
永清站,通州南站,管段,陕京二线,1066.341
