起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1467.092
乌鲁木齐站,昌吉站,管段,西气东输一线,1398.403
昌吉站,乌苏站,管段,西气东输一线,1253.825
乌苏站,精河站,管段,西气东输一线,1205.272
精河站,中卫站,管段,西气东输一线,1139.882
中卫站,古浪站,管段,西气东输一线,1087.01
古浪站,永昌站,管段,西气东输一线,995.062
永昌站,靖边站,管段,西气东输一线,840.289
靖边站,石家庄站,管段,西气东输一线,820.375
石家庄站,永清站,管段,西气东输一线,730.18
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1767.323
乌鲁木齐站,昌吉站,管段,西气东输二线,1682.442
昌吉站,乌苏站,管段,西气东输二线,1558.329
乌苏站,精河站,管段,西气东输二线,1512.482
精河站,中卫站,管段,西气东输二线,1444.01
中卫站,古浪站,管段,西气东输二线,1398.568
古浪站,永昌站,管段,西气东输二线,1248.485
临潼站,高陵站,管段,西气东输二线,1181.574
华阴站,潼关站,管段,西气东输二线,1121.764
榆林站,靖边站,管段,西气东输二线,980.598
靖边站,石家庄站,管段,西气东输二线,952.662
石家庄站,永清站,管段,西气东输二线,831.481
永清站,通州南站,管段,西气东输二线,793.455
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1528.102
乌鲁木齐站,昌吉站,管段,西气东输三线,1473.861
昌吉站,乌苏站,管段,西气东输三线,1372.199
乌苏站,精河站,管段,西气东输三线,1244.886
精河站,中卫站,管段,西气东输三线,1287.642
中卫站,古浪站,管段,西气东输三线,1149.235
古浪站,永昌站,管段,西气东输三线,1061.634
临潼站,高陵站,管段,西气东输三线,923.172
华阴站,潼关站,管段,西气东输三线,856.957
永昌站,安平站,管段,西气东输三线,844.499
黑河首站,哈尔滨站,管段,中俄东线,1730.448
哈尔滨站,长春站,管段,中俄东线,1663.995
长春站,沈阳站,管段,中俄东线,1483.421
沈阳站,宝坻站,管段,中俄东线,1469.544
宝坻站,永清站,管段,中俄东线,1328.507
永清站,南通站,管段,中俄东线,1157.603
南通站,如皋站,管段,中俄东线,1108.726
如皋站,海安站,管段,中俄东线,991.361
海安站,上海站,管段,中俄东线,925.071
靖边站,石家庄站,管段,冀宁线,1096.975
石家庄站,安平站,管段,冀宁线,1033.458
安平站,南京站,管段,冀宁线,896.192
南京站,南通站,管段,冀宁线,845.172
南通站,如皋站,管段,冀宁线,792.636
如皋站,海安站,管段,冀宁线,749.593
普光首站,达州站,管段,川气东送,1529.011
达州站,武汉站,管段,川气东送,1370.768
武汉站,湘潭站,管段,川气东送,1322.139
湘潭站,甪直站,管段,川气东送,1311.73
甪直站,上海站,管段,川气东送,1178.463
上海站,上海白鹤末站,管段,川气东送,1116.871
榆林站,靖边站,管段,陕京二线,1340.125
靖边站,石家庄站,管段,陕京二线,1197.225
石家庄站,永清站,管段,陕京二线,1104.076
永清站,宝坻站,管段,陕京二线,1041.336
永清站,通州南站,管段,陕京二线,986.356
石家庄站,阳曲压气站,管段,陕京二线,188.835
