起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1502.098
乌鲁木齐站,昌吉站,管段,西气东输一线,1381.505
昌吉站,乌苏站,管段,西气东输一线,1304.124
乌苏站,精河站,管段,西气东输一线,1146.113
精河站,中卫站,管段,西气东输一线,1150.427
中卫站,古浪站,管段,西气东输一线,987.529
古浪站,永昌站,管段,西气东输一线,937.993
永昌站,靖边站,管段,西气东输一线,903.226
靖边站,石家庄站,管段,西气东输一线,791.228
石家庄站,永清站,管段,西气东输一线,723.72
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1756.045
乌鲁木齐站,昌吉站,管段,西气东输二线,1776.013
昌吉站,乌苏站,管段,西气东输二线,1562.546
乌苏站,精河站,管段,西气东输二线,1467.963
精河站,中卫站,管段,西气东输二线,1389.654
中卫站,古浪站,管段,西气东输二线,1254.797
古浪站,永昌站,管段,西气东输二线,1179.565
临潼站,高陵站,管段,西气东输二线,1193.501
华阴站,潼关站,管段,西气东输二线,1100.488
榆林站,靖边站,管段,西气东输二线,957.728
靖边站,石家庄站,管段,西气东输二线,981.877
石家庄站,永清站,管段,西气东输二线,844.532
永清站,通州南站,管段,西气东输二线,756.987
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1639.814
乌鲁木齐站,昌吉站,管段,西气东输三线,1416.448
昌吉站,乌苏站,管段,西气东输三线,1421.8
乌苏站,精河站,管段,西气东输三线,1338.639
精河站,中卫站,管段,西气东输三线,1235.357
中卫站,古浪站,管段,西气东输三线,1188.655
古浪站,永昌站,管段,西气东输三线,999.817
临潼站,高陵站,管段,西气东输三线,954.665
华阴站,潼关站,管段,西气东输三线,851.85
永昌站,安平站,管段,西气东输三线,851.638
黑河首站,哈尔滨站,管段,中俄东线,1567.734
哈尔滨站,长春站,管段,中俄东线,1546.127
长春站,沈阳站,管段,中俄东线,1558.197
沈阳站,宝坻站,管段,中俄东线,1456.645
宝坻站,永清站,管段,中俄东线,1254.898
永清站,南通站,管段,中俄东线,1153.708
南通站,如皋站,管段,中俄东线,1106.654
如皋站,海安站,管段,中俄东线,1072.58
海安站,上海站,管段,中俄东线,905.324
靖边站,石家庄站,管段,冀宁线,1039.996
石家庄站,安平站,管段,冀宁线,941.427
安平站,南京站,管段,冀宁线,949.779
南京站,南通站,管段,冀宁线,858.63
南通站,如皋站,管段,冀宁线,823.539
如皋站,海安站,管段,冀宁线,670.534
普光首站,达州站,管段,川气东送,1614.485
达州站,武汉站,管段,川气东送,1375.929
武汉站,湘潭站,管段,川气东送,1382.282
湘潭站,甪直站,管段,川气东送,1303.323
甪直站,上海站,管段,川气东送,1133.004
上海站,上海白鹤末站,管段,川气东送,1109.27
榆林站,靖边站,管段,陕京二线,1396.191
靖边站,石家庄站,管段,陕京二线,1207.456
石家庄站,永清站,管段,陕京二线,1205.968
永清站,宝坻站,管段,陕京二线,1097.93
永清站,通州南站,管段,陕京二线,1007.826
石家庄站,阳曲压气站,管段,陕京二线,188.218
