起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1486.28
乌鲁木齐站,昌吉站,管段,西气东输一线,1323.584
昌吉站,乌苏站,管段,西气东输一线,1361.898
乌苏站,精河站,管段,西气东输一线,1143.306
精河站,中卫站,管段,西气东输一线,1079.038
中卫站,古浪站,管段,西气东输一线,1031.682
古浪站,永昌站,管段,西气东输一线,939.729
永昌站,靖边站,管段,西气东输一线,875.387
靖边站,石家庄站,管段,西气东输一线,819.114
石家庄站,永清站,管段,西气东输一线,743.36
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1716.761
乌鲁木齐站,昌吉站,管段,西气东输二线,1664.686
昌吉站,乌苏站,管段,西气东输二线,1622.572
乌苏站,精河站,管段,西气东输二线,1560.21
精河站,中卫站,管段,西气东输二线,1487.127
中卫站,古浪站,管段,西气东输二线,1321.709
古浪站,永昌站,管段,西气东输二线,1231.938
临潼站,高陵站,管段,西气东输二线,1158.811
华阴站,潼关站,管段,西气东输二线,1040.626
榆林站,靖边站,管段,西气东输二线,1046.679
靖边站,石家庄站,管段,西气东输二线,984.051
石家庄站,永清站,管段,西气东输二线,861.92
永清站,通州南站,管段,西气东输二线,747.199
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1562.547
乌鲁木齐站,昌吉站,管段,西气东输三线,1516.759
昌吉站,乌苏站,管段,西气东输三线,1381.849
乌苏站,精河站,管段,西气东输三线,1359.31
精河站,中卫站,管段,西气东输三线,1156.113
中卫站,古浪站,管段,西气东输三线,1062.32
古浪站,永昌站,管段,西气东输三线,1094.054
临潼站,高陵站,管段,西气东输三线,929.338
华阴站,潼关站,管段,西气东输三线,831.104
永昌站,安平站,管段,西气东输三线,799.256
黑河首站,哈尔滨站,管段,中俄东线,1702.131
哈尔滨站,长春站,管段,中俄东线,1509.28
长春站,沈阳站,管段,中俄东线,1567.589
沈阳站,宝坻站,管段,中俄东线,1412.004
宝坻站,永清站,管段,中俄东线,1275.547
永清站,南通站,管段,中俄东线,1260.88
南通站,如皋站,管段,中俄东线,1161.94
如皋站,海安站,管段,中俄东线,1077.918
海安站,上海站,管段,中俄东线,920.579
靖边站,石家庄站,管段,冀宁线,999.295
石家庄站,安平站,管段,冀宁线,973.36
安平站,南京站,管段,冀宁线,942.113
南京站,南通站,管段,冀宁线,898.782
南通站,如皋站,管段,冀宁线,813.59
如皋站,海安站,管段,冀宁线,732.237
普光首站,达州站,管段,川气东送,1541.786
达州站,武汉站,管段,川气东送,1401.568
武汉站,湘潭站,管段,川气东送,1421.262
湘潭站,甪直站,管段,川气东送,1283.551
甪直站,上海站,管段,川气东送,1139.684
上海站,上海白鹤末站,管段,川气东送,1056.291
榆林站,靖边站,管段,陕京二线,1311.551
靖边站,石家庄站,管段,陕京二线,1254.628
石家庄站,永清站,管段,陕京二线,1138.555
永清站,宝坻站,管段,陕京二线,1137.923
永清站,通州南站,管段,陕京二线,965.138
