起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1567.276
乌鲁木齐站,昌吉站,管段,西气东输一线,1342.728
昌吉站,乌苏站,管段,西气东输一线,1227.568
乌苏站,精河站,管段,西气东输一线,1165.954
精河站,中卫站,管段,西气东输一线,1118.516
中卫站,古浪站,管段,西气东输一线,1050.058
古浪站,永昌站,管段,西气东输一线,913.7
永昌站,靖边站,管段,西气东输一线,843.125
靖边站,石家庄站,管段,西气东输一线,753.153
石家庄站,永清站,管段,西气东输一线,713.851
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1756.286
乌鲁木齐站,昌吉站,管段,西气东输二线,1723.894
昌吉站,乌苏站,管段,西气东输二线,1576.378
乌苏站,精河站,管段,西气东输二线,1582.824
精河站,中卫站,管段,西气东输二线,1460.485
中卫站,古浪站,管段,西气东输二线,1383.886
古浪站,永昌站,管段,西气东输二线,1268.235
临潼站,高陵站,管段,西气东输二线,1215.947
华阴站,潼关站,管段,西气东输二线,1079.755
榆林站,靖边站,管段,西气东输二线,1048.496
靖边站,石家庄站,管段,西气东输二线,921.589
石家庄站,永清站,管段,西气东输二线,888.832
永清站,通州南站,管段,西气东输二线,808.745
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1662.933
乌鲁木齐站,昌吉站,管段,西气东输三线,1566.743
昌吉站,乌苏站,管段,西气东输三线,1410.706
乌苏站,精河站,管段,西气东输三线,1347.036
精河站,中卫站,管段,西气东输三线,1284.911
中卫站,古浪站,管段,西气东输三线,1191.15
古浪站,永昌站,管段,西气东输三线,1068.39
临潼站,高陵站,管段,西气东输三线,1014.969
华阴站,潼关站,管段,西气东输三线,890.662
永昌站,安平站,管段,西气东输三线,766.897
黑河首站,哈尔滨站,管段,中俄东线,1590.798
哈尔滨站,长春站,管段,中俄东线,1649.919
长春站,沈阳站,管段,中俄东线,1400.716
沈阳站,宝坻站,管段,中俄东线,1312.494
宝坻站,永清站,管段,中俄东线,1236.921
永清站,南通站,管段,中俄东线,1139.103
南通站,如皋站,管段,中俄东线,1112.816
如皋站,海安站,管段,中俄东线,1042.671
海安站,上海站,管段,中俄东线,974.562
靖边站,石家庄站,管段,冀宁线,1021.328
石家庄站,安平站,管段,冀宁线,1047.723
安平站,南京站,管段,冀宁线,874.41
南京站,南通站,管段,冀宁线,891.45
南通站,如皋站,管段,冀宁线,748.545
如皋站,海安站,管段,冀宁线,693.007
普光首站,达州站,管段,川气东送,1475.437
达州站,武汉站,管段,川气东送,1489.32
武汉站,湘潭站,管段,川气东送,1355.733
湘潭站,甪直站,管段,川气东送,1336.482
甪直站,上海站,管段,川气东送,1230.079
上海站,上海白鹤末站,管段,川气东送,1056.978
榆林站,靖边站,管段,陕京二线,1311.849
靖边站,石家庄站,管段,陕京二线,1251.747
石家庄站,永清站,管段,陕京二线,1184.616
永清站,宝坻站,管段,陕京二线,1020.883
永清站,通州南站,管段,陕京二线,978.587
石家庄站,阳曲压气站,管段,陕京二线,180.443
