起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1529.894
乌鲁木齐站,昌吉站,管段,西气东输一线,1395.569
昌吉站,乌苏站,管段,西气东输一线,1238.852
乌苏站,精河站,管段,西气东输一线,1259.982
精河站,中卫站,管段,西气东输一线,1085.806
中卫站,古浪站,管段,西气东输一线,1088.518
古浪站,永昌站,管段,西气东输一线,965.351
永昌站,靖边站,管段,西气东输一线,862.884
靖边站,石家庄站,管段,西气东输一线,780.289
石家庄站,永清站,管段,西气东输一线,687.787
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1798.232
乌鲁木齐站,昌吉站,管段,西气东输二线,1783.626
昌吉站,乌苏站,管段,西气东输二线,1517.515
乌苏站,精河站,管段,西气东输二线,1592.632
精河站,中卫站,管段,西气东输二线,1378.577
中卫站,古浪站,管段,西气东输二线,1367.705
古浪站,永昌站,管段,西气东输二线,1219.499
临潼站,高陵站,管段,西气东输二线,1172.668
华阴站,潼关站,管段,西气东输二线,1118.077
榆林站,靖边站,管段,西气东输二线,1002.81
靖边站,石家庄站,管段,西气东输二线,924.112
石家庄站,永清站,管段,西气东输二线,821.177
永清站,通州南站,管段,西气东输二线,804.909
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1592.188
乌鲁木齐站,昌吉站,管段,西气东输三线,1439.82
昌吉站,乌苏站,管段,西气东输三线,1457.571
乌苏站,精河站,管段,西气东输三线,1327.124
精河站,中卫站,管段,西气东输三线,1251.276
中卫站,古浪站,管段,西气东输三线,1189.1
古浪站,永昌站,管段,西气东输三线,1092.892
临潼站,高陵站,管段,西气东输三线,960.738
华阴站,潼关站,管段,西气东输三线,834.405
永昌站,安平站,管段,西气东输三线,845.857
黑河首站,哈尔滨站,管段,中俄东线,1560.591
哈尔滨站,长春站,管段,中俄东线,1622.234
长春站,沈阳站,管段,中俄东线,1404.908
沈阳站,宝坻站,管段,中俄东线,1337.427
宝坻站,永清站,管段,中俄东线,1288.906
永清站,南通站,管段,中俄东线,1154.807
南通站,如皋站,管段,中俄东线,1148.467
如皋站,海安站,管段,中俄东线,1058.44
海安站,上海站,管段,中俄东线,903.137
靖边站,石家庄站,管段,冀宁线,1054.732
石家庄站,安平站,管段,冀宁线,984.634
安平站,南京站,管段,冀宁线,949.653
南京站,南通站,管段,冀宁线,799.166
南通站,如皋站,管段,冀宁线,760.716
如皋站,海安站,管段,冀宁线,697.729
普光首站,达州站,管段,川气东送,1501.224
达州站,武汉站,管段,川气东送,1392.769
武汉站,湘潭站,管段,川气东送,1344.943
湘潭站,甪直站,管段,川气东送,1270.325
甪直站,上海站,管段,川气东送,1155.913
上海站,上海白鹤末站,管段,川气东送,1085.826
榆林站,靖边站,管段,陕京二线,1342.765
靖边站,石家庄站,管段,陕京二线,1174.448
石家庄站,永清站,管段,陕京二线,1180.504
永清站,宝坻站,管段,陕京二线,1055.927
永清站,通州南站,管段,陕京二线,987.451
