起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1491.423
乌鲁木齐站,昌吉站,管段,西气东输一线,1358.856
昌吉站,乌苏站,管段,西气东输一线,1250.104
乌苏站,精河站,管段,西气东输一线,1255.308
精河站,中卫站,管段,西气东输一线,1085.332
中卫站,古浪站,管段,西气东输一线,1063.042
古浪站,永昌站,管段,西气东输一线,920.458
永昌站,靖边站,管段,西气东输一线,859.906
靖边站,石家庄站,管段,西气东输一线,797.428
石家庄站,永清站,管段,西气东输一线,679.533
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1701.603
乌鲁木齐站,昌吉站,管段,西气东输二线,1661.774
昌吉站,乌苏站,管段,西气东输二线,1627.187
乌苏站,精河站,管段,西气东输二线,1460.515
精河站,中卫站,管段,西气东输二线,1489.571
中卫站,古浪站,管段,西气东输二线,1259.697
古浪站,永昌站,管段,西气东输二线,1194.323
临潼站,高陵站,管段,西气东输二线,1196.026
华阴站,潼关站,管段,西气东输二线,1061.927
榆林站,靖边站,管段,西气东输二线,963.846
靖边站,石家庄站,管段,西气东输二线,908.828
石家庄站,永清站,管段,西气东输二线,846.025
永清站,通州南站,管段,西气东输二线,790.591
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1614.8
乌鲁木齐站,昌吉站,管段,西气东输三线,1464.983
昌吉站,乌苏站,管段,西气东输三线,1477.988
乌苏站,精河站,管段,西气东输三线,1305.416
精河站,中卫站,管段,西气东输三线,1163.495
中卫站,古浪站,管段,西气东输三线,1093.61
古浪站,永昌站,管段,西气东输三线,1082.209
临潼站,高陵站,管段,西气东输三线,959.529
华阴站,潼关站,管段,西气东输三线,917.488
永昌站,安平站,管段,西气东输三线,785.659
黑河首站,哈尔滨站,管段,中俄东线,1715.081
哈尔滨站,长春站,管段,中俄东线,1594.754
长春站,沈阳站,管段,中俄东线,1448.802
沈阳站,宝坻站,管段,中俄东线,1362.272
宝坻站,永清站,管段,中俄东线,1341.281
永清站,南通站,管段,中俄东线,1205.941
南通站,如皋站,管段,中俄东线,1092.11
如皋站,海安站,管段,中俄东线,1061.177
海安站,上海站,管段,中俄东线,981.806
靖边站,石家庄站,管段,冀宁线,1048.087
石家庄站,安平站,管段,冀宁线,943.125
安平站,南京站,管段,冀宁线,914.213
南京站,南通站,管段,冀宁线,834.941
南通站,如皋站,管段,冀宁线,763.476
如皋站,海安站,管段,冀宁线,670.956
普光首站,达州站,管段,川气东送,1569.084
达州站,武汉站,管段,川气东送,1478.232
武汉站,湘潭站,管段,川气东送,1366.395
湘潭站,甪直站,管段,川气东送,1255.14
甪直站,上海站,管段,川气东送,1115.613
上海站,上海白鹤末站,管段,川气东送,1026.551
榆林站,靖边站,管段,陕京二线,1352.477
靖边站,石家庄站,管段,陕京二线,1186.369
石家庄站,永清站,管段,陕京二线,1155.705
永清站,宝坻站,管段,陕京二线,1125.572
永清站,通州南站,管段,陕京二线,1027.172
石家庄站,阳曲压气站,管段,陕京二线,178.411
