起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1490.391
乌鲁木齐站,昌吉站,管段,西气东输一线,1468.543
昌吉站,乌苏站,管段,西气东输一线,1235.421
乌苏站,精河站,管段,西气东输一线,1162.881
精河站,中卫站,管段,西气东输一线,1062.843
中卫站,古浪站,管段,西气东输一线,1042.027
古浪站,永昌站,管段,西气东输一线,986.897
永昌站,靖边站,管段,西气东输一线,878.16
靖边站,石家庄站,管段,西气东输一线,773.934
石家庄站,永清站,管段,西气东输一线,701.594
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1783.123
乌鲁木齐站,昌吉站,管段,西气东输二线,1770.968
昌吉站,乌苏站,管段,西气东输二线,1506.283
乌苏站,精河站,管段,西气东输二线,1453.176
精河站,中卫站,管段,西气东输二线,1386.258
中卫站,古浪站,管段,西气东输二线,1263.645
古浪站,永昌站,管段,西气东输二线,1265.792
临潼站,高陵站,管段,西气东输二线,1218.635
华阴站,潼关站,管段,西气东输二线,1054.907
榆林站,靖边站,管段,西气东输二线,1037.596
靖边站,石家庄站,管段,西气东输二线,960.569
石家庄站,永清站,管段,西气东输二线,807.25
永清站,通州南站,管段,西气东输二线,807.886
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1606.963
乌鲁木齐站,昌吉站,管段,西气东输三线,1575.674
昌吉站,乌苏站,管段,西气东输三线,1385.101
乌苏站,精河站,管段,西气东输三线,1326.321
精河站,中卫站,管段,西气东输三线,1273.117
中卫站,古浪站,管段,西气东输三线,1074.409
古浪站,永昌站,管段,西气东输三线,1008.427
临潼站,高陵站,管段,西气东输三线,1009.621
华阴站,潼关站,管段,西气东输三线,891.437
永昌站,安平站,管段,西气东输三线,783.009
黑河首站,哈尔滨站,管段,中俄东线,1712.824
哈尔滨站,长春站,管段,中俄东线,1570.866
长春站,沈阳站,管段,中俄东线,1431.96
沈阳站,宝坻站,管段,中俄东线,1403.639
宝坻站,永清站,管段,中俄东线,1226.296
永清站,南通站,管段,中俄东线,1234.333
南通站,如皋站,管段,中俄东线,1137.125
如皋站,海安站,管段,中俄东线,1076.514
海安站,上海站,管段,中俄东线,920.198
靖边站,石家庄站,管段,冀宁线,1094.023
石家庄站,安平站,管段,冀宁线,999.104
安平站,南京站,管段,冀宁线,880.523
南京站,南通站,管段,冀宁线,872.449
南通站,如皋站,管段,冀宁线,792.604
如皋站,海安站,管段,冀宁线,671.528
普光首站,达州站,管段,川气东送,1568.452
达州站,武汉站,管段,川气东送,1379.666
武汉站,湘潭站,管段,川气东送,1327.037
湘潭站,甪直站,管段,川气东送,1250.923
甪直站,上海站,管段,川气东送,1166.842
上海站,上海白鹤末站,管段,川气东送,1042.865
榆林站,靖边站,管段,陕京二线,1263.364
靖边站,石家庄站,管段,陕京二线,1199.985
石家庄站,永清站,管段,陕京二线,1205.253
永清站,宝坻站,管段,陕京二线,1042.69
永清站,通州南站,管段,陕京二线,1059.161
石家庄站,阳曲压气站,管段,陕京二线,190.428
