起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1454.751
乌鲁木齐站,昌吉站,管段,西气东输一线,1345.116
昌吉站,乌苏站,管段,西气东输一线,1234.455
乌苏站,精河站,管段,西气东输一线,1215.537
精河站,中卫站,管段,西气东输一线,1111.463
中卫站,古浪站,管段,西气东输一线,1000.506
古浪站,永昌站,管段,西气东输一线,977.372
永昌站,靖边站,管段,西气东输一线,919.934
靖边站,石家庄站,管段,西气东输一线,755.337
石家庄站,永清站,管段,西气东输一线,741.965
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1838.763
乌鲁木齐站,昌吉站,管段,西气东输二线,1781.525
昌吉站,乌苏站,管段,西气东输二线,1506.097
乌苏站,精河站,管段,西气东输二线,1524.504
精河站,中卫站,管段,西气东输二线,1449.716
中卫站,古浪站,管段,西气东输二线,1313.209
古浪站,永昌站,管段,西气东输二线,1248.353
临潼站,高陵站,管段,西气东输二线,1091.818
华阴站,潼关站,管段,西气东输二线,1018.412
榆林站,靖边站,管段,西气东输二线,1068.22
靖边站,石家庄站,管段,西气东输二线,913.15
石家庄站,永清站,管段,西气东输二线,831.365
永清站,通州南站,管段,西气东输二线,797.956
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1512.062
乌鲁木齐站,昌吉站,管段,西气东输三线,1430.784
昌吉站,乌苏站,管段,西气东输三线,1384.632
乌苏站,精河站,管段,西气东输三线,1388.348
精河站,中卫站,管段,西气东输三线,1255.801
中卫站,古浪站,管段,西气东输三线,1143.765
古浪站,永昌站,管段,西气东输三线,1052.964
临潼站,高陵站,管段,西气东输三线,945.115
华阴站,潼关站,管段,西气东输三线,871.064
永昌站,安平站,管段,西气东输三线,820.322
黑河首站,哈尔滨站,管段,中俄东线,1672.565
哈尔滨站,长春站,管段,中俄东线,1544.559
长春站,沈阳站,管段,中俄东线,1542.629
沈阳站,宝坻站,管段,中俄东线,1371.245
宝坻站,永清站,管段,中俄东线,1306.824
永清站,南通站,管段,中俄东线,1202.824
南通站,如皋站,管段,中俄东线,1071.786
如皋站,海安站,管段,中俄东线,1040.167
海安站,上海站,管段,中俄东线,958.017
靖边站,石家庄站,管段,冀宁线,1022.149
石家庄站,安平站,管段,冀宁线,968.558
安平站,南京站,管段,冀宁线,911.757
南京站,南通站,管段,冀宁线,827.798
南通站,如皋站,管段,冀宁线,810.131
如皋站,海安站,管段,冀宁线,702.34
普光首站,达州站,管段,川气东送,1547.864
达州站,武汉站,管段,川气东送,1366.003
武汉站,湘潭站,管段,川气东送,1353.369
湘潭站,甪直站,管段,川气东送,1290.155
甪直站,上海站,管段,川气东送,1178.891
上海站,上海白鹤末站,管段,川气东送,1128.224
榆林站,靖边站,管段,陕京二线,1257.28
靖边站,石家庄站,管段,陕京二线,1254.321
石家庄站,永清站,管段,陕京二线,1122.814
永清站,宝坻站,管段,陕京二线,1144.254
永清站,通州南站,管段,陕京二线,956.327
