起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1499.307
乌鲁木齐站,昌吉站,管段,西气东输一线,1335.294
昌吉站,乌苏站,管段,西气东输一线,1225.5
乌苏站,精河站,管段,西气东输一线,1190.64
精河站,中卫站,管段,西气东输一线,1136.494
中卫站,古浪站,管段,西气东输一线,1112.733
古浪站,永昌站,管段,西气东输一线,934.162
永昌站,靖边站,管段,西气东输一线,899.7
靖边站,石家庄站,管段,西气东输一线,828.63
石家庄站,永清站,管段,西气东输一线,687.581
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1765.955
乌鲁木齐站,昌吉站,管段,西气东输二线,1680.889
昌吉站,乌苏站,管段,西气东输二线,1532.405
乌苏站,精河站,管段,西气东输二线,1573.149
精河站,中卫站,管段,西气东输二线,1373.455
中卫站,古浪站,管段,西气东输二线,1405.59
古浪站,永昌站,管段,西气东输二线,1231.88
临潼站,高陵站,管段,西气东输二线,1103.115
华阴站,潼关站,管段,西气东输二线,1143.182
榆林站,靖边站,管段,西气东输二线,1055.602
靖边站,石家庄站,管段,西气东输二线,972.605
石家庄站,永清站,管段,西气东输二线,835.629
永清站,通州南站,管段,西气东输二线,785.557
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1572.537
乌鲁木齐站,昌吉站,管段,西气东输三线,1456.481
昌吉站,乌苏站,管段,西气东输三线,1410.515
乌苏站,精河站,管段,西气东输三线,1259.051
精河站,中卫站,管段,西气东输三线,1279.447
中卫站,古浪站,管段,西气东输三线,1121.423
古浪站,永昌站,管段,西气东输三线,1042.03
临潼站,高陵站,管段,西气东输三线,1010.918
华阴站,潼关站,管段,西气东输三线,828.803
永昌站,安平站,管段,西气东输三线,782.101
黑河首站,哈尔滨站,管段,中俄东线,1646.677
哈尔滨站,长春站,管段,中俄东线,1495.296
长春站,沈阳站,管段,中俄东线,1557.795
沈阳站,宝坻站,管段,中俄东线,1417.4
宝坻站,永清站,管段,中俄东线,1346.723
永清站,南通站,管段,中俄东线,1189.034
南通站,如皋站,管段,中俄东线,1144.146
如皋站,海安站,管段,中俄东线,1006.163
海安站,上海站,管段,中俄东线,930.867
靖边站,石家庄站,管段,冀宁线,1004.889
石家庄站,安平站,管段,冀宁线,985.268
安平站,南京站,管段,冀宁线,905.971
南京站,南通站,管段,冀宁线,828.544
南通站,如皋站,管段,冀宁线,797.928
如皋站,海安站,管段,冀宁线,745.111
普光首站,达州站,管段,川气东送,1456.438
达州站,武汉站,管段,川气东送,1514.695
武汉站,湘潭站,管段,川气东送,1393.231
湘潭站,甪直站,管段,川气东送,1322.777
甪直站,上海站,管段,川气东送,1141.711
上海站,上海白鹤末站,管段,川气东送,1088.23
榆林站,靖边站,管段,陕京二线,1242.3
靖边站,石家庄站,管段,陕京二线,1287.928
石家庄站,永清站,管段,陕京二线,1155.925
永清站,宝坻站,管段,陕京二线,1039.52
永清站,通州南站,管段,陕京二线,971.988
石家庄站,阳曲压气站,管段,陕京二线,187.894
