起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1477.667
乌鲁木齐站,昌吉站,管段,西气东输一线,1341.228
昌吉站,乌苏站,管段,西气东输一线,1309.448
乌苏站,精河站,管段,西气东输一线,1213.395
精河站,中卫站,管段,西气东输一线,1136.141
中卫站,古浪站,管段,西气东输一线,1000.499
古浪站,永昌站,管段,西气东输一线,964.503
永昌站,靖边站,管段,西气东输一线,880.035
靖边站,石家庄站,管段,西气东输一线,816.554
石家庄站,永清站,管段,西气东输一线,676.081
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1691.242
乌鲁木齐站,昌吉站,管段,西气东输二线,1628.541
昌吉站,乌苏站,管段,西气东输二线,1563.749
乌苏站,精河站,管段,西气东输二线,1440.938
精河站,中卫站,管段,西气东输二线,1391.268
中卫站,古浪站,管段,西气东输二线,1346.02
古浪站,永昌站,管段,西气东输二线,1272.135
临潼站,高陵站,管段,西气东输二线,1098.106
华阴站,潼关站,管段,西气东输二线,1129.451
榆林站,靖边站,管段,西气东输二线,964.531
靖边站,石家庄站,管段,西气东输二线,914.146
石家庄站,永清站,管段,西气东输二线,839.37
永清站,通州南站,管段,西气东输二线,738.151
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1598.716
乌鲁木齐站,昌吉站,管段,西气东输三线,1459.466
昌吉站,乌苏站,管段,西气东输三线,1385.915
乌苏站,精河站,管段,西气东输三线,1245.045
精河站,中卫站,管段,西气东输三线,1273.102
中卫站,古浪站,管段,西气东输三线,1099.168
古浪站,永昌站,管段,西气东输三线,1070.509
临潼站,高陵站,管段,西气东输三线,951.869
华阴站,潼关站,管段,西气东输三线,908.567
永昌站,安平站,管段,西气东输三线,788.876
黑河首站,哈尔滨站,管段,中俄东线,1650.663
哈尔滨站,长春站,管段,中俄东线,1569.978
长春站,沈阳站,管段,中俄东线,1511.707
沈阳站,宝坻站,管段,中俄东线,1312.961
宝坻站,永清站,管段,中俄东线,1313.834
永清站,南通站,管段,中俄东线,1177.512
南通站,如皋站,管段,中俄东线,1085.144
如皋站,海安站,管段,中俄东线,979.983
海安站,上海站,管段,中俄东线,912.4
靖边站,石家庄站,管段,冀宁线,1115.178
石家庄站,安平站,管段,冀宁线,1008.544
安平站,南京站,管段,冀宁线,929.142
南京站,南通站,管段,冀宁线,875.621
南通站,如皋站,管段,冀宁线,750.642
如皋站,海安站,管段,冀宁线,731.352
普光首站,达州站,管段,川气东送,1568.37
达州站,武汉站,管段,川气东送,1387.812
武汉站,湘潭站,管段,川气东送,1376.177
湘潭站,甪直站,管段,川气东送,1284.729
甪直站,上海站,管段,川气东送,1230.378
上海站,上海白鹤末站,管段,川气东送,1081.572
榆林站,靖边站,管段,陕京二线,1341.547
靖边站,石家庄站,管段,陕京二线,1235.783
石家庄站,永清站,管段,陕京二线,1174.908
永清站,宝坻站,管段,陕京二线,1139.0
永清站,通州南站,管段,陕京二线,1044.992
石家庄站,阳曲压气站,管段,陕京二线,190.717
