起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1543.72
乌鲁木齐站,昌吉站,管段,西气东输一线,1440.658
昌吉站,乌苏站,管段,西气东输一线,1225.454
乌苏站,精河站,管段,西气东输一线,1170.922
精河站,中卫站,管段,西气东输一线,1106.672
中卫站,古浪站,管段,西气东输一线,1067.937
古浪站,永昌站,管段,西气东输一线,968.849
永昌站,靖边站,管段,西气东输一线,876.345
靖边站,石家庄站,管段,西气东输一线,796.89
石家庄站,永清站,管段,西气东输一线,706.012
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1683.685
乌鲁木齐站,昌吉站,管段,西气东输二线,1592.774
昌吉站,乌苏站,管段,西气东输二线,1612.074
乌苏站,精河站,管段,西气东输二线,1555.568
精河站,中卫站,管段,西气东输二线,1483.911
中卫站,古浪站,管段,西气东输二线,1252.655
古浪站,永昌站,管段,西气东输二线,1285.703
临潼站,高陵站,管段,西气东输二线,1131.823
华阴站,潼关站,管段,西气东输二线,1124.819
榆林站,靖边站,管段,西气东输二线,1038.675
靖边站,石家庄站,管段,西气东输二线,963.716
石家庄站,永清站,管段,西气东输二线,863.115
永清站,通州南站,管段,西气东输二线,729.307
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1594.826
乌鲁木齐站,昌吉站,管段,西气东输三线,1549.693
昌吉站,乌苏站,管段,西气东输三线,1471.714
乌苏站,精河站,管段,西气东输三线,1239.326
精河站,中卫站,管段,西气东输三线,1194.499
中卫站,古浪站,管段,西气东输三线,1096.205
古浪站,永昌站,管段,西气东输三线,1060.888
临潼站,高陵站,管段,西气东输三线,966.173
华阴站,潼关站,管段,西气东输三线,905.657
永昌站,安平站,管段,西气东输三线,814.481
黑河首站,哈尔滨站,管段,中俄东线,1658.049
哈尔滨站,长春站,管段,中俄东线,1544.67
长春站,沈阳站,管段,中俄东线,1490.39
沈阳站,宝坻站,管段,中俄东线,1399.2
宝坻站,永清站,管段,中俄东线,1326.833
永清站,南通站,管段,中俄东线,1181.6
南通站,如皋站,管段,中俄东线,1057.333
如皋站,海安站,管段,中俄东线,972.399
海安站,上海站,管段,中俄东线,957.819
靖边站,石家庄站,管段,冀宁线,1075.973
石家庄站,安平站,管段,冀宁线,949.503
安平站,南京站,管段,冀宁线,905.601
南京站,南通站,管段,冀宁线,871.504
南通站,如皋站,管段,冀宁线,766.929
如皋站,海安站,管段,冀宁线,690.659
普光首站,达州站,管段,川气东送,1504.569
达州站,武汉站,管段,川气东送,1517.235
武汉站,湘潭站,管段,川气东送,1394.314
湘潭站,甪直站,管段,川气东送,1219.499
甪直站,上海站,管段,川气东送,1199.15
上海站,上海白鹤末站,管段,川气东送,1139.894
榆林站,靖边站,管段,陕京二线,1254.002
靖边站,石家庄站,管段,陕京二线,1278.72
石家庄站,永清站,管段,陕京二线,1143.192
永清站,宝坻站,管段,陕京二线,1072.269
永清站,通州南站,管段,陕京二线,1037.92
石家庄站,阳曲压气站,管段,陕京二线,173.781
