起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1463.535
乌鲁木齐站,昌吉站,管段,西气东输一线,1470.686
昌吉站,乌苏站,管段,西气东输一线,1270.09
乌苏站,精河站,管段,西气东输一线,1179.717
精河站,中卫站,管段,西气东输一线,1118.86
中卫站,古浪站,管段,西气东输一线,1030.128
古浪站,永昌站,管段,西气东输一线,967.167
永昌站,靖边站,管段,西气东输一线,906.611
靖边站,石家庄站,管段,西气东输一线,821.784
石家庄站,永清站,管段,西气东输一线,690.063
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1837.111
乌鲁木齐站,昌吉站,管段,西气东输二线,1589.565
昌吉站,乌苏站,管段,西气东输二线,1633.361
乌苏站,精河站,管段,西气东输二线,1504.654
精河站,中卫站,管段,西气东输二线,1373.179
中卫站,古浪站,管段,西气东输二线,1349.185
古浪站,永昌站,管段,西气东输二线,1313.627
临潼站,高陵站,管段,西气东输二线,1194.907
华阴站,潼关站,管段,西气东输二线,1035.162
榆林站,靖边站,管段,西气东输二线,966.296
靖边站,石家庄站,管段,西气东输二线,975.265
石家庄站,永清站,管段,西气东输二线,836.29
永清站,通州南站,管段,西气东输二线,761.75
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1637.538
乌鲁木齐站,昌吉站,管段,西气东输三线,1483.633
昌吉站,乌苏站,管段,西气东输三线,1367.396
乌苏站,精河站,管段,西气东输三线,1319.025
精河站,中卫站,管段,西气东输三线,1219.423
中卫站,古浪站,管段,西气东输三线,1065.737
古浪站,永昌站,管段,西气东输三线,1030.865
临潼站,高陵站,管段,西气东输三线,948.383
华阴站,潼关站,管段,西气东输三线,845.782
永昌站,安平站,管段,西气东输三线,793.298
黑河首站,哈尔滨站,管段,中俄东线,1693.324
哈尔滨站,长春站,管段,中俄东线,1576.163
长春站,沈阳站,管段,中俄东线,1518.194
沈阳站,宝坻站,管段,中俄东线,1416.797
宝坻站,永清站,管段,中俄东线,1244.971
永清站,南通站,管段,中俄东线,1140.558
南通站,如皋站,管段,中俄东线,1098.912
如皋站,海安站,管段,中俄东线,1014.579
海安站,上海站,管段,中俄东线,952.057
靖边站,石家庄站,管段,冀宁线,1005.687
石家庄站,安平站,管段,冀宁线,993.676
安平站,南京站,管段,冀宁线,873.077
南京站,南通站,管段,冀宁线,829.678
南通站,如皋站,管段,冀宁线,754.97
如皋站,海安站,管段,冀宁线,741.267
普光首站,达州站,管段,川气东送,1472.028
达州站,武汉站,管段,川气东送,1407.675
武汉站,湘潭站,管段,川气东送,1327.324
湘潭站,甪直站,管段,川气东送,1332.734
甪直站,上海站,管段,川气东送,1237.055
上海站,上海白鹤末站,管段,川气东送,1109.541
榆林站,靖边站,管段,陕京二线,1259.86
靖边站,石家庄站,管段,陕京二线,1275.199
石家庄站,永清站,管段,陕京二线,1185.214
永清站,宝坻站,管段,陕京二线,1053.244
永清站,通州南站,管段,陕京二线,1048.685
石家庄站,阳曲压气站,管段,陕京二线,182.984
