起点站名,终点站名,类型,管道划分,管道流量
霍尔果斯首站,乌鲁木齐站,管段,西气东输一线,1548.583
乌鲁木齐站,昌吉站,管段,西气东输一线,1397.335
昌吉站,乌苏站,管段,西气东输一线,1297.224
乌苏站,精河站,管段,西气东输一线,1171.545
精河站,中卫站,管段,西气东输一线,1170.231
中卫站,古浪站,管段,西气东输一线,991.734
古浪站,永昌站,管段,西气东输一线,927.86
永昌站,靖边站,管段,西气东输一线,874.633
靖边站,石家庄站,管段,西气东输一线,828.899
石家庄站,永清站,管段,西气东输一线,724.454
霍尔果斯首站,乌鲁木齐站,管段,西气东输二线,1695.562
乌鲁木齐站,昌吉站,管段,西气东输二线,1770.746
昌吉站,乌苏站,管段,西气东输二线,1617.483
乌苏站,精河站,管段,西气东输二线,1429.473
精河站,中卫站,管段,西气东输二线,1464.043
中卫站,古浪站,管段,西气东输二线,1383.734
古浪站,永昌站,管段,西气东输二线,1284.936
临潼站,高陵站,管段,西气东输二线,1203.403
华阴站,潼关站,管段,西气东输二线,1073.904
榆林站,靖边站,管段,西气东输二线,1050.168
靖边站,石家庄站,管段,西气东输二线,881.901
石家庄站,永清站,管段,西气东输二线,879.244
永清站,通州南站,管段,西气东输二线,808.218
霍尔果斯首站,乌鲁木齐站,管段,西气东输三线,1516.182
乌鲁木齐站,昌吉站,管段,西气东输三线,1544.721
昌吉站,乌苏站,管段,西气东输三线,1321.403
乌苏站,精河站,管段,西气东输三线,1252.169
精河站,中卫站,管段,西气东输三线,1199.754
中卫站,古浪站,管段,西气东输三线,1073.334
古浪站,永昌站,管段,西气东输三线,1071.7
临潼站,高陵站,管段,西气东输三线,1016.985
华阴站,潼关站,管段,西气东输三线,913.321
永昌站,安平站,管段,西气东输三线,830.344
黑河首站,哈尔滨站,管段,中俄东线,1713.645
哈尔滨站,长春站,管段,中俄东线,1640.598
长春站,沈阳站,管段,中俄东线,1500.915
沈阳站,宝坻站,管段,中俄东线,1412.832
宝坻站,永清站,管段,中俄东线,1229.474
永清站,南通站,管段,中俄东线,1258.238
南通站,如皋站,管段,中俄东线,1184.742
如皋站,海安站,管段,中俄东线,1083.844
海安站,上海站,管段,中俄东线,941.905
靖边站,石家庄站,管段,冀宁线,1033.685
石家庄站,安平站,管段,冀宁线,1019.637
安平站,南京站,管段,冀宁线,961.143
南京站,南通站,管段,冀宁线,812.914
南通站,如皋站,管段,冀宁线,805.42
如皋站,海安站,管段,冀宁线,685.864
普光首站,达州站,管段,川气东送,1464.219
达州站,武汉站,管段,川气东送,1411.349
武汉站,湘潭站,管段,川气东送,1350.39
湘潭站,甪直站,管段,川气东送,1318.915
甪直站,上海站,管段,川气东送,1189.815
上海站,上海白鹤末站,管段,川气东送,1117.644
榆林站,靖边站,管段,陕京二线,1380.321
靖边站,石家庄站,管段,陕京二线,1310.086
石家庄站,永清站,管段,陕京二线,1222.598
永清站,宝坻站,管段,陕京二线,1049.745
永清站,通州南站,管段,陕京二线,967.771
