TIME,TE_001_v000
2025-01-01 00:01:00,1.0086448
2025-01-01 00:02:00,1.0089006
2025-01-01 00:03:00,1.0091549
2025-01-01 00:04:00,1.0094078
2025-01-01 00:05:00,1.0096593
2025-01-01 00:06:00,1.0099094
2025-01-01 00:07:00,1.0101581
2025-01-01 00:08:00,1.0104054
2025-01-01 00:09:00,1.0106515
2025-01-01 00:10:00,1.0108962
2025-01-01 00:11:00,1.0111398
2025-01-01 00:12:00,1.011382
2025-01-01 00:13:00,1.0116231
2025-01-01 00:14:00,1.011863
2025-01-01 00:15:00,1.0121017
2025-01-01 00:16:00,1.0123392
2025-01-01 00:17:00,1.0125757
2025-01-01 00:18:00,1.0128112
2025-01-01 00:19:00,1.0130455
2025-01-01 00:20:00,1.0132788
2025-01-01 00:21:00,1.0135112
2025-01-01 00:22:00,1.0137426
2025-01-01 00:23:00,1.0139731
2025-01-01 00:24:00,1.0142026
2025-01-01 00:25:00,1.0144312
2025-01-01 00:26:00,1.0146589
2025-01-01 00:27:00,1.0148859
2025-01-01 00:28:00,1.015112
2025-01-01 00:29:00,1.0153375
2025-01-01 00:30:00,1.015562
2025-01-01 00:31:00,1.0157859
2025-01-01 00:32:00,1.0160092
2025-01-01 00:33:00,1.0162318
2025-01-01 00:34:00,1.0164537
2025-01-01 00:35:00,1.016675
2025-01-01 00:36:00,1.0168958
2025-01-01 00:37:00,1.0171161
2025-01-01 00:38:00,1.0173358
2025-01-01 00:39:00,1.017555
2025-01-01 00:40:00,1.0177739
2025-01-01 00:41:00,1.0179923
2025-01-01 00:42:00,1.0182102
2025-01-01 00:43:00,1.0184278
2025-01-01 00:44:00,1.018645
2025-01-01 00:45:00,1.018862
2025-01-01 00:46:00,1.0190787
2025-01-01 00:47:00,1.0192952
2025-01-01 00:48:00,1.0195115
2025-01-01 00:49:00,1.0197275
2025-01-01 00:50:00,1.0199434
2025-01-01 00:51:00,1.0201591
2025-01-01 00:52:00,1.0203748
2025-01-01 00:53:00,1.0205904
2025-01-01 00:54:00,1.020806
2025-01-01 00:55:00,1.0210215
2025-01-01 00:56:00,1.021237
2025-01-01 00:57:00,1.0214527
2025-01-01 00:58:00,1.0216683
2025-01-01 00:59:00,1.0218841
