TIME,TE_001_v000,TE_002_v000,TE_005_v000,TE_008_v000,TE_014_v000,TE_016_v000,TE_017_v000,TE_019_v000,TE_021_v000,TE_022_v000,TE_023_v000
2025-01-01 00:01:00,0.7500884,0.74595433,0.7549508,0.74863464,0.75514644,0.7471483,0.7535289,0.7470089,0.7418195,0.7516,0.74755853
2025-01-01 00:02:00,0.7501015,0.7459642,0.75495315,0.7486283,0.7551343,0.7471357,0.7535215,0.74700993,0.7418285,0.751613,0.74756974
2025-01-01 00:03:00,0.7501146,0.7459741,0.7549554,0.748622,0.7551222,0.7471232,0.7535142,0.74701107,0.74183756,0.751626,0.7475809
2025-01-01 00:04:00,0.75012773,0.745984,0.7549576,0.7486156,0.75511,0.7471106,0.75350684,0.7470122,0.7418467,0.75163907,0.74759203
2025-01-01 00:05:00,0.7501408,0.7459938,0.7549598,0.7486092,0.7550978,0.7470981,0.75349957,0.7470134,0.74185586,0.75165206,0.7476031
2025-01-01 00:06:00,0.7501539,0.74600357,0.7549619,0.7486026,0.7550856,0.74708563,0.75349236,0.74701464,0.74186504,0.7516651,0.7476142
2025-01-01 00:07:00,0.750167,0.74601334,0.75496393,0.74859613,0.75507337,0.7470732,0.7534852,0.747016,0.7418743,0.7516781,0.74762523
2025-01-01 00:08:00,0.75018007,0.746023,0.75496596,0.7485895,0.75506115,0.74706066,0.75347805,0.7470174,0.7418835,0.75169116,0.7476362
2025-01-01 00:09:00,0.7501932,0.74603266,0.7549679,0.7485829,0.7550489,0.74704826,0.75347096,0.7470188,0.7418929,0.7517042,0.7476472
2025-01-01 00:10:00,0.75020623,0.7460423,0.7549698,0.7485762,0.7550366,0.7470358,0.753464,0.7470203,0.7419022,0.7517172,0.74765813
2025-01-01 00:11:00,0.7502193,0.7460519,0.7549716,0.7485694,0.75502425,0.7470234,0.75345695,0.74702185,0.7419116,0.7517303,0.74766904
2025-01-01 00:12:00,0.7502324,0.74606144,0.75497335,0.74856263,0.7550119,0.747011,0.75345004,0.74702346,0.741921,0.7517434,0.74767995
2025-01-01 00:13:00,0.75024545,0.7460709,0.7549751,0.74855584,0.7549996,0.74699867,0.7534432,0.74702513,0.7419305,0.7517564,0.74769074
2025-01-01 00:14:00,0.7502585,0.7460804,0.75497675,0.7485489,0.7549872,0.7469863,0.7534363,0.74702686,0.74193996,0.7517695,0.7477016
2025-01-01 00:15:00,0.75027156,0.7460898,0.75497836,0.748542,0.75497484,0.746974,0.75342953,0.74702865,0.74194956,0.75178254,0.7477124
2025-01-01 00:16:00,0.7502846,0.74609923,0.7549799,0.748535,0.7549624,0.74696165,0.7534228,0.74703044,0.74195915,0.75179565,0.7477231
2025-01-01 00:17:00,0.75029767,0.74610853,0.7549814,0.748528,0.75495,0.74694943,0.7534161,0.74703234,0.74196875,0.7518087,0.74773383
2025-01-01 00:18:00,0.7503107,0.74611783,0.7549828,0.7485209,0.7549375,0.74693716,0.7534095,0.7470343,0.7419784,0.7518218,0.7477445
2025-01-01 00:19:00,0.7503238,0.7461271,0.7549842,0.74851376,0.7549251,0.7469249,0.7534029,0.74703634,0.7419881,0.75183487,0.74775517
2025-01-01 00:20:00,0.75033677,0.7461363,0.7549855,0.7485066,0.7549126,0.74691266,0.7533964,0.74703836,0.74199784,0.751848,0.7477657
2025-01-01 00:21:00,0.75034976,0.74614555,0.75498676,0.74849933,0.7549001,0.74690044,0.7533899,0.7470405,0.7420077,0.75186104,0.7477763
2025-01-01 00:22:00,0.7503628,0.74615467,0.75498796,0.74849206,0.7548876,0.7468883,0.75338346,0.74704266,0.74201745,0.75187415,0.7477869
2025-01-01 00:23:00,0.7503758,0.7461638,0.7549891,0.74848473,0.75487506,0.74687606,0.753377,0.7470449,0.74202734,0.75188726,0.7477974
2025-01-01 00:24:00,0.7503888,0.74617285,0.75499016,0.7484774,0.75486255,0.74686396,0.7533707,0.7470472,0.74203724,0.7519004,0.74780786
2025-01-01 00:25:00,0.7504018,0.74618185,0.75499123,0.74846995,0.75485,0.74685186,0.75336444,0.7470495,0.74204713,0.7519135,0.7478183
2025-01-01 00:26:00,0.7504148,0.74619085,0.7549922,0.7484625,0.7548374,0.7468397,0.7533582,0.74705195,0.74205714,0.7519266,0.7478287
2025-01-01 00:27:00,0.7504278,0.7461997,0.7549931,0.748455,0.7548248,0.74682766,0.753352,0.7470544,0.7420671,0.75193965,0.7478391
2025-01-01 00:28:00,0.7504407,0.74620867,0.754994,0.7484474,0.7548122,0.7468156,0.75334585,0.7470569,0.7420772,0.75195277,0.74784946
2025-01-01 00:29:00,0.7504537,0.7462175,0.75499475,0.74843985,0.75479954,0.7468036,0.75333977,0.74705946,0.74208724,0.7519659,0.7478597
2025-01-01 00:30:00,0.75180566,0.75054276,0.75626844,0.7534331,0.75589114,0.75948596,0.75484604,0.751385,0.7435574,0.75652087,0.74933237
2025-01-01 00:31:00,0.7528898,0.75400466,0.75728744,0.7574261,0.7567619,0.7696294,0.75604993,0.7548459,0.74473554,0.7601675,0.7505124
2025-01-01 00:32:00,0.75375974,0.7567759,0.7581028,0.7606189,0.75745595,0.77774185,0.75701183,0.75761527,0.74568015,0.7630874,0.75145847
2025-01-01 00:33:00,0.75445825,0.75899464,0.7587551,0.7631717,0.7580086,0.7842294,0.75778025,0.75983137,0.7464379,0.7654259,0.75221735
2025-01-01 00:34:00,0.75501966,0.7607713,0.75927705,0.7652122,0.7584482,0.7894171,0.75839394,0.7616049,0.7470462,0.7672993,0.75282645
2025-01-01 00:35:00,0.75547135,0.7621943,0.75969464,0.766843,0.75879735,0.7935649,0.7588837,0.7630243,0.7475349,0.76880074,0.7533157
2025-01-01 00:36:00,0.75583524,0.76333433,0.76002866,0.76814604,0.75907403,0.7968808,0.7592744,0.76416045,0.7479279,0.77000445,0.7537091
2025-01-01 00:37:00,0.7561289,0.7642481,0.760296,0.76918685,0.7592929,0.7995311,0.75958586,0.7650701,0.74824446,0.77097,0.7540257
2025-01-01 00:38:00,0.75636643,0.76498073,0.76050985,0.7700178,0.7594654,0.80164903,0.759834,0.7657984,0.7484998,0.7717451,0.75428104
2025-01-01 00:39:00,0.756559,0.7655685,0.7606809,0.77068096,0.7596008,0.80334103,0.7600314,0.76638174,0.7487062,0.77236784,0.7544873
2025-01-01 00:40:00,0.7567156,0.7660404,0.76081777,0.77120984,0.7597066,0.8046923,0.7601882,0.76684904,0.7488735,0.77286863,0.75465417
2025-01-01 00:41:00,0.7568435,0.7664195,0.76092726,0.77163124,0.75978863,0.80577105,0.7603127,0.7672236,0.7490094,0.77327186,0.75478965
2025-01-01 00:42:00,0.75694835,0.7667244,0.7610148,0.7719667,0.7598517,0.8066317,0.7604112,0.767524,0.74912024,0.77359706,0.7549
2025-01-01 00:43:00,0.7570348,0.7669699,0.7610848,0.7722334,0.7598996,0.80731785,0.760489,0.767765,0.74921113,0.77385986,0.7549902
2025-01-01 00:44:00,0.7571065,0.7671679,0.7611407,0.7724451,0.7599354,0.8078645,0.7605502,0.7679585,0.7492859,0.77407265,0.75506425
2025-01-01 00:45:00,0.7571664,0.76732796,0.76118535,0.7726127,0.7599614,0.8082995,0.7605982,0.7681141,0.7493479,0.77424556,0.7551254
2025-01-01 00:46:00,0.7572168,0.76745754,0.761221,0.77274513,0.7599796,0.8086452,0.76063555,0.76823926,0.74939966,0.7743865,0.75517625
2025-01-01 00:47:00,0.7572597,0.7675628,0.7612494,0.7728493,0.7599916,0.8089195,0.7606644,0.7683402,0.7494433,0.77450186,0.7552188
2025-01-01 00:48:00,0.7572966,0.76764864,0.7612721,0.77293086,0.7599986,0.8091366,0.7606866,0.7684217,0.7494803,0.77459675,0.75525475
2025-01-01 00:49:00,0.7573287,0.76771885,0.7612901,0.77299446,0.76000166,0.809308,0.7607033,0.76848763,0.74951214,0.7746753,0.7552854
