TIME,P_001_v000,P_001_v001,P_002_v000,P_002_v001
2025-01-01 00:01:00,0.9967465,0.8983034,0.9999093,0.9015754
2025-01-01 00:02:00,0.99673456,0.8982926,0.99989986,0.9015677
2025-01-01 00:03:00,0.9967227,0.8982818,0.99989057,0.90156007
2025-01-01 00:04:00,0.99671084,0.8982711,0.9998812,0.90155244
2025-01-01 00:05:00,0.99669904,0.8982604,0.99987197,0.9015449
2025-01-01 00:06:00,0.99668723,0.89824975,0.99986273,0.9015374
2025-01-01 00:07:00,0.9966755,0.89823914,0.9998536,0.9015299
2025-01-01 00:08:00,0.9966637,0.8982285,0.99984443,0.9015225
2025-01-01 00:09:00,0.996652,0.898218,0.9998353,0.9015151
2025-01-01 00:10:00,0.9966403,0.8982074,0.9998263,0.90150785
2025-01-01 00:11:00,0.99662864,0.89819694,0.99981725,0.9015006
2025-01-01 00:12:00,0.99661696,0.89818645,0.9998083,0.9014933
2025-01-01 00:13:00,0.99660534,0.8981761,0.9997994,0.90148616
2025-01-01 00:14:00,0.9965938,0.89816564,0.9997905,0.901479
2025-01-01 00:15:00,0.9965822,0.89815533,0.9997816,0.9014719
2025-01-01 00:16:00,0.99657065,0.89814496,0.99977285,0.9014649
2025-01-01 00:17:00,0.99655914,0.8981347,0.9997641,0.9014579
2025-01-01 00:18:00,0.99654764,0.89812446,0.9997554,0.901451
2025-01-01 00:19:00,0.9965362,0.8981142,0.9997467,0.9014441
2025-01-01 00:20:00,0.9965248,0.8981041,0.99973804,0.9014373
2025-01-01 00:21:00,0.99651337,0.89809394,0.99972945,0.9014305
2025-01-01 00:22:00,0.996502,0.8980838,0.99972093,0.90142375
2025-01-01 00:23:00,0.99649066,0.89807373,0.9997124,0.901417
2025-01-01 00:24:00,0.99647933,0.8980637,0.99970394,0.9014104
2025-01-01 00:25:00,0.99646807,0.8980537,0.99969554,0.9014038
2025-01-01 00:26:00,0.9964568,0.89804375,0.99968714,0.9013972
2025-01-01 00:27:00,0.9964456,0.89803386,0.99967885,0.9013908
2025-01-01 00:28:00,0.9964344,0.89802396,0.99967057,0.9013843
2025-01-01 00:29:00,0.99642324,0.8980141,0.99966234,0.9013779
2025-01-01 00:30:00,1.0057629,0.89010966,1.013786,0.88146174
2025-01-01 00:31:00,1.0132325,0.88496834,1.0250831,0.86851406
2025-01-01 00:32:00,1.0192059,0.881623,1.0341192,0.8600959
2025-01-01 00:33:00,1.0239826,0.8794453,1.0413467,0.85462195
2025-01-01 00:34:00,1.0278016,0.87802637,1.0471269,0.85106176
2025-01-01 00:35:00,1.0308547,0.8771007,1.0517497,0.8487456
2025-01-01 00:36:00,1.033295,0.8764958,1.0554463,0.847238
2025-01-01 00:37:00,1.0352452,0.8760992,1.0584021,0.84625596
2025-01-01 00:38:00,1.036803,0.87583816,1.0607651,0.8456156
2025-01-01 00:39:00,1.0380472,0.8756652,1.0626541,0.8451974
2025-01-01 00:40:00,1.0390406,0.8755495,1.0641638,0.8449235
2025-01-01 00:41:00,1.039833,0.87547106,1.0653701,0.8447435
2025-01-01 00:42:00,1.0404648,0.87541676,1.0663335,0.8446245
2025-01-01 00:43:00,1.0409681,0.87537825,1.0671028,0.8445452
2025-01-01 00:44:00,1.0413686,0.87535006,1.0677167,0.8444917
2025-01-01 00:45:00,1.041687,0.8753285,1.0682064,0.844455
2025-01-01 00:46:00,1.0419395,0.8753113,1.0685968,0.8444293
2025-01-01 00:47:00,1.0421395,0.87529695,1.0689076,0.84441066
2025-01-01 00:48:00,1.0422974,0.87528443,1.0691549,0.8443967
2025-01-01 00:49:00,1.0424217,0.87527317,1.0693512,0.8443858
2025-01-01 00:50:00,1.042519,0.87526274,1.0695069,0.8443768
2025-01-01 00:51:00,1.0425948,0.8752529,1.0696299,0.84436923
2025-01-01 00:52:00,1.0426534,0.87524337,1.0697271,0.8443625
2025-01-01 00:53:00,1.0426981,0.87523407,1.0698034,0.84435636
2025-01-01 00:54:00,1.042732,0.875225,1.0698631,0.8443506
2025-01-01 00:55:00,1.0427569,0.875216,1.0699095,0.8443451
2025-01-01 00:56:00,1.0427749,0.8752071,1.0699451,0.8443398
2025-01-01 00:57:00,1.0427873,0.87519836,1.0699724,0.84433466
2025-01-01 00:58:00,1.0427952,0.87518966,1.0699928,0.84432966
2025-01-01 00:59:00,1.0427995,0.875181,1.0700078,0.84432477
2025-01-01 01:00:00,1.0484505,0.8748083,1.0750153,0.8446048
2025-01-01 01:01:00,1.0529692,0.87456304,1.07902,0.84478515
2025-01-01 01:02:00,1.0565823,0.87440073,1.0822223,0.84490085
2025-01-01 01:03:00,1.0594708,0.87429225,1.0847831,0.8449744
2025-01-01 01:04:00,1.0617796,0.8742188,1.0868304,0.84502065
2025-01-01 01:05:00,1.0636246,0.87416816,1.0884669,0.84504914
2025-01-01 01:06:00,1.0650988,0.8741324,1.0897747,0.8450662
2025-01-01 01:07:00,1.0662761,0.8741063,1.0908198,0.8450757
