TIME,H_001_v000,H_002_v000
2025-01-01 00:01:00,1.0560063,1.0434988
2025-01-01 00:02:00,1.0559932,1.0434859
2025-01-01 00:03:00,1.0559801,1.0434729
2025-01-01 00:04:00,1.055967,1.04346
2025-01-01 00:05:00,1.0559539,1.0434471
2025-01-01 00:06:00,1.0559407,1.0434343
2025-01-01 00:07:00,1.0559278,1.0434214
2025-01-01 00:08:00,1.0559146,1.0434085
2025-01-01 00:09:00,1.0559015,1.0433956
2025-01-01 00:10:00,1.0558884,1.0433829
2025-01-01 00:11:00,1.0558753,1.04337
2025-01-01 00:12:00,1.0558622,1.0433573
2025-01-01 00:13:00,1.0558491,1.0433444
2025-01-01 00:14:00,1.0558361,1.0433316
2025-01-01 00:15:00,1.055823,1.0433189
2025-01-01 00:16:00,1.0558099,1.0433061
2025-01-01 00:17:00,1.0557967,1.0432934
2025-01-01 00:18:00,1.0557837,1.0432806
2025-01-01 00:19:00,1.0557706,1.0432678
2025-01-01 00:20:00,1.0557575,1.0432552
2025-01-01 00:21:00,1.0557445,1.0432426
2025-01-01 00:22:00,1.0557314,1.0432298
2025-01-01 00:23:00,1.0557184,1.0432172
2025-01-01 00:24:00,1.0557053,1.0432045
2025-01-01 00:25:00,1.0556923,1.0431919
2025-01-01 00:26:00,1.0556792,1.0431793
2025-01-01 00:27:00,1.0556662,1.0431666
2025-01-01 00:28:00,1.0556532,1.0431541
2025-01-01 00:29:00,1.0556402,1.0431415
2025-01-01 00:30:00,1.0549427,1.0424852
2025-01-01 00:31:00,1.0542725,1.0418547
2025-01-01 00:32:00,1.0536286,1.0412489
2025-01-01 00:33:00,1.0530099,1.0406668
2025-01-01 00:34:00,1.0524156,1.0401075
2025-01-01 00:35:00,1.0518445,1.0395702
2025-01-01 00:36:00,1.0512956,1.0390538
2025-01-01 00:37:00,1.0507683,1.0385576
2025-01-01 00:38:00,1.0502615,1.0380808
2025-01-01 00:39:00,1.0497744,1.0376226
2025-01-01 00:40:00,1.0493064,1.0371822
2025-01-01 00:41:00,1.0488565,1.036759
2025-01-01 00:42:00,1.0484242,1.0363522
2025-01-01 00:43:00,1.0480087,1.0359613
2025-01-01 00:44:00,1.0476092,1.0355855
2025-01-01 00:45:00,1.0472252,1.0352243
2025-01-01 00:46:00,1.0468562,1.0348771
2025-01-01 00:47:00,1.0465013,1.0345432
2025-01-01 00:48:00,1.0461601,1.0342222
2025-01-01 00:49:00,1.0458322,1.0339136
2025-01-01 00:50:00,1.0455167,1.0336169
2025-01-01 00:51:00,1.0452135,1.0333316
2025-01-01 00:52:00,1.0449218,1.0330572
2025-01-01 00:53:00,1.0446413,1.0327934
2025-01-01 00:54:00,1.0443715,1.0325397
2025-01-01 00:55:00,1.0441121,1.0322956
2025-01-01 00:56:00,1.0438625,1.0320609
2025-01-01 00:57:00,1.0436224,1.0318351
2025-01-01 00:58:00,1.0433915,1.0316178
2025-01-01 00:59:00,1.0431691,1.0314087
2025-01-01 01:00:00,1.0422623,1.0305542
2025-01-01 01:01:00,1.0413914,1.0297334
2025-01-01 01:02:00,1.0405548,1.028945
2025-01-01 01:03:00,1.0397512,1.0281878
2025-01-01 01:04:00,1.0389792,1.0274602
2025-01-01 01:05:00,1.0382376,1.0267614
2025-01-01 01:06:00,1.0375252,1.02609
2025-01-01 01:07:00,1.0368409,1.0254451
2025-01-01 01:08:00,1.0361835,1.0248256
2025-01-01 01:09:00,1.0355517,1.0242302
2025-01-01 01:10:00,1.0349448,1.0236584
2025-01-01 01:11:00,1.0343617,1.023109
2025-01-01 01:12:00,1.0338014,1.022581
2025-01-01 01:13:00,1.0332632,1.0220739
2025-01-01 01:14:00,1.0327458,1.0215864
2025-01-01 01:15:00,1.0322489,1.0211182
2025-01-01 01:16:00,1.0317711,1.0206681
2025-01-01 01:17:00,1.031312,1.0202358
2025-01-01 01:18:00,1.0308708,1.0198202
2025-01-01 01:19:00,1.0304468,1.0194207
2025-01-01 01:20:00,1.0300393,1.0190369
2025-01-01 01:21:00,1.0296476,1.018668
2025-01-01 01:22:00,1.0292711,1.0183134
2025-01-01 01:23:00,1.0289092,1.0179726
2025-01-01 01:24:00,1.0285614,1.017645
2025-01-01 01:25:00,1.0282269,1.01733
2025-01-01 01:26:00,1.0279052,1.0170274
2025-01-01 01:27:00,1.0275961,1.0167363
2025-01-01 01:28:00,1.0272989,1.0164564
2025-01-01 01:29:00,1.0270131,1.0161872
2025-01-01 01:30:00,1.0260494,1.015277
2025-01-01 01:31:00,1.0251237,1.0144029
2025-01-01 01:32:00,1.0242347,1.0135633
2025-01-01 01:33:00,1.0233808,1.012757
2025-01-01 01:34:00,1.0225605,1.0119823
2025-01-01 01:35:00,1.0217726,1.0112383
2025-01-01 01:36:00,1.0210158,1.0105237
2025-01-01 01:37:00,1.0202887,1.0098372
2025-01-01 01:38:00,1.0195904,1.0091778
2025-01-01 01:39:00,1.0189195,1.0085443
2025-01-01 01:40:00,1.0182749,1.0079358
2025-01-01 01:41:00,1.0176557,1.0073512
2025-01-01 01:42:00,1.0170608,1.0067896
2025-01-01 01:43:00,1.0164893,1.00625
2025-01-01 01:44:00,1.0159402,1.0057317
2025-01-01 01:45:00,1.0154126,1.0052338
2025-01-01 01:46:00,1.0149056,1.0047553
2025-01-01 01:47:00,1.0144184,1.0042955
2025-01-01 01:48:00,1.0139503,1.0038537
2025-01-01 01:49:00,1.0135006,1.0034293
2025-01-01 01:50:00,1.0130683,1.0030215
2025-01-01 01:51:00,1.0126529,1.0026295
2025-01-01 01:52:00,1.0122538,1.0022528
2025-01-01 01:53:00,1.01187,1.0018909
2025-01-01 01:54:00,1.0115012,1.001543
2025-01-01 01:55:00,1.0111467,1.0012088
