TIME,P_001_v000,P_001_v001,P_002_v000,P_002_v001
2025-01-01 00:01:00,1.0014614,0.90396845,1.0064764,0.89497066
2025-01-01 00:02:00,1.0014743,0.90398157,1.0064894,0.89498305
2025-01-01 00:03:00,1.0014871,0.9039946,1.0065023,0.8949954
2025-01-01 00:04:00,1.0015001,0.90400773,1.0065153,0.8950078
2025-01-01 00:05:00,1.001513,0.90402085,1.0065281,0.8950201
2025-01-01 00:06:00,1.001526,0.90403396,1.006541,0.8950324
2025-01-01 00:07:00,1.0015389,0.9040471,1.0065539,0.8950447
2025-01-01 00:08:00,1.0015519,0.9040602,1.0065668,0.895057
2025-01-01 00:09:00,1.0015649,0.9040733,1.0065796,0.89506924
2025-01-01 00:10:00,1.0015779,0.9040864,1.0065925,0.89508146
2025-01-01 00:11:00,1.0015907,0.90409946,1.0066054,0.8950937
2025-01-01 00:12:00,1.0016037,0.9041126,1.0066183,0.8951059
2025-01-01 00:13:00,1.0016167,0.9041257,1.006631,0.89511806
2025-01-01 00:14:00,1.0016298,0.9041388,1.0066439,0.8951302
2025-01-01 00:15:00,1.0016428,0.90415186,1.0066566,0.8951424
2025-01-01 00:16:00,1.0016558,0.90416497,1.0066694,0.8951545
2025-01-01 00:17:00,1.0016688,0.904178,1.0066822,0.8951666
2025-01-01 00:18:00,1.0016818,0.90419114,1.0066949,0.8951786
2025-01-01 00:19:00,1.0016949,0.90420425,1.0067077,0.89519066
2025-01-01 00:20:00,1.0017079,0.9042173,1.0067204,0.8952027
2025-01-01 00:21:00,1.001721,0.90423036,1.0067332,0.8952147
2025-01-01 00:22:00,1.001734,0.9042434,1.0067458,0.89522666
2025-01-01 00:23:00,1.0017471,0.9042565,1.0067586,0.89523864
2025-01-01 00:24:00,1.0017601,0.9042696,1.0067712,0.89525056
2025-01-01 00:25:00,1.0017732,0.9042826,1.0067838,0.8952624
2025-01-01 00:26:00,1.0017864,0.9042957,1.0067965,0.89527434
2025-01-01 00:27:00,1.0017993,0.9043087,1.0068091,0.89528614
2025-01-01 00:28:00,1.0018125,0.90432173,1.0068218,0.895298
2025-01-01 00:29:00,1.0018256,0.9043348,1.0068344,0.8953098
2025-01-01 00:30:00,1.0142742,0.905633,1.0104476,0.8935512
2025-01-01 00:31:00,1.0242356,0.9064813,1.0133408,0.8924121
2025-01-01 00:32:00,1.0322075,0.9070374,1.0156578,0.89167583
2025-01-01 00:33:00,1.0385876,0.9074033,1.0175139,0.8912013
