TIME,N_001_v000,N_002_v000,N_003_v000
2025-01-01 00:01:00,1.0069062,1.0089903,0.9969881
2025-01-01 00:02:00,1.0069094,1.0089912,0.99698687
2025-01-01 00:03:00,1.0069125,1.0089923,0.9969856
2025-01-01 00:04:00,1.0069156,1.0089931,0.9969843
2025-01-01 00:05:00,1.0069187,1.008994,0.996983
2025-01-01 00:06:00,1.0069216,1.0089948,0.99698156
2025-01-01 00:07:00,1.0069246,1.0089955,0.9969801
2025-01-01 00:08:00,1.0069275,1.0089962,0.9969785
2025-01-01 00:09:00,1.0069304,1.0089968,0.9969769
2025-01-01 00:10:00,1.0069331,1.0089974,0.99697524
2025-01-01 00:11:00,1.0069358,1.008998,0.9969736
2025-01-01 00:12:00,1.0069385,1.0089984,0.9969718
2025-01-01 00:13:00,1.0069411,1.0089989,0.99697
2025-01-01 00:14:00,1.0069437,1.0089992,0.9969681
2025-01-01 00:15:00,1.0069462,1.0089995,0.9969662
2025-01-01 00:16:00,1.0069486,1.0089997,0.99696416
2025-01-01 00:17:00,1.006951,1.0089998,0.99696213
2025-01-01 00:18:00,1.0069534,1.009,0.99696004
2025-01-01 00:19:00,1.0069556,1.0090001,0.99695784
2025-01-01 00:20:00,1.0069578,1.0090001,0.99695563
2025-01-01 00:21:00,1.00696,1.009,0.99695337
2025-01-01 00:22:00,1.0069621,1.0089998,0.99695104
2025-01-01 00:23:00,1.0069641,1.0089997,0.99694866
2025-01-01 00:24:00,1.0069661,1.0089995,0.9969462
2025-01-01 00:25:00,1.006968,1.0089992,0.9969437
2025-01-01 00:26:00,1.0069699,1.0089989,0.99694115
2025-01-01 00:27:00,1.0069717,1.0089984,0.9969385
2025-01-01 00:28:00,1.0069735,1.0089979,0.99693584
2025-01-01 00:29:00,1.0069752,1.0089974,0.99693316
2025-01-01 00:30:00,1.0098212,1.0125824,0.9997031
2025-01-01 00:31:00,1.0120983,1.0154504,1.0019184
2025-01-01 00:32:00,1.0139203,1.0177444,1.00369
2025-01-01 00:33:00,1.0153781,1.0195795,1.0051068
2025-01-01 00:34:00,1.0165446,1.0210474,1.0062395
2025-01-01 00:35:00,1.017478,1.0222214,1.007145
2025-01-01 00:36:00,1.018225,1.0231605,1.0078688
2025-01-01 00:37:00,1.0188228,1.0239115,1.008447
2025-01-01 00:38:00,1.0193012,1.024512,1.008909
2025-01-01 00:39:00,1.019684,1.0249921,1.0092779
2025-01-01 00:40:00,1.0199906,1.0253761,1.0095723
2025-01-01 00:41:00,1.0202359,1.0256829,1.009807
2025-01-01 00:42:00,1.0204324,1.025928,1.009994
2025-01-01 00:43:00,1.0205897,1.0261239,1.010143
2025-01-01 00:44:00,1.0207156,1.0262803,1.0102614
2025-01-01 00:45:00,1.0208164,1.026405,1.0103554
2025-01-01 00:46:00,1.0208973,1.0265044,1.0104297
2025-01-01 00:47:00,1.020962,1.0265836,1.0104885
2025-01-01 00:48:00,1.0210139,1.0266466,1.0105346
2025-01-01 00:49:00,1.0210555,1.0266966,1.0105708
2025-01-01 00:50:00,1.0210887,1.0267363,1.0105988
2025-01-01 00:51:00,1.0211154,1.0267675,1.0106205
2025-01-01 00:52:00,1.0211368,1.026792,1.010637
2025-01-01 00:53:00,1.0211539,1.0268115,1.0106493
2025-01-01 00:54:00,1.0211676,1.0268264,1.0106583
2025-01-01 00:55:00,1.0211786,1.0268381,1.0106646
2025-01-01 00:56:00,1.0211873,1.0268468,1.0106688
2025-01-01 00:57:00,1.0211943,1.0268534,1.0106711
2025-01-01 00:58:00,1.0212,1.0268581,1.0106722
2025-01-01 00:59:00,1.0212044,1.0268614,1.0106721
2025-01-01 01:00:00,1.0246046,1.0311126,1.0139599
2025-01-01 01:01:00,1.0273248,1.0345129,1.016589
2025-01-01 01:02:00,1.029501,1.0372326,1.0186915
2025-01-01 01:03:00,1.0312417,1.0394078,1.0203726
2025-01-01 01:04:00,1.0326341,1.0411475,1.0217165
2025-01-01 01:05:00,1.033748,1.0425386,1.0227904
2025-01-01 01:06:00,1.034639,1.043651,1.0236486
2025-01-01 01:07:00,1.0353516,1.0445404,1.0243343
2025-01-01 01:08:00,1.0359217,1.0452513,1.0248817
2025-01-01 01:09:00,1.0363774,1.0458193,1.0253187
2025-01-01 01:10:00,1.0367419,1.0462731,1.0256672
2025-01-01 01:11:00,1.0370333,1.0466356,1.025945
2025-01-01 01:12:00,1.0372661,1.046925,1.0261662
2025-01-01 01:13:00,1.0374523,1.0471557,1.026342
2025-01-01 01:14:00,1.037601,1.0473397,1.0264816
2025-01-01 01:15:00,1.0377198,1.0474862,1.0265924
2025-01-01 01:16:00,1.0378145,1.0476028,1.0266796
2025-01-01 01:17:00,1.0378901,1.0476954,1.0267485
2025-01-01 01:18:00,1.0379503,1.0477687,1.0268023
2025-01-01 01:19:00,1.0379981,1.0478266,1.0268444
2025-01-01 01:20:00,1.0380361,1.0478722,1.0268768
2025-01-01 01:21:00,1.0380661,1.047908,1.0269016
2025-01-01 01:22:00,1.0380899,1.0479358,1.0269203
2025-01-01 01:23:00,1.0381086,1.0479574,1.0269341
2025-01-01 01:24:00,1.0381233,1.047974,1.0269439
2025-01-01 01:25:00,1.0381346,1.0479864,1.0269506
2025-01-01 01:26:00,1.0381433,1.0479956,1.0269548
2025-01-01 01:27:00,1.03815,1.048002,1.0269569
2025-01-01 01:28:00,1.0381548,1.0480064,1.0269574
2025-01-01 01:29:00,1.0381583,1.048009,1.0269566
2025-01-01 01:30:00,1.0420495,1.052847,1.0307008
2025-01-01 01:31:00,1.0451621,1.0567164,1.033695
2025-01-01 01:32:00,1.0476516,1.0598112,1.0360891
2025-01-01 01:33:00,1.0496429,1.0622863,1.0380031
2025-01-01 01:34:00,1.0512354,1.0642653,1.0395329
2025-01-01 01:35:00,1.0525091,1.0658476,1.0407556
2025-01-01 01:36:00,1.0535275,1.0671126,1.0417324
2025-01-01 01:37:00,1.0543418,1.0681236,1.0425127
2025-01-01 01:38:00,1.0549927,1.0689316,1.0431354
2025-01-01 01:39:00,1.0555129,1.069577,1.0436323
2025-01-01 01:40:00,1.0559286,1.0700924,1.0440284
2025-01-01 01:41:00,1.0562606,1.0705038,1.044344
2025-01-01 01:42:00,1.0565257,1.0708319,1.0445951
2025-01-01 01:43:00,1.0567371,1.0710934,1.0447947
2025-01-01 01:44:00,1.0569057,1.0713017,1.044953
2025-01-01 01:45:00,1.0570401,1.0714673,1.0450782
2025-01-01 01:46:00,1.0571469,1.0715986,1.0451769
2025-01-01 01:47:00,1.057232,1.071703,1.0452543
2025-01-01 01:48:00,1.0572993,1.0717852,1.045315
2025-01-01 01:49:00,1.0573525,1.0718501,1.0453621
2025-01-01 01:50:00,1.0573946,1.0719007,1.0453984
2025-01-01 01:51:00,1.0574275,1.0719404,1.0454259
2025-01-01 01:52:00,1.0574533,1.071971,1.0454465
2025-01-01 01:53:00,1.0574732,1.0719944,1.0454615
2025-01-01 01:54:00,1.0574884,1.0720121,1.0454721
2025-01-01 01:55:00,1.0574999,1.0720251,1.045479
2025-01-01 01:56:00,1.0575085,1.0720344,1.0454831
2025-01-01 01:57:00,1.0575145,1.0720407,1.0454848
2025-01-01 01:58:00,1.0575187,1.0720446,1.0454847
2025-01-01 01:59:00,1.0575215,1.0720466,1.0454831
2025-01-01 02:00:00,1.061834,1.077385,1.049617
2025-01-01 02:01:00,1.0652832,1.0816544,1.0529227
2025-01-01 02:02:00,1.0680418,1.0850687,1.0555657
2025-01-01 02:03:00,1.070248,1.0877991,1.0576785
2025-01-01 02:04:00,1.0720121,1.089982,1.0593671
2025-01-01 02:05:00,1.0734227,1.0917274,1.0607165
2025-01-01 02:06:00,1.0745503,1.0931222,1.0617944
2025-01-01 02:07:00,1.0754516,1.0942371,1.0626551
2025-01-01 02:08:00,1.0761718,1.0951277,1.063342
2025-01-01 02:09:00,1.0767471,1.095839,1.06389
2025-01-01 02:10:00,1.0772064,1.0964067,1.0643268
2025-01-01 02:11:00,1.0775731,1.0968596,1.0646745
2025-01-01 02:12:00,1.0778656,1.0972207,1.064951
2025-01-01 02:13:00,1.0780987,1.0975082,1.0651705
2025-01-01 02:14:00,1.0782841,1.097737,1.0653446
2025-01-01 02:15:00,1.0784317,1.0979186,1.0654821
2025-01-01 02:16:00,1.0785489,1.0980628,1.0655905
2025-01-01 02:17:00,1.0786417,1.0981766,1.0656755
2025-01-01 02:18:00,1.078715,1.0982665,1.0657418
2025-01-01 02:19:00,1.0787727,1.0983369,1.0657932
2025-01-01 02:20:00,1.078818,1.098392,1.0658326
2025-01-01 02:21:00,1.0788531,1.0984347,1.0658623
2025-01-01 02:22:00,1.0788803,1.0984675,1.0658844
2025-01-01 02:23:00,1.0789012,1.0984923,1.0659002
2025-01-01 02:24:00,1.0789168,1.0985109,1.0659113
2025-01-01 02:25:00,1.0789284,1.0985242,1.0659182
2025-01-01 02:26:00,1.0789365,1.0985334,1.0659221
2025-01-01 02:27:00,1.078942,1.0985394,1.0659235
2025-01-01 02:28:00,1.0789454,1.0985428,1.0659227
