TIME,R_001_v000,R_004_v000,R_005_v000,R_006_v000,R_007_v000,R_008_v000,R_010_v000
2025-01-01 00:01:00,0.9029932,0.9049842,0.906889,0.90871066,0.89645404,0.8981268,0.89973813
2025-01-01 00:02:00,0.90299404,0.9049828,0.90688545,0.908705,0.89644647,0.89811754,0.8997274
2025-01-01 00:03:00,0.9029949,0.9049814,0.90688187,0.90869933,0.8964389,0.8981082,0.8997167
2025-01-01 00:04:00,0.9029956,0.9049799,0.9068782,0.90869355,0.8964312,0.8980989,0.89970595
2025-01-01 00:05:00,0.9029963,0.90497833,0.9068745,0.9086878,0.8964235,0.89808947,0.89969516
2025-01-01 00:06:00,0.9029969,0.9049767,0.90687066,0.9086819,0.89641577,0.89808005,0.8996843
2025-01-01 00:07:00,0.90299743,0.90497506,0.90686685,0.908676,0.89640796,0.8980706,0.89967346
2025-01-01 00:08:00,0.902998,0.9049733,0.906863,0.90867007,0.89640015,0.8980611,0.89966255
2025-01-01 00:09:00,0.90299845,0.9049716,0.906859,0.90866405,0.8963922,0.89805156,0.8996516
2025-01-01 00:10:00,0.9029988,0.90496975,0.906855,0.908658,0.8963843,0.89804196,0.8996407
2025-01-01 00:11:00,0.90299916,0.90496784,0.90685093,0.9086519,0.8963764,0.8980323,0.89962965
2025-01-01 00:12:00,0.9029994,0.90496594,0.9068468,0.90864575,0.8963683,0.89802265,0.8996186
2025-01-01 00:13:00,0.90299964,0.9049639,0.9068427,0.90863955,0.8963603,0.898013,0.8996076
2025-01-01 00:14:00,0.9029998,0.9049619,0.9068385,0.9086333,0.8963521,0.8980032,0.8995965
2025-01-01 00:15:00,0.90299994,0.90495974,0.9068342,0.908627,0.896344,0.89799345,0.8995854
2025-01-01 00:16:00,0.903,0.9049576,0.9068299,0.90862066,0.8963358,0.8979836,0.8995743
2025-01-01 00:17:00,0.90299994,0.9049554,0.9068255,0.9086142,0.89632756,0.8979738,0.8995631
2025-01-01 00:18:00,0.9029999,0.90495306,0.9068211,0.9086078,0.8963192,0.8979639,0.89955187
2025-01-01 00:19:00,0.90299976,0.90495074,0.9068166,0.9086013,0.8963109,0.897954,0.89954066
