TIME,TE_001_v000,TE_002_v000,TE_005_v000,TE_008_v000,TE_014_v000,TE_016_v000,TE_017_v000,TE_019_v000,TE_021_v000,TE_022_v000,TE_023_v000
2025-01-01 00:01:00,0.75692856,0.749868,0.7559763,0.7480953,0.74106157,0.749335,0.74479395,0.7547895,0.7504338,0.75899535,0.7522245
2025-01-01 00:02:00,0.7569257,0.74985766,0.7559632,0.74808514,0.74105895,0.749341,0.744806,0.7548021,0.75044143,0.7589946,0.7522157
2025-01-01 00:03:00,0.7569228,0.74984735,0.7559501,0.7480751,0.7410564,0.7493471,0.74481803,0.75481474,0.750449,0.7589938,0.7522068
2025-01-01 00:04:00,0.7569198,0.74983704,0.755937,0.74806505,0.7410539,0.74935323,0.7448301,0.7548273,0.7504566,0.7589929,0.7521979
2025-01-01 00:05:00,0.75691676,0.7498266,0.7559239,0.74805504,0.74105144,0.7493594,0.7448422,0.75483996,0.7504641,0.758992,0.752189
2025-01-01 00:06:00,0.75691366,0.74981624,0.7559108,0.7480451,0.74104905,0.7493657,0.7448543,0.75485253,0.75047153,0.758991,0.75218
2025-01-01 00:07:00,0.7569105,0.7498058,0.7558977,0.7480352,0.7410467,0.749372,0.7448664,0.75486505,0.7504789,0.75899,0.752171
2025-01-01 00:08:00,0.7569073,0.7497953,0.7558846,0.7480253,0.74104446,0.7493783,0.74487853,0.7548776,0.7504863,0.75898886,0.7521619
2025-01-01 00:09:00,0.756904,0.74978477,0.7558715,0.74801546,0.74104226,0.74938476,0.7448907,0.75489014,0.7504936,0.7589877,0.7521528
2025-01-01 00:10:00,0.7569007,0.7497742,0.7558584,0.7480056,0.74104005,0.7493912,0.7449029,0.75490266,0.75050086,0.75898653,0.7521436
2025-01-01 00:11:00,0.75689733,0.7497636,0.7558453,0.74799585,0.74103796,0.7493977,0.7449151,0.7549152,0.75050807,0.7589852,0.75213444
2025-01-01 00:12:00,0.75689393,0.749753,0.7558322,0.74798614,0.74103594,0.74940425,0.74492735,0.75492764,0.7505153,0.7589839,0.7521252
