管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,620.705
陕京二线,北京,通州南分输站,通州热电,491.739
陕京二线,北京,通州南分输站,通州工业园,352.941
陕京二线,北京,通州南分输站,通州医院,174.956
中俄东线,北京,宝坻站,北京燃气,542.236
中俄东线,北京,永清站,北京燃气,395.165
川气东送,湖南,湘潭分输站,湘潭钢铁,486.083
川气东送,湖南,湘潭分输站,湘潭城市燃气,443.498
川气东送,湖南,湘潭分输站,湘潭化工,285.903
川气东送,湖南,湘潭分输站,湘潭医院,124.579
陕京二线,山西,阳曲压气站,太原城市燃气,577.552
陕京二线,山西,阳曲压气站,山西电力,436.31
陕京二线,山西,阳曲压气站,山西代输-工业用户,265.361
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,693.282
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,573.421
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,403.755
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,674.589
陕京二线,河北,石家庄压气站,石家庄燃气,540.625
陕京二线,河北,石家庄压气站,河北化工,385.44
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,691.672
川气东送,上海,上海白鹤末站,上海电力,531.805
川气东送,上海,上海白鹤末站,白鹤工业园,326.946
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,490.701
西气东输一线,新疆,王家沟末站,王家沟工业,309.092
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,574.025
西气东输二线,甘肃,兰州分输站,兰州石化,480.304
西气东输三线,甘肃,武威分输站,甘肃工业集团,382.737
西气东输三线,甘肃,张掖分输站,河西城市燃气,275.132
川气东送,贵州,贵阳北站,贵州管网,422.181
川气东送,贵州,遵义站,贵州管网,348.734
川气东送,贵州,安顺站,贵州管网,304.567
川气东送,广西,南宁站,广西管网,465.661
川气东送,广西,柳州站,广西管网,358.754
川气东送,广西,桂林站,广西管网,294.634
川气东送,上海,甪直站,上海管网,460.129
中俄东线,上海,南通站,上海管网,311.868
中俄东线,江苏,南通站,江苏城市燃气,660.799
冀宁线,江苏,南京站,江苏电力,571.741
中俄东线,江苏,海安站,江苏化工,422.775
川气东送,江苏,甪直站,苏州工业园,410.819
中俄东线,江苏,如皋站,江苏交通能源,252.104
冀宁线,河北,安平站,河北城市燃气,443.797
西气东输一线,新疆,昌吉站,昌吉工业,335.262
西气东输一线,新疆,精河站,伊犁能源,289.311
