管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,625.766
陕京二线,北京,通州南分输站,通州热电,476.409
陕京二线,北京,通州南分输站,通州工业园,379.607
陕京二线,北京,通州南分输站,通州医院,181.153
中俄东线,北京,宝坻站,北京燃气,560.909
中俄东线,北京,永清站,北京燃气,424.436
川气东送,湖南,湘潭分输站,湘潭钢铁,531.619
川气东送,湖南,湘潭分输站,湘潭城市燃气,411.314
川气东送,湖南,湘潭分输站,湘潭化工,299.462
川气东送,湖南,湘潭分输站,湘潭医院,124.061
陕京二线,山西,阳曲压气站,太原城市燃气,538.488
陕京二线,山西,阳曲压气站,山西电力,411.385
陕京二线,山西,阳曲压气站,山西代输-工业用户,267.628
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,680.285
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,568.192
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,425.73
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,709.55
陕京二线,河北,石家庄压气站,石家庄燃气,539.941
陕京二线,河北,石家庄压气站,河北化工,406.924
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,710.605
川气东送,上海,上海白鹤末站,上海电力,530.521
川气东送,上海,上海白鹤末站,白鹤工业园,324.961
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,487.82
西气东输一线,新疆,王家沟末站,王家沟工业,320.791
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,617.572
西气东输二线,甘肃,兰州分输站,兰州石化,447.793
西气东输三线,甘肃,武威分输站,甘肃工业集团,378.382
西气东输三线,甘肃,张掖分输站,河西城市燃气,252.792
川气东送,贵州,贵阳北站,贵州管网,410.28
川气东送,贵州,遵义站,贵州管网,353.364
川气东送,贵州,安顺站,贵州管网,276.534
川气东送,广西,南宁站,广西管网,450.619
川气东送,广西,柳州站,广西管网,338.155
川气东送,广西,桂林站,广西管网,296.307
川气东送,上海,甪直站,上海管网,468.367
中俄东线,上海,南通站,上海管网,319.367
中俄东线,江苏,南通站,江苏城市燃气,687.403
冀宁线,江苏,南京站,江苏电力,560.604
中俄东线,江苏,海安站,江苏化工,433.596
川气东送,江苏,甪直站,苏州工业园,404.226
中俄东线,江苏,如皋站,江苏交通能源,274.988
冀宁线,河北,安平站,河北城市燃气,432.187
西气东输一线,新疆,昌吉站,昌吉工业,343.625
西气东输一线,新疆,精河站,伊犁能源,294.277
