管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,670.686
陕京二线,北京,通州南分输站,通州热电,519.539
陕京二线,北京,通州南分输站,通州工业园,383.563
陕京二线,北京,通州南分输站,通州医院,212.665
中俄东线,北京,宝坻站,北京燃气,604.719
中俄东线,北京,永清站,北京燃气,439.797
川气东送,湖南,湘潭分输站,湘潭钢铁,555.359
川气东送,湖南,湘潭分输站,湘潭城市燃气,479.446
川气东送,湖南,湘潭分输站,湘潭化工,342.115
川气东送,湖南,湘潭分输站,湘潭医院,139.711
陕京二线,山西,阳曲压气站,太原城市燃气,620.764
陕京二线,山西,阳曲压气站,山西电力,488.24
陕京二线,山西,阳曲压气站,山西代输-工业用户,292.23
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,785.451
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,671.78
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,455.641
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,743.315
陕京二线,河北,石家庄压气站,石家庄燃气,624.274
陕京二线,河北,石家庄压气站,河北化工,437.913
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,788.137
川气东送,上海,上海白鹤末站,上海电力,601.709
川气东送,上海,上海白鹤末站,白鹤工业园,366.875
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,514.7
西气东输一线,新疆,王家沟末站,王家沟工业,361.393
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,710.017
西气东输二线,甘肃,兰州分输站,兰州石化,500.579
西气东输三线,甘肃,武威分输站,甘肃工业集团,448.619
西气东输三线,甘肃,张掖分输站,河西城市燃气,274.018
川气东送,贵州,贵阳北站,贵州管网,488.312
川气东送,贵州,遵义站,贵州管网,389.015
川气东送,贵州,安顺站,贵州管网,322.59
川气东送,广西,南宁站,广西管网,487.11
川气东送,广西,柳州站,广西管网,368.929
川气东送,广西,桂林站,广西管网,327.212
川气东送,上海,甪直站,上海管网,523.141
中俄东线,上海,南通站,上海管网,386.12
中俄东线,江苏,南通站,江苏城市燃气,692.011
冀宁线,江苏,南京站,江苏电力,575.716
中俄东线,江苏,海安站,江苏化工,483.137
川气东送,江苏,甪直站,苏州工业园,415.681
中俄东线,江苏,如皋站,江苏交通能源,286.522
冀宁线,河北,安平站,河北城市燃气,466.863
西气东输一线,新疆,昌吉站,昌吉工业,396.388
西气东输一线,新疆,精河站,伊犁能源,351.87
