管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,634.598
陕京二线,北京,通州南分输站,通州热电,493.496
陕京二线,北京,通州南分输站,通州工业园,368.217
陕京二线,北京,通州南分输站,通州医院,187.313
中俄东线,北京,宝坻站,北京燃气,524.502
中俄东线,北京,永清站,北京燃气,411.702
川气东送,湖南,湘潭分输站,湘潭钢铁,491.742
川气东送,湖南,湘潭分输站,湘潭城市燃气,403.655
川气东送,湖南,湘潭分输站,湘潭化工,277.347
川气东送,湖南,湘潭分输站,湘潭医院,122.069
陕京二线,山西,阳曲压气站,太原城市燃气,534.302
陕京二线,山西,阳曲压气站,山西电力,442.875
陕京二线,山西,阳曲压气站,山西代输-工业用户,269.109
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,719.194
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,576.199
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,425.733
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,703.371
陕京二线,河北,石家庄压气站,石家庄燃气,555.879
陕京二线,河北,石家庄压气站,河北化工,398.319
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,698.004
川气东送,上海,上海白鹤末站,上海电力,528.904
川气东送,上海,上海白鹤末站,白鹤工业园,349.766
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,503.546
西气东输一线,新疆,王家沟末站,王家沟工业,298.235
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,573.866
西气东输二线,甘肃,兰州分输站,兰州石化,483.185
西气东输三线,甘肃,武威分输站,甘肃工业集团,361.703
西气东输三线,甘肃,张掖分输站,河西城市燃气,258.948
川气东送,贵州,贵阳北站,贵州管网,416.126
川气东送,贵州,遵义站,贵州管网,346.135
川气东送,贵州,安顺站,贵州管网,289.626
川气东送,广西,南宁站,广西管网,474.132
川气东送,广西,柳州站,广西管网,342.206
川气东送,广西,桂林站,广西管网,263.678
川气东送,上海,甪直站,上海管网,481.539
中俄东线,上海,南通站,上海管网,312.888
中俄东线,江苏,南通站,江苏城市燃气,663.383
冀宁线,江苏,南京站,江苏电力,520.131
中俄东线,江苏,海安站,江苏化工,454.862
川气东送,江苏,甪直站,苏州工业园,392.155
中俄东线,江苏,如皋站,江苏交通能源,254.059
冀宁线,河北,安平站,河北城市燃气,422.565
西气东输一线,新疆,昌吉站,昌吉工业,363.091
西气东输一线,新疆,精河站,伊犁能源,297.898
