管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,715.244
陕京二线,北京,通州南分输站,通州热电,546.651
陕京二线,北京,通州南分输站,通州工业园,409.777
陕京二线,北京,通州南分输站,通州医院,197.478
中俄东线,北京,宝坻站,北京燃气,617.6
中俄东线,北京,永清站,北京燃气,437.661
川气东送,湖南,湘潭分输站,湘潭钢铁,540.814
川气东送,湖南,湘潭分输站,湘潭城市燃气,452.817
川气东送,湖南,湘潭分输站,湘潭化工,321.873
川气东送,湖南,湘潭分输站,湘潭医院,141.003
陕京二线,山西,阳曲压气站,太原城市燃气,592.05
陕京二线,山西,阳曲压气站,山西电力,494.682
陕京二线,山西,阳曲压气站,山西代输-工业用户,285.481
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,798.724
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,643.194
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,465.655
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,720.196
陕京二线,河北,石家庄压气站,石家庄燃气,644.337
陕京二线,河北,石家庄压气站,河北化工,432.069
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,768.11
川气东送,上海,上海白鹤末站,上海电力,586.821
川气东送,上海,上海白鹤末站,白鹤工业园,362.103
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,544.496
西气东输一线,新疆,王家沟末站,王家沟工业,339.476
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,663.989
西气东输二线,甘肃,兰州分输站,兰州石化,501.545
西气东输三线,甘肃,武威分输站,甘肃工业集团,434.051
西气东输三线,甘肃,张掖分输站,河西城市燃气,295.981
川气东送,贵州,贵阳北站,贵州管网,460.815
川气东送,贵州,遵义站,贵州管网,413.042
川气东送,贵州,安顺站,贵州管网,340.377
川气东送,广西,南宁站,广西管网,474.899
川气东送,广西,柳州站,广西管网,412.083
川气东送,广西,桂林站,广西管网,309.134
川气东送,上海,甪直站,上海管网,509.815
中俄东线,上海,南通站,上海管网,390.596
中俄东线,江苏,南通站,江苏城市燃气,718.662
冀宁线,江苏,南京站,江苏电力,631.399
中俄东线,江苏,海安站,江苏化工,471.177
川气东送,江苏,甪直站,苏州工业园,418.064
中俄东线,江苏,如皋站,江苏交通能源,278.835
冀宁线,河北,安平站,河北城市燃气,467.362
西气东输一线,新疆,昌吉站,昌吉工业,393.887
西气东输一线,新疆,精河站,伊犁能源,354.248
