管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,599.386
陕京二线,北京,通州南分输站,通州热电,492.126
陕京二线,北京,通州南分输站,通州工业园,341.022
陕京二线,北京,通州南分输站,通州医院,176.643
中俄东线,北京,宝坻站,北京燃气,531.858
中俄东线,北京,永清站,北京燃气,422.75
川气东送,湖南,湘潭分输站,湘潭钢铁,536.611
川气东送,湖南,湘潭分输站,湘潭城市燃气,401.247
川气东送,湖南,湘潭分输站,湘潭化工,280.738
川气东送,湖南,湘潭分输站,湘潭医院,121.051
陕京二线,山西,阳曲压气站,太原城市燃气,586.517
陕京二线,山西,阳曲压气站,山西电力,410.788
陕京二线,山西,阳曲压气站,山西代输-工业用户,266.217
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,721.046
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,574.529
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,392.253
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,662.53
陕京二线,河北,石家庄压气站,石家庄燃气,583.937
陕京二线,河北,石家庄压气站,河北化工,384.041
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,699.461
川气东送,上海,上海白鹤末站,上海电力,520.292
川气东送,上海,上海白鹤末站,白鹤工业园,329.795
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,461.763
西气东输一线,新疆,王家沟末站,王家沟工业,295.384
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,588.207
西气东输二线,甘肃,兰州分输站,兰州石化,450.584
西气东输三线,甘肃,武威分输站,甘肃工业集团,386.256
西气东输三线,甘肃,张掖分输站,河西城市燃气,249.322
川气东送,贵州,贵阳北站,贵州管网,414.732
川气东送,贵州,遵义站,贵州管网,365.012
川气东送,贵州,安顺站,贵州管网,274.035
川气东送,广西,南宁站,广西管网,464.549
川气东送,广西,柳州站,广西管网,354.984
川气东送,广西,桂林站,广西管网,284.711
川气东送,上海,甪直站,上海管网,478.878
中俄东线,上海,南通站,上海管网,342.203
中俄东线,江苏,南通站,江苏城市燃气,630.879
冀宁线,江苏,南京站,江苏电力,525.989
中俄东线,江苏,海安站,江苏化工,429.767
川气东送,江苏,甪直站,苏州工业园,394.15
中俄东线,江苏,如皋站,江苏交通能源,253.019
冀宁线,河北,安平站,河北城市燃气,419.67
西气东输一线,新疆,昌吉站,昌吉工业,330.054
西气东输一线,新疆,精河站,伊犁能源,283.974
