管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,648.579
陕京二线,北京,通州南分输站,通州热电,478.353
陕京二线,北京,通州南分输站,通州工业园,373.218
陕京二线,北京,通州南分输站,通州医院,173.919
中俄东线,北京,宝坻站,北京燃气,533.285
中俄东线,北京,永清站,北京燃气,392.559
川气东送,湖南,湘潭分输站,湘潭钢铁,511.739
川气东送,湖南,湘潭分输站,湘潭城市燃气,439.528
川气东送,湖南,湘潭分输站,湘潭化工,304.146
川气东送,湖南,湘潭分输站,湘潭医院,118.732
陕京二线,山西,阳曲压气站,太原城市燃气,532.729
陕京二线,山西,阳曲压气站,山西电力,424.376
陕京二线,山西,阳曲压气站,山西代输-工业用户,274.954
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,676.551
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,587.949
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,412.214
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,652.217
陕京二线,河北,石家庄压气站,石家庄燃气,534.15
陕京二线,河北,石家庄压气站,河北化工,381.84
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,710.49
川气东送,上海,上海白鹤末站,上海电力,516.115
川气东送,上海,上海白鹤末站,白鹤工业园,331.493
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,459.815
西气东输一线,新疆,王家沟末站,王家沟工业,316.982
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,596.779
西气东输二线,甘肃,兰州分输站,兰州石化,484.036
西气东输三线,甘肃,武威分输站,甘肃工业集团,394.047
西气东输三线,甘肃,张掖分输站,河西城市燃气,246.627
川气东送,贵州,贵阳北站,贵州管网,445.144
川气东送,贵州,遵义站,贵州管网,368.386
川气东送,贵州,安顺站,贵州管网,289.041
川气东送,广西,南宁站,广西管网,425.727
川气东送,广西,柳州站,广西管网,366.592
川气东送,广西,桂林站,广西管网,280.031
川气东送,上海,甪直站,上海管网,462.979
中俄东线,上海,南通站,上海管网,340.801
中俄东线,江苏,南通站,江苏城市燃气,680.707
冀宁线,江苏,南京站,江苏电力,558.673
中俄东线,江苏,海安站,江苏化工,428.792
川气东送,江苏,甪直站,苏州工业园,407.19
中俄东线,江苏,如皋站,江苏交通能源,264.06
冀宁线,河北,安平站,河北城市燃气,417.063
西气东输一线,新疆,昌吉站,昌吉工业,367.994
西气东输一线,新疆,精河站,伊犁能源,303.13
