管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,717.657
陕京二线,北京,通州南分输站,通州热电,520.652
陕京二线,北京,通州南分输站,通州工业园,422.989
陕京二线,北京,通州南分输站,通州医院,195.991
中俄东线,北京,宝坻站,北京燃气,570.664
中俄东线,北京,永清站,北京燃气,453.439
川气东送,湖南,湘潭分输站,湘潭钢铁,563.185
川气东送,湖南,湘潭分输站,湘潭城市燃气,450.897
川气东送,湖南,湘潭分输站,湘潭化工,310.885
川气东送,湖南,湘潭分输站,湘潭医院,133.391
陕京二线,山西,阳曲压气站,太原城市燃气,629.863
陕京二线,山西,阳曲压气站,山西电力,479.705
陕京二线,山西,阳曲压气站,山西代输-工业用户,307.889
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,788.107
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,694.245
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,450.644
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,759.098
陕京二线,河北,石家庄压气站,石家庄燃气,614.166
陕京二线,河北,石家庄压气站,河北化工,443.704
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,836.596
川气东送,上海,上海白鹤末站,上海电力,609.959
川气东送,上海,上海白鹤末站,白鹤工业园,360.818
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,549.57
西气东输一线,新疆,王家沟末站,王家沟工业,343.369
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,652.051
西气东输二线,甘肃,兰州分输站,兰州石化,517.147
西气东输三线,甘肃,武威分输站,甘肃工业集团,430.191
西气东输三线,甘肃,张掖分输站,河西城市燃气,275.717
川气东送,贵州,贵阳北站,贵州管网,485.145
川气东送,贵州,遵义站,贵州管网,421.545
川气东送,贵州,安顺站,贵州管网,327.818
川气东送,广西,南宁站,广西管网,491.752
川气东送,广西,柳州站,广西管网,404.742
川气东送,广西,桂林站,广西管网,330.566
川气东送,上海,甪直站,上海管网,561.459
中俄东线,上海,南通站,上海管网,376.127
中俄东线,江苏,南通站,江苏城市燃气,729.715
冀宁线,江苏,南京站,江苏电力,580.013
中俄东线,江苏,海安站,江苏化工,499.872
川气东送,江苏,甪直站,苏州工业园,414.531
中俄东线,江苏,如皋站,江苏交通能源,290.932
冀宁线,河北,安平站,河北城市燃气,487.885
西气东输一线,新疆,昌吉站,昌吉工业,370.276
西气东输一线,新疆,精河站,伊犁能源,352.339
