管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,733.101
陕京二线,北京,通州南分输站,通州热电,526.561
陕京二线,北京,通州南分输站,通州工业园,397.401
陕京二线,北京,通州南分输站,通州医院,204.078
中俄东线,北京,宝坻站,北京燃气,605.718
中俄东线,北京,永清站,北京燃气,460.629
川气东送,湖南,湘潭分输站,湘潭钢铁,587.106
川气东送,湖南,湘潭分输站,湘潭城市燃气,445.908
川气东送,湖南,湘潭分输站,湘潭化工,327.351
川气东送,湖南,湘潭分输站,湘潭医院,140.234
陕京二线,山西,阳曲压气站,太原城市燃气,618.548
陕京二线,山西,阳曲压气站,山西电力,502.221
陕京二线,山西,阳曲压气站,山西代输-工业用户,283.463
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,789.658
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,673.879
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,461.249
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,730.793
陕京二线,河北,石家庄压气站,石家庄燃气,628.083
陕京二线,河北,石家庄压气站,河北化工,451.617
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,803.637
川气东送,上海,上海白鹤末站,上海电力,607.615
川气东送,上海,上海白鹤末站,白鹤工业园,369.339
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,527.748
西气东输一线,新疆,王家沟末站,王家沟工业,347.126
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,658.68
西气东输二线,甘肃,兰州分输站,兰州石化,502.758
西气东输三线,甘肃,武威分输站,甘肃工业集团,430.03
西气东输三线,甘肃,张掖分输站,河西城市燃气,276.264
川气东送,贵州,贵阳北站,贵州管网,454.584
川气东送,贵州,遵义站,贵州管网,394.836
川气东送,贵州,安顺站,贵州管网,331.485
川气东送,广西,南宁站,广西管网,514.409
川气东送,广西,柳州站,广西管网,407.932
川气东送,广西,桂林站,广西管网,315.244
川气东送,上海,甪直站,上海管网,557.76
中俄东线,上海,南通站,上海管网,360.808
中俄东线,江苏,南通站,江苏城市燃气,708.548
冀宁线,江苏,南京站,江苏电力,604.489
中俄东线,江苏,海安站,江苏化工,489.426
川气东送,江苏,甪直站,苏州工业园,446.164
中俄东线,江苏,如皋站,江苏交通能源,297.03
冀宁线,河北,安平站,河北城市燃气,484.332
西气东输一线,新疆,昌吉站,昌吉工业,390.177
西气东输一线,新疆,精河站,伊犁能源,326.011
