管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,701.948
陕京二线,北京,通州南分输站,通州热电,525.908
陕京二线,北京,通州南分输站,通州工业园,421.982
陕京二线,北京,通州南分输站,通州医院,191.264
中俄东线,北京,宝坻站,北京燃气,633.265
中俄东线,北京,永清站,北京燃气,441.096
川气东送,湖南,湘潭分输站,湘潭钢铁,602.479
川气东送,湖南,湘潭分输站,湘潭城市燃气,476.915
川气东送,湖南,湘潭分输站,湘潭化工,320.901
川气东送,湖南,湘潭分输站,湘潭医院,127.407
陕京二线,山西,阳曲压气站,太原城市燃气,602.723
陕京二线,山西,阳曲压气站,山西电力,456.219
陕京二线,山西,阳曲压气站,山西代输-工业用户,296.434
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,823.173
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,629.464
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,434.502
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,786.813
陕京二线,河北,石家庄压气站,石家庄燃气,655.565
陕京二线,河北,石家庄压气站,河北化工,460.738
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,801.937
川气东送,上海,上海白鹤末站,上海电力,607.973
川气东送,上海,上海白鹤末站,白鹤工业园,383.231
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,560.632
西气东输一线,新疆,王家沟末站,王家沟工业,351.092
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,680.056
西气东输二线,甘肃,兰州分输站,兰州石化,535.127
西气东输三线,甘肃,武威分输站,甘肃工业集团,446.615
西气东输三线,甘肃,张掖分输站,河西城市燃气,305.439
川气东送,贵州,贵阳北站,贵州管网,476.776
川气东送,贵州,遵义站,贵州管网,422.346
川气东送,贵州,安顺站,贵州管网,337.333
川气东送,广西,南宁站,广西管网,520.527
川气东送,广西,柳州站,广西管网,380.442
川气东送,广西,桂林站,广西管网,305.564
川气东送,上海,甪直站,上海管网,532.279
中俄东线,上海,南通站,上海管网,384.941
中俄东线,江苏,南通站,江苏城市燃气,707.553
冀宁线,江苏,南京站,江苏电力,604.52
中俄东线,江苏,海安站,江苏化工,458.815
川气东送,江苏,甪直站,苏州工业园,457.175
中俄东线,江苏,如皋站,江苏交通能源,277.307
冀宁线,河北,安平站,河北城市燃气,474.402
西气东输一线,新疆,昌吉站,昌吉工业,380.302
西气东输一线,新疆,精河站,伊犁能源,331.857
