管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,606.042
陕京二线,北京,通州南分输站,通州热电,503.561
陕京二线,北京,通州南分输站,通州工业园,347.211
陕京二线,北京,通州南分输站,通州医院,189.488
中俄东线,北京,宝坻站,北京燃气,570.098
中俄东线,北京,永清站,北京燃气,389.706
川气东送,湖南,湘潭分输站,湘潭钢铁,509.733
川气东送,湖南,湘潭分输站,湘潭城市燃气,404.052
川气东送,湖南,湘潭分输站,湘潭化工,306.063
川气东送,湖南,湘潭分输站,湘潭医院,126.798
陕京二线,山西,阳曲压气站,太原城市燃气,558.95
陕京二线,山西,阳曲压气站,山西电力,435.028
陕京二线,山西,阳曲压气站,山西代输-工业用户,265.231
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,708.529
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,624.408
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,396.646
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,707.663
陕京二线,河北,石家庄压气站,石家庄燃气,554.482
陕京二线,河北,石家庄压气站,河北化工,376.851
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,732.939
川气东送,上海,上海白鹤末站,上海电力,544.769
川气东送,上海,上海白鹤末站,白鹤工业园,334.878
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,458.701
西气东输一线,新疆,王家沟末站,王家沟工业,296.89
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,597.939
西气东输二线,甘肃,兰州分输站,兰州石化,480.749
西气东输三线,甘肃,武威分输站,甘肃工业集团,376.996
西气东输三线,甘肃,张掖分输站,河西城市燃气,271.575
川气东送,贵州,贵阳北站,贵州管网,446.339
川气东送,贵州,遵义站,贵州管网,364.911
川气东送,贵州,安顺站,贵州管网,293.674
川气东送,广西,南宁站,广西管网,473.258
川气东送,广西,柳州站,广西管网,343.48
川气东送,广西,桂林站,广西管网,283.172
川气东送,上海,甪直站,上海管网,458.445
中俄东线,上海,南通站,上海管网,345.0
中俄东线,江苏,南通站,江苏城市燃气,643.898
冀宁线,江苏,南京站,江苏电力,520.58
中俄东线,江苏,海安站,江苏化工,404.664
川气东送,江苏,甪直站,苏州工业园,404.83
中俄东线,江苏,如皋站,江苏交通能源,250.441
冀宁线,河北,安平站,河北城市燃气,436.965
西气东输一线,新疆,昌吉站,昌吉工业,333.177
西气东输一线,新疆,精河站,伊犁能源,311.847
