管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,655.842
陕京二线,北京,通州南分输站,通州热电,514.096
陕京二线,北京,通州南分输站,通州工业园,388.045
陕京二线,北京,通州南分输站,通州医院,193.844
中俄东线,北京,宝坻站,北京燃气,614.138
中俄东线,北京,永清站,北京燃气,443.003
川气东送,湖南,湘潭分输站,湘潭钢铁,561.628
川气东送,湖南,湘潭分输站,湘潭城市燃气,474.984
川气东送,湖南,湘潭分输站,湘潭化工,330.24
川气东送,湖南,湘潭分输站,湘潭医院,138.358
陕京二线,山西,阳曲压气站,太原城市燃气,648.177
陕京二线,山西,阳曲压气站,山西电力,479.155
陕京二线,山西,阳曲压气站,山西代输-工业用户,294.564
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,805.71
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,623.342
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,474.945
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,780.302
陕京二线,河北,石家庄压气站,石家庄燃气,640.94
陕京二线,河北,石家庄压气站,河北化工,414.456
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,854.057
川气东送,上海,上海白鹤末站,上海电力,605.334
川气东送,上海,上海白鹤末站,白鹤工业园,402.983
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,559.209
西气东输一线,新疆,王家沟末站,王家沟工业,367.104
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,687.864
西气东输二线,甘肃,兰州分输站,兰州石化,538.063
西气东输三线,甘肃,武威分输站,甘肃工业集团,403.926
西气东输三线,甘肃,张掖分输站,河西城市燃气,303.178
川气东送,贵州,贵阳北站,贵州管网,468.072
川气东送,贵州,遵义站,贵州管网,401.609
川气东送,贵州,安顺站,贵州管网,342.345
川气东送,广西,南宁站,广西管网,520.044
川气东送,广西,柳州站,广西管网,374.953
川气东送,广西,桂林站,广西管网,314.132
川气东送,上海,甪直站,上海管网,531.306
中俄东线,上海,南通站,上海管网,364.312
中俄东线,江苏,南通站,江苏城市燃气,713.248
冀宁线,江苏,南京站,江苏电力,581.129
中俄东线,江苏,海安站,江苏化工,499.999
川气东送,江苏,甪直站,苏州工业园,455.192
中俄东线,江苏,如皋站,江苏交通能源,308.344
冀宁线,河北,安平站,河北城市燃气,477.734
西气东输一线,新疆,昌吉站,昌吉工业,411.808
西气东输一线,新疆,精河站,伊犁能源,331.05
