管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,652.426
陕京二线,北京,通州南分输站,通州热电,499.646
陕京二线,北京,通州南分输站,通州工业园,340.343
陕京二线,北京,通州南分输站,通州医院,178.881
中俄东线,北京,宝坻站,北京燃气,560.439
中俄东线,北京,永清站,北京燃气,398.222
川气东送,湖南,湘潭分输站,湘潭钢铁,510.918
川气东送,湖南,湘潭分输站,湘潭城市燃气,401.446
川气东送,湖南,湘潭分输站,湘潭化工,282.008
川气东送,湖南,湘潭分输站,湘潭医院,126.589
陕京二线,山西,阳曲压气站,太原城市燃气,555.064
陕京二线,山西,阳曲压气站,山西电力,408.848
陕京二线,山西,阳曲压气站,山西代输-工业用户,264.004
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,734.402
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,617.849
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,426.171
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,713.134
陕京二线,河北,石家庄压气站,石家庄燃气,583.881
陕京二线,河北,石家庄压气站,河北化工,402.591
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,689.551
川气东送,上海,上海白鹤末站,上海电力,552.845
川气东送,上海,上海白鹤末站,白鹤工业园,322.967
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,457.119
西气东输一线,新疆,王家沟末站,王家沟工业,309.433
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,585.395
西气东输二线,甘肃,兰州分输站,兰州石化,464.435
西气东输三线,甘肃,武威分输站,甘肃工业集团,402.559
西气东输三线,甘肃,张掖分输站,河西城市燃气,266.812
川气东送,贵州,贵阳北站,贵州管网,436.112
川气东送,贵州,遵义站,贵州管网,357.505
川气东送,贵州,安顺站,贵州管网,285.882
川气东送,广西,南宁站,广西管网,461.187
川气东送,广西,柳州站,广西管网,343.016
川气东送,广西,桂林站,广西管网,286.354
川气东送,上海,甪直站,上海管网,462.855
中俄东线,上海,南通站,上海管网,327.036
中俄东线,江苏,南通站,江苏城市燃气,655.602
冀宁线,江苏,南京站,江苏电力,570.075
中俄东线,江苏,海安站,江苏化工,412.736
川气东送,江苏,甪直站,苏州工业园,371.515
中俄东线,江苏,如皋站,江苏交通能源,255.822
冀宁线,河北,安平站,河北城市燃气,453.643
西气东输一线,新疆,昌吉站,昌吉工业,331.973
西气东输一线,新疆,精河站,伊犁能源,317.876
