管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,653.765
陕京二线,北京,通州南分输站,通州热电,493.791
陕京二线,北京,通州南分输站,通州工业园,373.761
陕京二线,北京,通州南分输站,通州医院,176.829
中俄东线,北京,宝坻站,北京燃气,568.647
中俄东线,北京,永清站,北京燃气,425.755
川气东送,湖南,湘潭分输站,湘潭钢铁,529.296
川气东送,湖南,湘潭分输站,湘潭城市燃气,443.907
川气东送,湖南,湘潭分输站,湘潭化工,297.185
川气东送,湖南,湘潭分输站,湘潭医院,114.488
陕京二线,山西,阳曲压气站,太原城市燃气,540.845
陕京二线,山西,阳曲压气站,山西电力,447.474
陕京二线,山西,阳曲压气站,山西代输-工业用户,258.391
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,722.424
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,621.084
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,409.376
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,712.623
陕京二线,河北,石家庄压气站,石家庄燃气,587.528
陕京二线,河北,石家庄压气站,河北化工,412.411
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,681.425
川气东送,上海,上海白鹤末站,上海电力,549.7
川气东送,上海,上海白鹤末站,白鹤工业园,354.782
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,468.111
西气东输一线,新疆,王家沟末站,王家沟工业,292.332
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,627.664
西气东输二线,甘肃,兰州分输站,兰州石化,448.305
西气东输三线,甘肃,武威分输站,甘肃工业集团,392.07
西气东输三线,甘肃,张掖分输站,河西城市燃气,246.053
川气东送,贵州,贵阳北站,贵州管网,435.228
川气东送,贵州,遵义站,贵州管网,370.498
川气东送,贵州,安顺站,贵州管网,277.883
川气东送,广西,南宁站,广西管网,444.64
川气东送,广西,柳州站,广西管网,339.668
川气东送,广西,桂林站,广西管网,278.915
川气东送,上海,甪直站,上海管网,468.243
中俄东线,上海,南通站,上海管网,347.245
中俄东线,江苏,南通站,江苏城市燃气,669.543
冀宁线,江苏,南京站,江苏电力,508.596
中俄东线,江苏,海安站,江苏化工,450.977
川气东送,江苏,甪直站,苏州工业园,409.436
中俄东线,江苏,如皋站,江苏交通能源,248.136
冀宁线,河北,安平站,河北城市燃气,434.182
西气东输一线,新疆,昌吉站,昌吉工业,360.632
西气东输一线,新疆,精河站,伊犁能源,299.937
