管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,656.292
陕京二线,北京,通州南分输站,通州热电,508.533
陕京二线,北京,通州南分输站,通州工业园,412.898
陕京二线,北京,通州南分输站,通州医院,190.173
中俄东线,北京,宝坻站,北京燃气,571.29
中俄东线,北京,永清站,北京燃气,479.35
川气东送,湖南,湘潭分输站,湘潭钢铁,603.592
川气东送,湖南,湘潭分输站,湘潭城市燃气,481.471
川气东送,湖南,湘潭分输站,湘潭化工,329.533
川气东送,湖南,湘潭分输站,湘潭医院,137.47
陕京二线,山西,阳曲压气站,太原城市燃气,606.325
陕京二线,山西,阳曲压气站,山西电力,501.768
陕京二线,山西,阳曲压气站,山西代输-工业用户,280.39
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,767.173
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,621.358
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,447.091
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,727.868
陕京二线,河北,石家庄压气站,石家庄燃气,601.134
陕京二线,河北,石家庄压气站,河北化工,450.325
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,799.481
川气东送,上海,上海白鹤末站,上海电力,566.91
川气东送,上海,上海白鹤末站,白鹤工业园,359.987
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,532.007
西气东输一线,新疆,王家沟末站,王家沟工业,328.316
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,661.695
西气东输二线,甘肃,兰州分输站,兰州石化,544.364
西气东输三线,甘肃,武威分输站,甘肃工业集团,403.672
西气东输三线,甘肃,张掖分输站,河西城市燃气,274.195
川气东送,贵州,贵阳北站,贵州管网,460.481
川气东送,贵州,遵义站,贵州管网,409.818
川气东送,贵州,安顺站,贵州管网,343.637
川气东送,广西,南宁站,广西管网,521.693
川气东送,广西,柳州站,广西管网,404.958
川气东送,广西,桂林站,广西管网,300.565
川气东送,上海,甪直站,上海管网,532.479
中俄东线,上海,南通站,上海管网,373.071
中俄东线,江苏,南通站,江苏城市燃气,753.33
冀宁线,江苏,南京站,江苏电力,583.708
中俄东线,江苏,海安站,江苏化工,479.572
川气东送,江苏,甪直站,苏州工业园,451.649
中俄东线,江苏,如皋站,江苏交通能源,292.126
冀宁线,河北,安平站,河北城市燃气,518.107
西气东输一线,新疆,昌吉站,昌吉工业,401.737
西气东输一线,新疆,精河站,伊犁能源,341.227
