管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,626.228
陕京二线,北京,通州南分输站,通州热电,504.555
陕京二线,北京,通州南分输站,通州工业园,362.14
陕京二线,北京,通州南分输站,通州医院,171.519
中俄东线,北京,宝坻站,北京燃气,511.165
中俄东线,北京,永清站,北京燃气,408.351
川气东送,湖南,湘潭分输站,湘潭钢铁,515.944
川气东送,湖南,湘潭分输站,湘潭城市燃气,409.001
川气东送,湖南,湘潭分输站,湘潭化工,303.886
川气东送,湖南,湘潭分输站,湘潭医院,124.41
陕京二线,山西,阳曲压气站,太原城市燃气,547.354
陕京二线,山西,阳曲压气站,山西电力,427.273
陕京二线,山西,阳曲压气站,山西代输-工业用户,249.143
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,671.872
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,554.629
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,432.213
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,663.665
陕京二线,河北,石家庄压气站,石家庄燃气,544.541
陕京二线,河北,石家庄压气站,河北化工,376.845
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,720.847
川气东送,上海,上海白鹤末站,上海电力,499.007
川气东送,上海,上海白鹤末站,白鹤工业园,338.261
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,502.308
西气东输一线,新疆,王家沟末站,王家沟工业,308.109
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,584.258
西气东输二线,甘肃,兰州分输站,兰州石化,474.208
西气东输三线,甘肃,武威分输站,甘肃工业集团,400.786
西气东输三线,甘肃,张掖分输站,河西城市燃气,268.491
川气东送,贵州,贵阳北站,贵州管网,440.963
川气东送,贵州,遵义站,贵州管网,359.443
川气东送,贵州,安顺站,贵州管网,292.244
川气东送,广西,南宁站,广西管网,453.219
川气东送,广西,柳州站,广西管网,340.446
川气东送,广西,桂林站,广西管网,267.353
川气东送,上海,甪直站,上海管网,461.79
中俄东线,上海,南通站,上海管网,321.438
中俄东线,江苏,南通站,江苏城市燃气,686.874
冀宁线,江苏,南京站,江苏电力,508.581
中俄东线,江苏,海安站,江苏化工,433.008
川气东送,江苏,甪直站,苏州工业园,400.678
中俄东线,江苏,如皋站,江苏交通能源,245.166
冀宁线,河北,安平站,河北城市燃气,424.438
西气东输一线,新疆,昌吉站,昌吉工业,335.525
西气东输一线,新疆,精河站,伊犁能源,290.511
