管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,693.807
陕京二线,北京,通州南分输站,通州热电,519.091
陕京二线,北京,通州南分输站,通州工业园,416.733
陕京二线,北京,通州南分输站,通州医院,211.67
中俄东线,北京,宝坻站,北京燃气,622.46
中俄东线,北京,永清站,北京燃气,462.022
川气东送,湖南,湘潭分输站,湘潭钢铁,584.178
川气东送,湖南,湘潭分输站,湘潭城市燃气,451.032
川气东送,湖南,湘潭分输站,湘潭化工,310.789
川气东送,湖南,湘潭分输站,湘潭医院,137.652
陕京二线,山西,阳曲压气站,太原城市燃气,623.046
陕京二线,山西,阳曲压气站,山西电力,487.916
陕京二线,山西,阳曲压气站,山西代输-工业用户,291.726
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,801.726
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,644.971
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,485.194
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,775.986
陕京二线,河北,石家庄压气站,石家庄燃气,661.011
陕京二线,河北,石家庄压气站,河北化工,421.95
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,771.474
川气东送,上海,上海白鹤末站,上海电力,585.44
川气东送,上海,上海白鹤末站,白鹤工业园,400.391
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,511.86
西气东输一线,新疆,王家沟末站,王家沟工业,339.873
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,643.176
西气东输二线,甘肃,兰州分输站,兰州石化,541.977
西气东输三线,甘肃,武威分输站,甘肃工业集团,421.442
西气东输三线,甘肃,张掖分输站,河西城市燃气,288.887
川气东送,贵州,贵阳北站,贵州管网,498.266
川气东送,贵州,遵义站,贵州管网,427.224
川气东送,贵州,安顺站,贵州管网,319.815
川气东送,广西,南宁站,广西管网,490.853
川气东送,广西,柳州站,广西管网,415.223
川气东送,广西,桂林站,广西管网,326.97
川气东送,上海,甪直站,上海管网,539.709
中俄东线,上海,南通站,上海管网,384.194
中俄东线,江苏,南通站,江苏城市燃气,769.495
冀宁线,江苏,南京站,江苏电力,630.534
中俄东线,江苏,海安站,江苏化工,499.727
川气东送,江苏,甪直站,苏州工业园,415.471
中俄东线,江苏,如皋站,江苏交通能源,291.019
冀宁线,河北,安平站,河北城市燃气,477.027
西气东输一线,新疆,昌吉站,昌吉工业,399.746
西气东输一线,新疆,精河站,伊犁能源,336.439
