管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,722.394
陕京二线,北京,通州南分输站,通州热电,522.387
陕京二线,北京,通州南分输站,通州工业园,390.162
陕京二线,北京,通州南分输站,通州医院,190.711
中俄东线,北京,宝坻站,北京燃气,597.728
中俄东线,北京,永清站,北京燃气,486.588
川气东送,湖南,湘潭分输站,湘潭钢铁,593.439
川气东送,湖南,湘潭分输站,湘潭城市燃气,484.288
川气东送,湖南,湘潭分输站,湘潭化工,333.464
川气东送,湖南,湘潭分输站,湘潭医院,136.252
陕京二线,山西,阳曲压气站,太原城市燃气,604.297
陕京二线,山西,阳曲压气站,山西电力,496.211
陕京二线,山西,阳曲压气站,山西代输-工业用户,281.834
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,830.512
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,652.551
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,475.641
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,726.488
陕京二线,河北,石家庄压气站,石家庄燃气,616.549
陕京二线,河北,石家庄压气站,河北化工,452.806
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,794.199
川气东送,上海,上海白鹤末站,上海电力,615.504
川气东送,上海,上海白鹤末站,白鹤工业园,392.531
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,534.537
西气东输一线,新疆,王家沟末站,王家沟工业,358.526
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,702.199
西气东输二线,甘肃,兰州分输站,兰州石化,552.564
西气东输三线,甘肃,武威分输站,甘肃工业集团,434.667
西气东输三线,甘肃,张掖分输站,河西城市燃气,294.056
川气东送,贵州,贵阳北站,贵州管网,468.254
川气东送,贵州,遵义站,贵州管网,389.19
川气东送,贵州,安顺站,贵州管网,328.394
川气东送,广西,南宁站,广西管网,519.182
川气东送,广西,柳州站,广西管网,370.52
川气东送,广西,桂林站,广西管网,323.56
川气东送,上海,甪直站,上海管网,517.412
中俄东线,上海,南通站,上海管网,382.51
中俄东线,江苏,南通站,江苏城市燃气,736.077
冀宁线,江苏,南京站,江苏电力,629.866
中俄东线,江苏,海安站,江苏化工,501.409
川气东送,江苏,甪直站,苏州工业园,431.251
中俄东线,江苏,如皋站,江苏交通能源,298.123
冀宁线,河北,安平站,河北城市燃气,464.99
西气东输一线,新疆,昌吉站,昌吉工业,398.528
西气东输一线,新疆,精河站,伊犁能源,350.881
