管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,641.803
陕京二线,北京,通州南分输站,通州热电,479.49
陕京二线,北京,通州南分输站,通州工业园,354.908
陕京二线,北京,通州南分输站,通州医院,188.833
中俄东线,北京,宝坻站,北京燃气,549.949
中俄东线,北京,永清站,北京燃气,402.245
川气东送,湖南,湘潭分输站,湘潭钢铁,513.595
川气东送,湖南,湘潭分输站,湘潭城市燃气,397.543
川气东送,湖南,湘潭分输站,湘潭化工,273.448
川气东送,湖南,湘潭分输站,湘潭医院,115.469
陕京二线,山西,阳曲压气站,太原城市燃气,564.92
陕京二线,山西,阳曲压气站,山西电力,454.652
陕京二线,山西,阳曲压气站,山西代输-工业用户,274.563
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,707.232
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,614.74
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,399.649
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,669.394
陕京二线,河北,石家庄压气站,石家庄燃气,562.575
陕京二线,河北,石家庄压气站,河北化工,406.685
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,741.201
川气东送,上海,上海白鹤末站,上海电力,525.061
川气东送,上海,上海白鹤末站,白鹤工业园,359.817
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,461.086
西气东输一线,新疆,王家沟末站,王家沟工业,326.209
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,620.668
西气东输二线,甘肃,兰州分输站,兰州石化,444.369
西气东输三线,甘肃,武威分输站,甘肃工业集团,373.26
西气东输三线,甘肃,张掖分输站,河西城市燃气,253.604
川气东送,贵州,贵阳北站,贵州管网,412.179
川气东送,贵州,遵义站,贵州管网,347.948
川气东送,贵州,安顺站,贵州管网,282.192
川气东送,广西,南宁站,广西管网,455.429
川气东送,广西,柳州站,广西管网,339.01
川气东送,广西,桂林站,广西管网,269.615
川气东送,上海,甪直站,上海管网,505.926
中俄东线,上海,南通站,上海管网,316.94
中俄东线,江苏,南通站,江苏城市燃气,635.44
冀宁线,江苏,南京站,江苏电力,554.757
中俄东线,江苏,海安站,江苏化工,418.251
川气东送,江苏,甪直站,苏州工业园,384.479
中俄东线,江苏,如皋站,江苏交通能源,262.753
冀宁线,河北,安平站,河北城市燃气,416.553
西气东输一线,新疆,昌吉站,昌吉工业,338.93
西气东输一线,新疆,精河站,伊犁能源,317.216
