管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,726.065
陕京二线,北京,通州南分输站,通州热电,536.467
陕京二线,北京,通州南分输站,通州工业园,414.936
陕京二线,北京,通州南分输站,通州医院,211.638
中俄东线,北京,宝坻站,北京燃气,569.039
中俄东线,北京,永清站,北京燃气,475.04
川气东送,湖南,湘潭分输站,湘潭钢铁,587.301
川气东送,湖南,湘潭分输站,湘潭城市燃气,488.487
川气东送,湖南,湘潭分输站,湘潭化工,335.967
川气东送,湖南,湘潭分输站,湘潭医院,129.411
陕京二线,山西,阳曲压气站,太原城市燃气,638.934
陕京二线,山西,阳曲压气站,山西电力,505.168
陕京二线,山西,阳曲压气站,山西代输-工业用户,278.616
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,793.212
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,664.201
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,444.676
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,802.977
陕京二线,河北,石家庄压气站,石家庄燃气,621.49
陕京二线,河北,石家庄压气站,河北化工,436.534
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,845.078
川气东送,上海,上海白鹤末站,上海电力,585.905
川气东送,上海,上海白鹤末站,白鹤工业园,402.356
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,517.412
西气东输一线,新疆,王家沟末站,王家沟工业,350.423
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,704.781
西气东输二线,甘肃,兰州分输站,兰州石化,543.144
西气东输三线,甘肃,武威分输站,甘肃工业集团,424.604
西气东输三线,甘肃,张掖分输站,河西城市燃气,292.276
川气东送,贵州,贵阳北站,贵州管网,507.878
川气东送,贵州,遵义站,贵州管网,388.845
川气东送,贵州,安顺站,贵州管网,308.618
川气东送,广西,南宁站,广西管网,518.397
川气东送,广西,柳州站,广西管网,402.646
川气东送,广西,桂林站,广西管网,326.311
川气东送,上海,甪直站,上海管网,540.506
中俄东线,上海,南通站,上海管网,358.139
中俄东线,江苏,南通站,江苏城市燃气,761.082
冀宁线,江苏,南京站,江苏电力,640.542
中俄东线,江苏,海安站,江苏化工,482.097
川气东送,江苏,甪直站,苏州工业园,444.839
中俄东线,江苏,如皋站,江苏交通能源,299.502
冀宁线,河北,安平站,河北城市燃气,474.238
西气东输一线,新疆,昌吉站,昌吉工业,391.639
西气东输一线,新疆,精河站,伊犁能源,345.419
