管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,626.959
陕京二线,北京,通州南分输站,通州热电,496.368
陕京二线,北京,通州南分输站,通州工业园,341.459
陕京二线,北京,通州南分输站,通州医院,185.887
中俄东线,北京,宝坻站,北京燃气,508.852
中俄东线,北京,永清站,北京燃气,403.096
川气东送,湖南,湘潭分输站,湘潭钢铁,517.206
川气东送,湖南,湘潭分输站,湘潭城市燃气,438.656
川气东送,湖南,湘潭分输站,湘潭化工,302.233
川气东送,湖南,湘潭分输站,湘潭医院,121.478
陕京二线,山西,阳曲压气站,太原城市燃气,587.364
陕京二线,山西,阳曲压气站,山西电力,415.846
陕京二线,山西,阳曲压气站,山西代输-工业用户,258.121
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,728.899
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,566.948
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,394.045
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,652.654
陕京二线,河北,石家庄压气站,石家庄燃气,548.556
陕京二线,河北,石家庄压气站,河北化工,402.385
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,757.918
川气东送,上海,上海白鹤末站,上海电力,499.005
川气东送,上海,上海白鹤末站,白鹤工业园,343.169
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,462.736
西气东输一线,新疆,王家沟末站,王家沟工业,298.529
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,599.95
西气东输二线,甘肃,兰州分输站,兰州石化,443.379
西气东输三线,甘肃,武威分输站,甘肃工业集团,370.622
西气东输三线,甘肃,张掖分输站,河西城市燃气,255.384
川气东送,贵州,贵阳北站,贵州管网,415.777
川气东送,贵州,遵义站,贵州管网,373.124
川气东送,贵州,安顺站,贵州管网,296.337
川气东送,广西,南宁站,广西管网,451.455
川气东送,广西,柳州站,广西管网,360.125
川气东送,广西,桂林站,广西管网,266.611
川气东送,上海,甪直站,上海管网,502.77
中俄东线,上海,南通站,上海管网,326.588
中俄东线,江苏,南通站,江苏城市燃气,659.728
冀宁线,江苏,南京站,江苏电力,534.647
中俄东线,江苏,海安站,江苏化工,438.751
川气东送,江苏,甪直站,苏州工业园,400.359
中俄东线,江苏,如皋站,江苏交通能源,254.265
冀宁线,河北,安平站,河北城市燃气,418.326
西气东输一线,新疆,昌吉站,昌吉工业,332.149
西气东输一线,新疆,精河站,伊犁能源,284.305
